factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
uma_deokure_bin,馬出遅率ビン,code,5,63687,79.86,4.89,75.57,False
pace_yoso,ペース予想,code,3,76762,74.35,0.17,74.15,False
manken_shirushi,万券印,code,8,49750,76.94,4.12,74.08,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,63646,76.74,4.06,73.93,False
keibajo_code,競馬場,code,10,76762,74.26,0.63,73.87,False
kyori_kubun,距離区分,code,4,76762,74.22,0.6,73.63,False
hizume_code,蹄コード,code,18,62565,76.39,6.33,73.46,False
kyori_tekisei,距離適性,code,5,74003,79.49,7.71,72.74,False
manken_shisu_decile,万券指数10分位,code,10,75456,74.77,6.47,70.76,False
joshodo_code,上昇度,code,4,75383,77.39,6.85,70.68,False
kyakushitsu,脚質,code,5,76753,73.82,3.77,70.51,False
omo_tekisei_code,重適性,code,4,63903,76.59,6.63,70.09,False
rotation_bin,ローテーションビン,code,8,63689,73.39,5.02,69.9,False
ichi_shisu_juni,位置指数順位,numeric,16,76762,71.79,5.09,69.29,False
bataiju,馬体重,numeric,73,75822,71.46,10.27,69.11,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,120,53199,70.7,14.64,68.08,False
bataiju_zogen,馬体重増減,numeric,21,62960,71.68,8.5,68.05,False
sogo_shisu_decile,総合指数10分位,code,9,76751,78.86,17.06,67.72,False
idm_decile,IDM指数10分位,code,8,76721,78.71,16.39,67.35,False
tenkai_kigo_code,展開記号,code,5,76762,75.21,9.22,67.13,False
ten_shisu_juni,テン指数順位,numeric,16,76762,70.66,7.56,66.95,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,76762,71.78,10.83,66.48,False
pace_shisu_juni,ペース指数順位,numeric,16,76762,70.27,7.77,66.46,False
gekiso_juni,激走順位,numeric,16,76762,70.12,7.54,66.42,False
ls_shisu_juni,LS指数順位,numeric,10,76743,70.68,8.46,65.43,False
joho_shisu_decile,情報指数10分位,code,6,76762,72.99,9.62,65.29,False
agari_shisu_juni,上がり指数順位,numeric,16,76762,69.57,8.79,65.26,False
kishu_minarai_code,騎手見習,code,6,76762,70.62,6.72,65.25,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,76762,69.94,9.13,64.28,False
kishu_shisu_decile,騎手指数10分位,code,10,76762,69.77,9.23,64.05,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,76762,69.63,9.27,63.88,False
kyusha_shisu_decile,厩舎指数10分位,code,10,76762,68.2,10.17,61.9,False
kyusha_hyoka_code,厩舎評価,code,4,76762,75.68,15.77,60.22,False
chokyo_shisu_decile,調教指数10分位,code,10,76710,65.95,11.87,58.59,False
class_code,クラスコード,code,6,63603,68.44,13.86,57.35,False
kyuyo_riyu_bunrui_code,休養理由,code,4,9837,69.07,12.15,57.15,False
blinker,ブリンカー,code,3,7445,68.34,10.15,56.86,False
ninki_shisu_decile,人気指数10分位,code,10,76762,64.15,15.14,54.77,False
