segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+gekiso_juni,keibajo_code,kyusha_hyoka_code,pace_yoso,gekiso_juni,34,4308,72.44,15.45,67.25,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+uma_deokure_ritsu,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,uma_deokure_ritsu,3,777,72.87,5.04,67.17,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+uma_deokure_ritsu,hizume_code,kyusha_hyoka_code,pace_yoso,uma_deokure_ritsu,6,1583,71.69,5.99,66.9,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+hizume_code+kyusha_hyoka_code,kyori_tekisei_2,kyori_kubun,hizume_code,kyusha_hyoka_code,15,2458,71.29,8.89,66.79,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+kyusha_hyoka_code+uma_deokure_ritsu,kyori_kubun,keibajo_code,kyusha_hyoka_code,uma_deokure_ritsu,8,1149,76.54,14.77,66.3,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+kyusha_hyoka_code+pace_yoso,kyori_kubun,hizume_code,kyusha_hyoka_code,pace_yoso,31,8529,70.16,10.99,66.29,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+pace_yoso+uma_deokure_ritsu,kyori_kubun,keibajo_code,pace_yoso,uma_deokure_ritsu,7,948,76.71,14.09,66.27,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+rotation,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,rotation,7,902,71.49,7.09,66.24,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+joho_shisu+uma_deokure_ritsu,keibajo_code,kyusha_hyoka_code,joho_shisu,uma_deokure_ritsu,4,499,81.93,16.27,65.99,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+gekiso_juni,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,gekiso_juni,10,1540,74.16,13.17,65.99,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+uma_deokure_ritsu+rotation,kyusha_hyoka_code,pace_yoso,uma_deokure_ritsu,rotation,7,1192,75.31,12.69,65.91,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+pace_shisu_juni,keibajo_code,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,32,4026,70.8,14.38,65.82,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+gekiso_juni,hizume_code,kyusha_hyoka_code,pace_yoso,gekiso_juni,25,3531,69.82,10.64,65.65,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+hizume_code+kyusha_hyoka_code,kyori_kubun,keibajo_code,hizume_code,kyusha_hyoka_code,22,3034,69.94,10.58,65.53,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+gekiso_juni+uma_deokure_ritsu,kyusha_hyoka_code,pace_yoso,gekiso_juni,uma_deokure_ritsu,11,1631,73.17,12.96,65.51,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+rotation,hizume_code,kyusha_hyoka_code,pace_yoso,rotation,23,3737,71.09,14.4,65.21,False
SURFACE_2_芝_1勝クラス,manken_shirushi+kyusha_hyoka_code+pace_yoso+gekiso_juni,manken_shirushi,kyusha_hyoka_code,pace_yoso,gekiso_juni,10,1352,73.52,13.46,65.18,False
SURFACE_2_芝_1勝クラス,keibajo_code+hizume_code+kyusha_hyoka_code+pace_yoso,keibajo_code,hizume_code,kyusha_hyoka_code,pace_yoso,25,5568,69.53,11.22,65.13,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+hizume_code+pace_yoso,kyori_tekisei_2,kyori_kubun,hizume_code,pace_yoso,12,1928,68.87,7.09,64.86,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+pace_shisu_juni,hizume_code,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,27,3680,68.9,11.33,64.63,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+kishu_shisu+joho_shisu,kyori_kubun,kyusha_hyoka_code,kishu_shisu,joho_shisu,15,2833,71.27,13.13,64.63,False
SURFACE_2_芝_1勝クラス,kyori_kubun+pace_yoso+kishu_shisu+joho_shisu,kyori_kubun,pace_yoso,kishu_shisu,joho_shisu,13,2218,72.86,15.24,64.58,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+kishu_shisu,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,kishu_shisu,9,1344,73.03,13.04,64.52,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+hizume_code+pace_yoso,kyori_kubun,keibajo_code,hizume_code,pace_yoso,15,2053,71.1,13.07,64.48,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+pace_yoso+joho_shisu,kyori_tekisei_2,kyori_kubun,pace_yoso,joho_shisu,5,1144,69.73,5.99,64.48,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+pace_shisu_juni+uma_deokure_ritsu,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,uma_deokure_ritsu,9,1482,72.28,11.97,64.46,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+kishu_shisu,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,kishu_shisu,4,463,82.1,18.01,64.45,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+uma_deokure_ritsu,kyori_kubun,kyusha_hyoka_code,pace_yoso,uma_deokure_ritsu,13,2970,69.9,10.17,64.38,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+kyusha_hyoka_code+uma_deokure_ritsu,kyori_kubun,hizume_code,kyusha_hyoka_code,uma_deokure_ritsu,7,972,73.28,12.01,64.38,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+pace_shisu_juni,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,11,1512,70.98,11.18,64.37,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+ten_shisu_juni+uma_deokure_ritsu,kyusha_hyoka_code,pace_yoso,ten_shisu_juni,uma_deokure_ritsu,10,1622,73.78,15.61,64.11,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+kishu_shisu+kishu_kitai_rentai_ritsu,kyusha_hyoka_code,pace_yoso,kishu_shisu,kishu_kitai_rentai_ritsu,17,3129,71.63,15.91,64.06,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+kishu_shisu,kyori_kubun,kyusha_hyoka_code,pace_yoso,kishu_shisu,31,5819,68.72,14.85,63.5,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+pace_yoso+uma_deokure_ritsu,kyori_tekisei_2,kyori_kubun,pace_yoso,uma_deokure_ritsu,4,683,75.02,11.76,63.5,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+pace_yoso+ten_shisu_juni,kyori_tekisei_2,kyusha_hyoka_code,pace_yoso,ten_shisu_juni,13,1695,72.06,15.78,63.49,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+ten_shisu_juni,hizume_code,kyusha_hyoka_code,pace_yoso,ten_shisu_juni,25,3457,67.65,10.77,63.43,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+pace_yoso+rotation,kyori_kubun,keibajo_code,pace_yoso,rotation,5,577,69.99,7.54,63.38,False
SURFACE_2_芝_1勝クラス,manken_shirushi+kyusha_hyoka_code+pace_yoso+joho_shisu,manken_shirushi,kyusha_hyoka_code,pace_yoso,joho_shisu,8,1831,69.67,9.36,63.18,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+pace_yoso+rotation,kyori_tekisei_2,kyori_kubun,pace_yoso,rotation,6,732,70.4,9.16,63.07,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+pace_shisu_juni+rotation,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,rotation,11,1204,69.12,10.3,63.03,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+kishu_shisu+joho_shisu,keibajo_code,kyusha_hyoka_code,kishu_shisu,joho_shisu,10,1425,70.57,12.7,62.7,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+kishu_shisu,keibajo_code,kyusha_hyoka_code,pace_yoso,kishu_shisu,20,3042,70.72,18.69,62.53,False
SURFACE_2_芝_1勝クラス,manken_shirushi+hizume_code+kyusha_hyoka_code+pace_yoso,manken_shirushi,hizume_code,kyusha_hyoka_code,pace_yoso,19,2719,67.75,11.63,62.51,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+pace_shisu_juni+joho_shisu,kyusha_hyoka_code,pace_yoso,pace_shisu_juni,joho_shisu,16,3144,66.69,8.81,62.37,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+kishu_shisu+joho_shisu,kyusha_hyoka_code,pace_yoso,kishu_shisu,joho_shisu,14,4129,71.3,17.94,61.9,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+pace_yoso+joho_shisu,kyori_kubun,keibajo_code,pace_yoso,joho_shisu,14,2148,69.44,15.53,61.31,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+uma_deokure_ritsu,keibajo_code,kyusha_hyoka_code,pace_yoso,uma_deokure_ritsu,6,1609,73.88,15.79,61.25,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+joho_shisu+rotation,kyusha_hyoka_code,pace_yoso,joho_shisu,rotation,14,2945,68.63,14.29,61.14,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+joho_shisu,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,joho_shisu,7,1554,66.03,7.13,60.76,False
SURFACE_2_芝_1勝クラス,keibajo_code+kyusha_hyoka_code+pace_yoso+joho_shisu,keibajo_code,kyusha_hyoka_code,pace_yoso,joho_shisu,17,4168,69.08,17.5,60.75,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+kishu_shisu,hizume_code,kyusha_hyoka_code,pace_yoso,kishu_shisu,20,3152,67.78,16.21,60.67,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+gekiso_juni+rotation,kyusha_hyoka_code,pace_yoso,gekiso_juni,rotation,9,983,69.46,13.69,60.51,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+kishu_shisu+uma_deokure_ritsu,kyusha_hyoka_code,pace_yoso,kishu_shisu,uma_deokure_ritsu,6,944,70.72,13.21,60.15,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+gekiso_juni+joho_shisu,kyusha_hyoka_code,pace_yoso,gekiso_juni,joho_shisu,16,3130,66.43,12.83,60.14,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+uma_deokure_ritsu,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,uma_deokure_ritsu,4,725,70.31,10.4,60.11,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+keibajo_code+kyusha_hyoka_code+joho_shisu,kyori_tekisei_2,keibajo_code,kyusha_hyoka_code,joho_shisu,4,523,79.3,19.96,59.75,False
SURFACE_2_芝_1勝クラス,keibajo_code+pace_yoso+kishu_shisu+joho_shisu,keibajo_code,pace_yoso,kishu_shisu,joho_shisu,7,927,72.41,17.22,59.65,False
SURFACE_2_芝_1勝クラス,hizume_code+kyusha_hyoka_code+pace_yoso+joho_shisu,hizume_code,kyusha_hyoka_code,pace_yoso,joho_shisu,16,4031,66.97,14.97,59.64,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+joho_shisu,kyori_kubun,kyusha_hyoka_code,pace_yoso,joho_shisu,11,4756,67.08,12.94,59.43,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+manken_shisu+joho_shisu,kyusha_hyoka_code,pace_yoso,manken_shisu,joho_shisu,7,751,71.3,16.26,59.26,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+kyusha_hyoka_code+rotation,kyori_kubun,hizume_code,kyusha_hyoka_code,rotation,6,662,67.6,10.47,59.22,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+kyusha_hyoka_code+rotation,kyori_kubun,keibajo_code,kyusha_hyoka_code,rotation,8,943,65.57,9.56,58.95,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+ten_shisu_juni+joho_shisu,kyusha_hyoka_code,pace_yoso,ten_shisu_juni,joho_shisu,15,3056,66.57,15.2,58.87,False
SURFACE_2_芝_1勝クラス,keibajo_code+hizume_code+kyusha_hyoka_code+joho_shisu,keibajo_code,hizume_code,kyusha_hyoka_code,joho_shisu,10,1321,63.78,9.38,57.97,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyori_kubun+kyusha_hyoka_code+gekiso_juni,kyori_tekisei_2,kyori_kubun,kyusha_hyoka_code,gekiso_juni,4,433,66.73,9.15,57.77,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+kishu_shisu+joho_shisu+kishu_kitai_rentai_ritsu,kyusha_hyoka_code,kishu_shisu,joho_shisu,kishu_kitai_rentai_ritsu,10,1572,69.55,19.68,57.35,False
SURFACE_2_芝_1勝クラス,kyori_kubun+manken_shirushi+kyusha_hyoka_code+joho_shisu,kyori_kubun,manken_shirushi,kyusha_hyoka_code,joho_shisu,4,427,62.94,5.93,57.13,False
SURFACE_2_芝_1勝クラス,kyori_kubun+keibajo_code+kyusha_hyoka_code+joho_shisu,kyori_kubun,keibajo_code,kyusha_hyoka_code,joho_shisu,19,3097,64.62,18.84,56.15,False
SURFACE_2_芝_1勝クラス,kyori_tekisei_2+kyusha_hyoka_code+kishu_shisu+joho_shisu,kyori_tekisei_2,kyusha_hyoka_code,kishu_shisu,joho_shisu,5,663,73.49,19.81,56.12,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+pace_yoso+manken_shisu,kyori_kubun,kyusha_hyoka_code,pace_yoso,manken_shisu,4,410,68.97,13.45,55.79,False
SURFACE_2_芝_1勝クラス,kyori_kubun+hizume_code+kyusha_hyoka_code+joho_shisu,kyori_kubun,hizume_code,kyusha_hyoka_code,joho_shisu,17,2854,62.63,14.62,55.68,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+joho_shisu+rotation,kyori_kubun,kyusha_hyoka_code,joho_shisu,rotation,10,1408,66.33,17.45,55.52,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+joho_shisu+kishu_kitai_rentai_ritsu,kyusha_hyoka_code,pace_yoso,joho_shisu,kishu_kitai_rentai_ritsu,8,1088,71.0,22.92,55.12,False
SURFACE_2_芝_1勝クラス,pace_yoso+kishu_shisu+joho_shisu+kishu_kitai_rentai_ritsu,pace_yoso,kishu_shisu,joho_shisu,kishu_kitai_rentai_ritsu,9,1212,68.73,20.95,55.04,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+idm+joho_shisu,kyusha_hyoka_code,pace_yoso,idm,joho_shisu,11,1694,65.3,17.47,54.97,False
SURFACE_2_芝_1勝クラス,kyori_kubun+pace_yoso+joho_shisu+uma_deokure_ritsu,kyori_kubun,pace_yoso,joho_shisu,uma_deokure_ritsu,3,529,72.43,16.24,54.05,False
SURFACE_2_芝_1勝クラス,kyusha_hyoka_code+pace_yoso+kishu_shisu+rotation,kyusha_hyoka_code,pace_yoso,kishu_shisu,rotation,9,1265,62.62,13.7,53.67,False
SURFACE_2_芝_1勝クラス,kyori_kubun+kyusha_hyoka_code+gekiso_juni+joho_shisu,kyori_kubun,kyusha_hyoka_code,gekiso_juni,joho_shisu,4,418,67.5,14.47,53.32,False
