combo,combo_ja,phases,n_segments,n_bins_total,max_n_horses,min_n_horses,all_bin_keys_le20,sample_bin_keys,bin_type_primary,current_bin_rule
da_tekisei_code+ichi_shisu_juni+pace_shisu_juni,ダ適性＋位置指数順位＋ペース指数順位,3,1,631,188,1,(631個),"1|1.0|1.0, 1|1.0|2.0, 1|1.0|3.0, 1|1.0|4.0, 1|1.0|6.0, 1|1.0|7.0, 1|1.0|8.0, 1|10.0|10.0, 1|10.0|11.0, 1|10.0|12.0",categorical,カテゴリ値そのままビン化
da_tekisei_code+idm+tenkai_kigo_code,ダ適性＋IDM指数＋展開記号,3,1,1745,119,1,(1745個),"1|44.4|4, 1|45.0|0, 1|46.0|0, 1|46.3|4, 1|48.0|0, 1|49.0|0, 1|49.0|1, 1|49.0|4, 1|50.0|0, 1|50.0|1",categorical,カテゴリ値そのままビン化
da_tekisei_code+manken_shirushi+hizume_code+umakigo_code,ダ適性＋万券印＋蹄コード＋馬記号,4,1,583,140,1,(583個),"1|1|02|00, 1|1|03|00, 1|1|09|00, 1|1|10|00, 1|1|11|00, 1|1|11|05, 1|1|19|00, 1|1|22|00, 1|1|22|06, 1|1|23|00",categorical,カテゴリ値そのままビン化
da_tekisei_code+manken_shirushi+pace_shisu_juni,ダ適性＋万券印＋ペース指数順位,3,1,383,111,1,(383個),"1|1|1.0, 1|1|10.0, 1|1|11.0, 1|1|12.0, 1|1|13.0, 1|1|14.0, 1|1|15.0, 1|1|16.0, 1|1|2.0, 1|1|3.0",categorical,カテゴリ値そのままビン化
da_tekisei_code+rotation+agari_shisu_juni,ダ適性＋ローテーション＋上がり指数順位,3,1,1076,127,1,(1076個),"1|0.0|11.0, 1|0.0|12.0, 1|0.0|9.0, 1|1.0|10.0, 1|1.0|13.0, 1|1.0|2.0, 1|1.0|3.0, 1|1.0|4.0, 1|1.0|5.0, 1|1.0|8.0",categorical,カテゴリ値そのままビン化
gekiso_juni+agari_shisu_juni,激走順位＋上がり指数順位,2,3,256,267,1,(256個),"1.0|1.0, 1.0|10.0, 1.0|11.0, 1.0|12.0, 1.0|13.0, 1.0|14.0, 1.0|15.0, 1.0|16.0, 1.0|2.0, 1.0|3.0",rank_bucket,数値そのままビン化
gekiso_juni+kijun_ninkijun_tansho,激走順位＋基準人気順単勝,2,2,286,274,1,(286個),"1.0|1, 1.0|10, 1.0|11, 1.0|12, 1.0|13, 1.0|14, 1.0|15, 1.0|16, 1.0|2, 1.0|3",rank_bucket,数値そのままビン化
gekiso_juni+pace_shisu_juni,激走順位＋ペース指数順位,2,1,256,325,2,(256個),"1.0|1.0, 1.0|10.0, 1.0|11.0, 1.0|12.0, 1.0|13.0, 1.0|14.0, 1.0|15.0, 1.0|16.0, 1.0|2.0, 1.0|3.0",rank_bucket,数値そのままビン化
gekiso_juni+ten_shisu_juni,激走順位＋テン指数順位,2,2,324,259,2,(324個),"1.0|1.0, 1.0|10.0, 1.0|11.0, 1.0|12.0, 1.0|13.0, 1.0|14.0, 1.0|15.0, 1.0|16.0, 1.0|17.0, 1.0|18.0",rank_bucket,数値そのままビン化
gekiso_shisu+pace_shisu_juni,激走指数＋ペース指数順位,2,1,4422,112,1,(4422個),"-85|18.0, -64|12.0, -50|6.0, -48|14.0, -47|4.0, -47|6.0, -46|11.0, -46|8.0, -33|14.0, -32|1.0",numeric_range,数値そのままビン化
hizume_code+class_code+ten_shisu_juni,蹄コード＋クラスコード＋テン指数順位,3,1,621,157,1,(621個),"01|18|10.0, 01|18|15.0, 01|18|2.0, 01|18|6.0, 01|18|8.0, 01|35|10.0, 01|35|15.0, 01|37|2.0, 01|37|3.0, 01|38|1.0",categorical,カテゴリ値そのままビン化
hizume_code+ichi_shisu_juni+ten_shisu_juni,蹄コード＋位置指数順位＋テン指数順位,3,1,2902,158,1,(2902個),"01|1.0|1.0, 01|1.0|2.0, 01|1.0|3.0, 01|1.0|4.0, 01|1.0|6.0, 01|1.0|9.0, 01|10.0|14.0, 01|10.0|7.0, 01|10.0|8.0, 01|11.0|11.0",categorical,カテゴリ値そのままビン化
hizume_code+joshodo_code+ten_shisu_juni,蹄コード＋上昇度＋テン指数順位,3,1,309,113,1,(309個),"01|3|1.0, 01|3|10.0, 01|3|13.0, 01|3|2.0, 01|3|3.0, 01|3|4.0, 01|3|5.0, 01|3|6.0, 01|3|7.0, 01|3|9.0",categorical,カテゴリ値そのままビン化
hizume_code+omo_tekisei_code+uma_deokure_ritsu+ten_shisu_juni,蹄コード＋重適性＋馬出遅率＋テン指数順位,4,1,9448,130,1,(9448個),"01|1|0.0|1.0, 01|1|0.0|2.0, 01|1|0.0|3.0, 01|1|0.0|4.0, 01|1|10.0|5.0, 01|1|11.0|4.0, 01|1|11.0|5.0, 01|1|11.0|8.0, 01|1|14.0|9.0, 01|1|15.0|16.0",categorical,カテゴリ値そのままビン化
hizume_code+pace_yoso+tenkai_kigo_code+agari_shisu_juni,蹄コード＋ペース予想＋展開記号＋上がり指数順位,4,1,1358,141,1,(1358個),"01|H|0|10.0, 01|H|0|12.0, 01|H|0|13.0, 01|H|0|15.0, 01|H|0|4.0, 01|H|0|6.0, 01|H|0|7.0, 01|H|0|9.0, 01|H|1|15.0, 01|H|1|5.0",categorical,カテゴリ値そのままビン化
hizume_code+rotation,蹄コード＋ローテーション,2,1,432,185,1,(432個),"01|0.0, 01|1.0, 01|13.0, 01|18.0, 01|2.0, 01|3.0, 01|4.0, 01|7.0, 01|8.0, 02|1.0",categorical,カテゴリ値そのままビン化
hizume_code+rotation+uma_deokure_ritsu+kyakushitsu,蹄コード＋ローテーション＋馬出遅率＋脚質,4,1,9323,133,1,(9323個),"01|0.0|13.0|4, 01|0.0|17.0|3, 01|1.0|11.0|4, 01|1.0|12.0|3, 01|1.0|14.0|2, 01|1.0|17.0|1, 01|1.0|17.0|2, 01|1.0|20.0|3, 01|1.0|22.0|3, 01|1.0|25.0|3",categorical,カテゴリ値そのままビン化
hizume_code+ten_shisu_juni,蹄コード＋テン指数順位,2,2,279,114,1,(279個),"01|1.0, 01|10.0, 01|11.0, 01|12.0, 01|13.0, 01|2.0, 01|3.0, 01|4.0, 01|5.0, 01|6.0",categorical,カテゴリ値そのままビン化
hizume_code+ten_shisu_juni+pace_shisu_juni,蹄コード＋テン指数順位＋ペース指数順位,3,1,3208,203,1,(3208個),"01|1.0|1.0, 01|1.0|2.0, 01|1.0|4.0, 01|10.0|11.0, 01|10.0|12.0, 01|10.0|15.0, 01|10.0|16.0, 01|10.0|2.0, 01|10.0|3.0, 01|10.0|5.0",categorical,カテゴリ値そのままビン化
hizume_code+tenkai_kigo_code+agari_shisu_juni,蹄コード＋展開記号＋上がり指数順位,3,1,562,129,1,(562個),"01|0|12.0, 01|0|15.0, 01|0|6.0, 01|0|8.0, 01|1|15.0, 01|2|1.0, 02|0|10.0, 02|0|11.0, 02|0|12.0, 02|0|13.0",categorical,カテゴリ値そのままビン化
hizume_code+uma_deokure_ritsu+ten_shisu_juni,蹄コード＋馬出遅率＋テン指数順位,3,1,3519,153,1,(3519個),"01|0.0|12.0, 01|0.0|2.0, 01|0.0|4.0, 01|10.0|3.0, 01|10.0|5.0, 01|11.0|12.0, 01|11.0|2.0, 01|14.0|11.0, 01|14.0|4.0, 01|15.0|9.0",categorical,カテゴリ値そのままビン化
hizume_code+uma_deokure_ritsu+ten_shisu_juni+umakigo_code,蹄コード＋馬出遅率＋テン指数順位＋馬記号,4,1,4019,141,1,(4019個),"01|0.0|12.0|00, 01|0.0|2.0|00, 01|0.0|4.0|00, 01|10.0|3.0|00, 01|10.0|5.0|00, 01|11.0|12.0|00, 01|11.0|2.0|00, 01|14.0|11.0|00, 01|14.0|4.0|00, 01|15.0|9.0|05",categorical,カテゴリ値そのままビン化
