combo,combo_ja,phases,n_segments,n_bins_total,max_n_horses,min_n_horses,all_bin_keys_le20,sample_bin_keys,bin_type_primary,current_bin_rule
keibajo_code+hizume_code+manken_shirushi+uma_start_shisu,競馬場＋蹄コード＋万券印＋馬スタート指数,4,1,3726,106,1,(3726個),"03|01|2|-0.5, 03|01|3|-0.3, 03|01|3|0.3, 03|01|5|-0.3, 03|01|6|-1.1, 03|01|6|0.0, 03|01|7|-0.1, 03|01|7|-0.5, 03|01|7|-1.1, 03|01|8|-0.3",categorical,カテゴリ値そのままビン化
keibajo_code+ichi_shisu,競馬場＋位置指数,2,1,2214,118,1,(2214個),"01|-0.1, 01|-0.2, 01|-0.3, 01|-0.4, 01|-0.5, 01|-0.6, 01|-0.7, 01|-0.8, 01|-0.9, 01|-1.0",categorical,カテゴリ値そのままビン化
keibajo_code+joken_class_code+hizume_code+agari_shisu_juni,競馬場＋条件クラス＋蹄コード＋上がり指数順位,4,1,2231,126,1,(2231個),"03|0|01|10.0, 03|0|01|13.0, 03|0|01|15.0, 03|0|02|1.0, 03|0|02|10.0, 03|0|02|11.0, 03|0|02|14.0, 03|0|02|15.0, 03|0|02|16.0, 03|0|02|2.0",categorical,カテゴリ値そのままビン化
keibajo_code+manken_shirushi+joho_shisu+umakigo_code,競馬場＋万券印＋情報指数＋馬記号,4,1,4081,107,1,(4081個),"01|1|-1.0|00, 01|1|0.0|00, 01|1|0.0|05, 01|1|0.1|00, 01|1|0.2|00, 01|1|0.4|00, 01|1|0.5|00, 01|1|0.6|00, 01|1|0.7|00, 01|1|0.8|00",categorical,カテゴリ値そのままビン化
keibajo_code+manken_shirushi+uma_start_shisu+class_code,競馬場＋万券印＋馬スタート指数＋クラスコード,4,1,2964,115,1,(2964個),"01|1|-0.1|12, 01|1|-0.1|32, 01|1|-0.2|31, 01|1|-0.2|32, 01|1|-0.3|12, 01|1|-0.3|32, 01|1|-0.4|32, 01|1|-0.5|32, 01|1|-0.6|29, 01|1|-0.6|32",categorical,カテゴリ値そのままビン化
keibajo_code+pace_shisu_juni+gekiso_juni,競馬場＋ペース指数順位＋激走順位,3,1,864,132,1,(864個),"03|1.0|1.0, 03|1.0|10.0, 03|1.0|11.0, 03|1.0|12.0, 03|1.0|13.0, 03|1.0|14.0, 03|1.0|15.0, 03|1.0|16.0, 03|1.0|2.0, 03|1.0|3.0",categorical,カテゴリ値そのままビン化
kijun_ninkijun_tansho+agari_shisu_juni,基準人気順単勝＋上がり指数順位,2,1,225,139,2,(225個),"1|1.0, 1|10.0, 1|11.0, 1|12.0, 1|13.0, 1|14.0, 1|15.0, 1|2.0, 1|3.0, 1|4.0",numeric_range,数値そのままビン化
kijun_ninkijun_tansho+gekiso_juni+pace_shisu_juni,基準人気順単勝＋激走順位＋ペース指数順位,3,1,4715,185,1,(4715個),"1|1.0|1.0, 1|1.0|10.0, 1|1.0|11.0, 1|1.0|12.0, 1|1.0|13.0, 1|1.0|14.0, 1|1.0|15.0, 1|1.0|16.0, 1|1.0|2.0, 1|1.0|3.0",numeric_range,数値そのままビン化
kijun_ninkijun_tansho+rotation,基準人気順単勝＋ローテーション,2,1,425,115,1,(425個),"1|1.0, 1|10.0, 1|11.0, 1|12.0, 1|13.0, 1|14.0, 1|15.0, 1|16.0, 1|17.0, 1|18.0",numeric_range,数値そのままビン化
kishu_kitai_tansho_ritsu,騎手期待単勝率,1,1,537,21704,1,(537個),"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9",numeric_range,数値そのままビン化
kishu_minarai_code,騎手見習,1,6,6,7213,3,"0.0, 1.0, 2.0, 3.0, 4.0, 9.0","0.0, 1.0, 2.0, 3.0, 4.0, 9.0",categorical,"騎手見習コード(0-4,9)そのままビン化 [JVD]"
kishu_minarai_code+kyakushitsu+tenkai_kigo_code,騎手見習＋脚質＋展開記号,3,1,80,1584,1,(80個),"0|1|1, 0|1|2, 0|1|3, 0|2|0, 0|2|2, 0|2|3, 0|2|4, 0|3|0, 0|3|2, 0|3|3",categorical,"騎手見習コード(0-4,9)そのままビン化 [JVD]"
kishu_minarai_code+tenkai_kigo_code,騎手見習＋展開記号,2,1,27,2332,1,(27個),"0|0, 0|1, 0|2, 0|3, 0|4, 1|0, 1|1, 1|2, 1|3, 1|4",categorical,"騎手見習コード(0-4,9)そのままビン化 [JVD]"
kishu_minarai_code+umakigo_code+kyusha_hyoka_code,騎手見習＋馬記号＋厩舎評価,3,1,46,5766,1,(46個),"0|00|1, 0|00|2, 0|00|3, 0|00|4, 0|05|1, 0|05|2, 0|05|3, 0|05|4, 0|06|1, 0|06|2",categorical,"騎手見習コード(0-4,9)そのままビン化 [JVD]"
kishu_shisu,騎手指数,1,1,40,47834,23,(40個),"0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9",numeric_range,数値そのままビン化
kishu_shisu+omo_tekisei_code+ten_shisu_juni,騎手指数＋重適性＋テン指数順位,3,1,1591,112,1,(1591個),"0.0|1|11.0, 0.0|2|1.0, 0.0|2|11.0, 0.0|2|12.0, 0.0|2|13.0, 0.0|2|14.0, 0.0|2|17.0, 0.0|2|18.0, 0.0|2|2.0, 0.0|2|3.0",numeric_range,数値そのままビン化
kyakushitsu+agari_shisu_juni+kakutoku_shokin_ruikei,脚質＋上がり指数順位＋獲得賞金累計,3,1,2017,113,1,(2017個),"0|1.0|0, 0|10.0|0, 0|11.0|0, 0|12.0|0, 0|13.0|0, 0|14.0|0, 0|15.0|0, 0|16.0|0, 0|2.0|0, 0|3.0|0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+chokyo_shisu,脚質＋調教指数,2,1,1457,126,1,(1457個),"1|-0.1, 1|-0.2, 1|-0.3, 1|-0.4, 1|-0.5, 1|-0.6, 1|-0.7, 1|-0.8, 1|-0.9, 1|-1.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+da_tekisei_code+pace_shisu_juni,脚質＋ダ適性＋ペース指数順位,3,1,155,124,1,(155個),"1|1|1.0, 1|1|10.0, 1|1|11.0, 1|1|2.0, 1|1|3.0, 1|1|4.0, 1|1|5.0, 1|1|6.0, 1|1|8.0, 1|1|9.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+gekiso_juni,脚質＋激走順位,2,1,70,122,2,(70個),"0|1.0, 0|10.0, 0|11.0, 0|12.0, 0|13.0, 0|14.0, 0|2.0, 0|3.0, 0|4.0, 0|5.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+gekiso_juni+uma_deokure_ritsu,脚質＋激走順位＋馬出遅率,3,1,2526,130,1,(2526個),"1|1.0|0.0, 1|1.0|10.0, 1|1.0|11.0, 1|1.0|12.0, 1|1.0|14.0, 1|1.0|15.0, 1|1.0|16.0, 1|1.0|17.0, 1|1.0|18.0, 1|1.0|20.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+hizume_code+ten_shisu_juni,脚質＋蹄コード＋テン指数順位,3,1,789,127,1,(789個),"1|01|1.0, 1|01|2.0, 1|01|3.0, 1|01|4.0, 1|02|1.0, 1|02|10.0, 1|02|11.0, 1|02|12.0, 1|02|13.0, 1|02|14.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+ichi_shisu_juni+agari_shisu_juni,脚質＋位置指数順位＋上がり指数順位,3,1,737,113,1,(737個),"0|1.0|1.0, 0|1.0|10.0, 0|1.0|11.0, 0|1.0|12.0, 0|1.0|13.0, 0|1.0|14.0, 0|1.0|15.0, 0|1.0|16.0, 0|1.0|2.0, 0|1.0|3.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+ichi_shisu_juni+agari_shisu_juni+kakutoku_shokin_ruikei,脚質＋位置指数順位＋上がり指数順位＋獲得賞金累計,4,1,2760,113,1,(2760個),"0|1.0|1.0|0, 0|1.0|10.0|0, 0|1.0|11.0|0, 0|1.0|12.0|0, 0|1.0|13.0|0, 0|1.0|14.0|0, 0|1.0|15.0|0, 0|1.0|16.0|0, 0|1.0|2.0|0, 0|1.0|3.0|0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+kijun_ninkijun_tansho+gekiso_juni,脚質＋基準人気順単勝＋激走順位,3,2,1217,221,1,(1217個),"0|10|1.0, 0|10|10.0, 0|10|11.0, 0|10|12.0, 0|10|13.0, 0|10|14.0, 0|10|15.0, 0|10|16.0, 0|10|2.0, 0|10|3.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+kyori_tekisei+kijun_ninkijun_tansho,脚質＋距離適性＋基準人気順単勝,3,1,199,134,1,(199個),"0|0|1, 0|0|10, 0|0|11, 0|0|12, 0|0|2, 0|0|3, 0|0|4, 0|0|5, 0|0|6, 0|0|7",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+pace_shisu_juni,脚質＋ペース指数順位,2,1,69,112,1,(69個),"0|1.0, 0|10.0, 0|11.0, 0|12.0, 0|13.0, 0|14.0, 0|2.0, 0|3.0, 0|4.0, 0|5.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+pace_shisu_juni+ten_shisu_juni,脚質＋ペース指数順位＋テン指数順位,3,1,929,200,1,(929個),"0|1.0|1.0, 0|1.0|2.0, 0|1.0|3.0, 0|10.0|10.0, 0|10.0|11.0, 0|10.0|12.0, 0|10.0|13.0, 0|10.0|9.0, 0|11.0|10.0, 0|11.0|11.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+pace_shisu_juni+uma_start_shisu,脚質＋ペース指数順位＋馬スタート指数,3,1,1022,107,1,(1022個),"1|1.0|-0.1, 1|1.0|-0.2, 1|1.0|-0.3, 1|1.0|-0.4, 1|1.0|-0.5, 1|1.0|-0.6, 1|1.0|-0.8, 1|1.0|-1.0, 1|1.0|0.0, 1|1.0|0.1",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+rotation+agari_shisu_juni,脚質＋ローテーション＋上がり指数順位,3,1,1264,114,1,(1264個),"1|0.0|1.0, 1|0.0|10.0, 1|0.0|11.0, 1|0.0|12.0, 1|0.0|13.0, 1|0.0|14.0, 1|0.0|15.0, 1|0.0|16.0, 1|0.0|2.0, 1|0.0|3.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+rotation+pace_shisu_juni,脚質＋ローテーション＋ペース指数順位,3,1,1201,127,1,(1201個),"1|0.0|1.0, 1|0.0|12.0, 1|0.0|2.0, 1|0.0|3.0, 1|0.0|4.0, 1|0.0|5.0, 1|0.0|7.0, 1|0.0|8.0, 1|1.0|1.0, 1|1.0|10.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+rotation+tenkai_kigo_code+agari_shisu_juni,脚質＋ローテーション＋展開記号＋上がり指数順位,4,1,1605,114,1,(1605個),"1|0.0|1|10.0, 1|0.0|1|11.0, 1|0.0|1|12.0, 1|0.0|1|13.0, 1|0.0|1|14.0, 1|0.0|1|15.0, 1|0.0|1|16.0, 1|0.0|1|4.0, 1|0.0|1|5.0, 1|0.0|1|6.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+ten_shisu_juni,脚質＋テン指数順位,2,1,69,125,1,(69個),"0|1.0, 0|10.0, 0|11.0, 0|12.0, 0|13.0, 0|14.0, 0|2.0, 0|3.0, 0|4.0, 0|5.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+ten_shisu_juni+uma_start_shisu,脚質＋テン指数順位＋馬スタート指数,3,1,1009,123,1,(1009個),"1|1.0|-0.1, 1|1.0|-0.2, 1|1.0|-0.3, 1|1.0|-0.4, 1|1.0|-0.5, 1|1.0|-0.6, 1|1.0|-0.7, 1|1.0|-0.8, 1|1.0|0.0, 1|1.0|0.1",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyakushitsu+uma_deokure_ritsu+uma_start_shisu+ten_shisu_juni,脚質＋馬出遅率＋馬スタート指数＋テン指数順位,4,1,6416,110,1,(6416個),"1|0.0|-0.1|1.0, 1|0.0|-0.1|10.0, 1|0.0|-0.1|2.0, 1|0.0|-0.1|3.0, 1|0.0|-0.1|4.0, 1|0.0|-0.1|5.0, 1|0.0|-0.1|6.0, 1|0.0|-0.1|7.0, 1|0.0|-0.2|1.0, 1|0.0|-0.2|15.0",categorical,脚質コード(1逃/2先/3差/4追)そのままビン化
kyori_kubun+joho_shisu+kishu_shisu+uma_start_shisu,距離区分＋情報指数＋騎手指数＋馬スタート指数,4,1,6889,187,1,(6889個),"中距離|-1.0|0.0|-0.7, 中距離|-1.0|0.0|-1.0, 中距離|-1.0|0.0|0.0, 中距離|-1.0|0.0|1.0, 中距離|-1.0|0.1|-0.1, 中距離|-1.0|0.1|-0.2, 中距離|-1.0|0.1|-0.3, 中距離|-1.0|0.1|-0.4, 中距離|-1.0|0.1|-0.5, 中距離|-1.0|0.1|-0.6",categorical,カテゴリ値そのままビン化
kyori_kubun+joken_class_code+kishu_shisu+uma_deokure_ritsu,距離区分＋条件クラス＋騎手指数＋馬出遅率,4,1,3386,145,1,(3386個),"中距離|0|0.0|50.0, 中距離|0|0.0|99.9, 中距離|0|0.1|0.0, 中距離|0|0.1|12.0, 中距離|0|0.1|20.0, 中距離|0|0.1|25.0, 中距離|0|0.1|29.0, 中距離|0|0.1|30.0, 中距離|0|0.1|33.0, 中距離|0|0.1|38.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kijun_ninkijun_tansho+gekiso_juni,距離区分＋基準人気順単勝＋激走順位,3,1,738,255,1,(738個),"マイル|10|1.0, マイル|10|10.0, マイル|10|11.0, マイル|10|12.0, マイル|10|13.0, マイル|10|14.0, マイル|10|15.0, マイル|10|16.0, マイル|10|2.0, マイル|10|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kijun_ninkijun_tansho+uma_start_shisu,距離区分＋基準人気順単勝＋馬スタート指数,3,1,830,115,1,(830個),"マイル|10|-0.1, マイル|10|-0.2, マイル|10|-0.3, マイル|10|-0.4, マイル|10|-0.5, マイル|10|-0.6, マイル|10|-0.7, マイル|10|-0.8, マイル|10|-1.0, マイル|10|-1.3",categorical,カテゴリ値そのままビン化
kyori_kubun+kyakushitsu+kijun_ninkijun_tansho,距離区分＋脚質＋基準人気順単勝,3,1,188,111,1,(188個),"マイル|1|1, マイル|1|10, マイル|1|11, マイル|1|12, マイル|1|13, マイル|1|14, マイル|1|15, マイル|1|16, マイル|1|2, マイル|1|3",categorical,カテゴリ値そのままビン化
kyori_kubun+kyakushitsu+kyori_tekisei+kijun_ninkijun_tansho,距離区分＋脚質＋距離適性＋基準人気順単勝,4,1,688,136,1,(688個),"中距離|1|0|1, 中距離|1|0|10, 中距離|1|0|11, 中距離|1|0|12, 中距離|1|0|2, 中距離|1|0|3, 中距離|1|0|4, 中距離|1|0|5, 中距離|1|0|6, 中距離|1|0|7",categorical,カテゴリ値そのままビン化
kyori_kubun+kyakushitsu+pace_shisu_juni,距離区分＋脚質＋ペース指数順位,3,1,251,120,1,(251個),"マイル|1|1.0, マイル|1|10.0, マイル|1|11.0, マイル|1|12.0, マイル|1|13.0, マイル|1|14.0, マイル|1|15.0, マイル|1|16.0, マイル|1|2.0, マイル|1|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+ichi_shisu_juni,距離区分＋距離適性＋位置指数順位,3,1,207,124,1,(207個),"マイル|0|1.0, マイル|0|10.0, マイル|0|11.0, マイル|0|12.0, マイル|0|13.0, マイル|0|14.0, マイル|0|15.0, マイル|0|16.0, マイル|0|17.0, マイル|0|2.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+kishu_shisu+uma_start_shisu,距離区分＋距離適性＋騎手指数＋馬スタート指数,4,1,3124,140,1,(3124個),"中距離|0|0.0|-0.3, 中距離|0|0.0|-0.4, 中距離|0|0.0|-1.0, 中距離|0|0.0|0.0, 中距離|0|0.1|-0.1, 中距離|0|0.1|-0.2, 中距離|0|0.1|-0.3, 中距離|0|0.1|-0.4, 中距離|0|0.1|-0.5, 中距離|0|0.1|-0.6",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+ten_shisu_juni,距離区分＋距離適性＋テン指数順位,3,1,201,117,1,(201個),"マイル|0|1.0, マイル|0|10.0, マイル|0|11.0, マイル|0|12.0, マイル|0|13.0, マイル|0|15.0, マイル|0|16.0, マイル|0|18.0, マイル|0|2.0, マイル|0|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+uma_start_shisu+kyakushitsu,距離区分＋距離適性＋馬スタート指数＋脚質,4,1,693,227,1,(693個),"マイル|0|-0.1|1, マイル|0|-0.1|2, マイル|0|-0.1|3, マイル|0|-0.2|2, マイル|0|-0.2|3, マイル|0|-0.2|4, マイル|0|-0.3|1, マイル|0|-0.3|2, マイル|0|-0.3|3, マイル|0|-0.3|4",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+uma_start_shisu+omo_tekisei_code,距離区分＋距離適性＋馬スタート指数＋重適性,4,1,506,256,1,(506個),"マイル|0|-0.1|2, マイル|0|-0.1|3, マイル|0|-0.2|2, マイル|0|-0.2|3, マイル|0|-0.3|2, マイル|0|-0.3|3, マイル|0|-0.4|2, マイル|0|-0.4|3, マイル|0|-0.5|2, マイル|0|-0.5|3",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,距離区分＋距離適性＋馬スタート指数＋馬出遅率,4,1,1091,180,1,(1091個),"中距離|0|-0.1|0.0, 中距離|0|-0.1|12.0, 中距離|0|-0.1|14.0, 中距離|0|-0.1|17.0, 中距離|0|-0.1|20.0, 中距離|0|-0.1|22.0, 中距離|0|-0.1|25.0, 中距離|0|-0.1|29.0, 中距離|0|-0.1|33.0, 中距離|0|-0.1|43.0",categorical,カテゴリ値そのままビン化
kyori_kubun+kyori_tekisei_2+shiba_tekisei_code,距離区分＋距離適性2＋芝適性,3,1,24,129,1,(24個),"マイル|1|2, マイル|2|1, マイル|2|2, マイル|3|2, マイル|5|1, マイル|5|2, マイル|5|3, 中距離|2|1, 中距離|2|2, 中距離|2|3",categorical,カテゴリ値そのままビン化
kyori_kubun+kyusha_shisu,距離区分＋厩舎指数,2,1,1463,173,1,(1463個),"マイル|-0.1, マイル|-0.2, マイル|-0.3, マイル|-0.4, マイル|-0.5, マイル|-0.6, マイル|-0.7, マイル|-0.8, マイル|-0.9, マイル|-1.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+agari_shisu_juni,距離区分＋万券印＋上がり指数順位,3,1,375,167,1,(375個),"マイル|1|1.0, マイル|1|10.0, マイル|1|11.0, マイル|1|12.0, マイル|1|13.0, マイル|1|14.0, マイル|1|15.0, マイル|1|16.0, マイル|1|2.0, マイル|1|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+da_tekisei_code+hizume_code,距離区分＋万券印＋ダ適性＋蹄コード,4,1,877,178,1,(877個),"マイル|1|1|03, マイル|1|1|09, マイル|1|1|10, マイル|1|1|11, マイル|1|1|19, マイル|1|1|22, マイル|1|1|23, マイル|1|1|24, マイル|1|2|01, マイル|1|2|02",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+hizume_code+uma_start_shisu,距離区分＋万券印＋蹄コード＋馬スタート指数,4,1,3319,106,1,(3319個),"マイル|1|01|-0.4, マイル|1|01|-1.0, マイル|1|01|-1.1, マイル|1|01|0.0, マイル|1|02|-0.1, マイル|1|02|-0.2, マイル|1|02|-0.3, マイル|1|02|-0.4, マイル|1|02|-0.5, マイル|1|02|-0.6",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+joken_class_code+kyakushitsu,距離区分＋万券印＋条件クラス＋脚質,4,1,429,104,1,(429個),"中距離|1|0|0, 中距離|1|0|1, 中距離|1|0|2, 中距離|1|0|3, 中距離|1|0|4, 中距離|1|1|1, 中距離|1|1|2, 中距離|1|1|3, 中距離|1|1|4, 中距離|1|2|1",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+joken_class_code+rotation,距離区分＋万券印＋条件クラス＋ローテーション,4,1,2324,123,1,(2324個),"マイル|1|0|0.0, マイル|1|0|1.0, マイル|1|0|10.0, マイル|1|0|11.0, マイル|1|0|12.0, マイル|1|0|13.0, マイル|1|0|14.0, マイル|1|0|15.0, マイル|1|0|16.0, マイル|1|0|17.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+kyori_tekisei+uma_deokure_ritsu,距離区分＋万券印＋距離適性＋馬出遅率,4,1,920,122,1,(920個),"マイル|1|0|0.0, マイル|1|0|17.0, マイル|1|0|25.0, マイル|1|0|40.0, マイル|1|0|50.0, マイル|1|0|67.0, マイル|1|0|99.9, マイル|1|1|0.0, マイル|1|1|12.0, マイル|1|1|17.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+rotation,距離区分＋万券印＋ローテーション,3,1,483,123,1,(483個),"マイル|1|0.0, マイル|1|1.0, マイル|1|10.0, マイル|1|11.0, マイル|1|12.0, マイル|1|13.0, マイル|1|14.0, マイル|1|15.0, マイル|1|16.0, マイル|1|17.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shirushi+uma_start_shisu,距離区分＋万券印＋馬スタート指数,3,1,678,126,1,(678個),"マイル|1|-0.1, マイル|1|-0.2, マイル|1|-0.3, マイル|1|-0.4, マイル|1|-0.5, マイル|1|-0.6, マイル|1|-0.7, マイル|1|-0.8, マイル|1|-0.9, マイル|1|-1.0",categorical,カテゴリ値そのままビン化
kyori_kubun+manken_shisu+pace_shisu_juni,距離区分＋万券指数＋ペース指数順位,3,1,4489,185,1,(4489個),"マイル|0.0|1.0, マイル|0.0|11.0, マイル|0.0|13.0, マイル|0.0|14.0, マイル|0.0|15.0, マイル|0.0|16.0, マイル|0.0|18.0, マイル|0.0|5.0, マイル|0.0|7.0, マイル|0.0|8.0",categorical,カテゴリ値そのままビン化
kyori_kubun+nyukyu_nannichimae+pace_shisu_juni,距離区分＋入厩何日前＋ペース指数順位,3,1,3493,119,1,(3493個),"マイル|10.0|1.0, マイル|10.0|10.0, マイル|10.0|11.0, マイル|10.0|12.0, マイル|10.0|13.0, マイル|10.0|14.0, マイル|10.0|15.0, マイル|10.0|17.0, マイル|10.0|18.0, マイル|10.0|2.0",categorical,カテゴリ値そのままビン化
kyori_kubun+omo_tekisei_code+hizume_code+kyakushitsu,距離区分＋重適性＋蹄コード＋脚質,4,1,408,150,1,(408個),"マイル|1|01|1, マイル|1|01|2, マイル|1|01|3, マイル|1|02|1, マイル|1|02|2, マイル|1|02|3, マイル|1|02|4, マイル|1|03|1, マイル|1|03|2, マイル|1|03|3",categorical,カテゴリ値そのままビン化
kyori_kubun+omo_tekisei_code+ichi_shisu+umakigo_code,距離区分＋重適性＋位置指数＋馬記号,4,1,4907,111,1,(4907個),"マイル|1|-0.1|00, マイル|1|-0.1|05, マイル|1|-0.1|06, マイル|1|-0.2|00, マイル|1|-0.2|05, マイル|1|-0.2|06, マイル|1|-0.3|00, マイル|1|-0.3|05, マイル|1|-0.4|00, マイル|1|-0.4|05",categorical,カテゴリ値そのままビン化
kyori_kubun+omo_tekisei_code+manken_shirushi,距離区分＋重適性＋万券印,3,1,72,119,6,(72個),"マイル|1|1, マイル|1|2, マイル|1|3, マイル|1|4, マイル|1|5, マイル|1|6, マイル|1|7, マイル|1|8, マイル|2|1, マイル|2|2",categorical,カテゴリ値そのままビン化
kyori_kubun+omo_tekisei_code+manken_shirushi+umakigo_code,距離区分＋重適性＋万券印＋馬記号,4,1,183,109,1,(183個),"マイル|1|1|00, マイル|1|1|05, マイル|1|1|06, マイル|1|2|00, マイル|1|2|05, マイル|1|2|06, マイル|1|3|00, マイル|1|3|05, マイル|1|3|06, マイル|1|4|00",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_shisu_juni+gekiso_juni,距離区分＋ペース指数順位＋激走順位,3,1,1017,131,1,(1017個),"マイル|1.0|1.0, マイル|1.0|10.0, マイル|1.0|11.0, マイル|1.0|12.0, マイル|1.0|13.0, マイル|1.0|14.0, マイル|1.0|15.0, マイル|1.0|16.0, マイル|1.0|2.0, マイル|1.0|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_shisu_juni+ichi_shisu_juni,距離区分＋ペース指数順位＋位置指数順位,3,1,843,174,1,(843個),"マイル|1.0|1.0, マイル|1.0|10.0, マイル|1.0|11.0, マイル|1.0|12.0, マイル|1.0|14.0, マイル|1.0|2.0, マイル|1.0|3.0, マイル|1.0|4.0, マイル|1.0|5.0, マイル|1.0|6.0",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_shisu_juni+uma_start_shisu,距離区分＋ペース指数順位＋馬スタート指数,3,1,869,108,1,(869個),"中距離|1.0|-0.1, 中距離|1.0|-0.2, 中距離|1.0|-0.3, 中距離|1.0|-0.4, 中距離|1.0|-0.5, 中距離|1.0|-0.6, 中距離|1.0|-0.7, 中距離|1.0|-0.8, 中距離|1.0|-0.9, 中距離|1.0|-1.0",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_yoso+manken_shirushi+da_tekisei_code,距離区分＋ペース予想＋万券印＋ダ適性,4,1,133,150,1,(133個),"中距離|H|1|1, 中距離|H|1|2, 中距離|H|1|3, 中距離|H|2|1, 中距離|H|2|2, 中距離|H|2|3, 中距離|H|3|1, 中距離|H|3|2, 中距離|H|3|3, 中距離|H|4|1",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_yoso+uma_deokure_ritsu+ichi_shisu_juni,距離区分＋ペース予想＋馬出遅率＋位置指数順位,4,1,1419,142,1,(1419個),"マイル|H|0.0|1.0, マイル|H|0.0|10.0, マイル|H|0.0|11.0, マイル|H|0.0|12.0, マイル|H|0.0|13.0, マイル|H|0.0|14.0, マイル|H|0.0|15.0, マイル|H|0.0|16.0, マイル|H|0.0|2.0, マイル|H|0.0|3.0",categorical,カテゴリ値そのままビン化
kyori_kubun+pace_yoso+uma_start_shisu+hizume_code,距離区分＋ペース予想＋馬スタート指数＋蹄コード,4,1,1369,124,1,(1369個),"マイル|H|-0.1|02, マイル|H|-0.1|03, マイル|H|-0.1|10, マイル|H|-0.1|11, マイル|H|-0.1|12, マイル|H|-0.1|18, マイル|H|-0.1|19, マイル|H|-0.1|22, マイル|H|-0.1|23, マイル|H|-0.1|24",categorical,カテゴリ値そのままビン化
kyori_kubun+shiba_tekisei_code+kyori_tekisei+ichi_shisu_juni,距離区分＋芝適性＋距離適性＋位置指数順位,4,1,344,118,1,(344個),"マイル|1|1|1.0, マイル|1|1|10.0, マイル|1|1|11.0, マイル|1|1|12.0, マイル|1|1|13.0, マイル|1|1|14.0, マイル|1|1|15.0, マイル|1|1|16.0, マイル|1|1|17.0, マイル|1|1|18.0",categorical,カテゴリ値そのままビン化
kyori_kubun+ten_shisu_juni+ichi_shisu_juni,距離区分＋テン指数順位＋位置指数順位,3,1,585,145,1,(585個),"中距離|1.0|1.0, 中距離|1.0|10.0, 中距離|1.0|11.0, 中距離|1.0|12.0, 中距離|1.0|2.0, 中距離|1.0|3.0, 中距離|1.0|4.0, 中距離|1.0|5.0, 中距離|1.0|6.0, 中距離|1.0|7.0",categorical,カテゴリ値そのままビン化
