factor_name,factor_name_ja,n_combos_using,n_unique_bins,bin_type,current_bin_rule,bin_value_min,bin_value_max,max_n_horses_per_bin,min_n_horses_per_bin,all_bin_keys_le30,sample_bin_keys_top15,redesign_recommendation
kyusha_hyoka_code,厩舎評価,5,4,categorical,カテゴリ値そのままビン化,1,4,5766,74,"1, 2, 3, 4","1, 2, 3, 4",
kyusha_shisu,厩舎指数,2,582,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),-20,40,173,1,(582個 → compact CSVに全件),"-20.0, -19.9, -19.8, -19.7, -19.6, -19.5, -19.4, -19.3, -19.2, -19.1, -19.0, -18.9, -18.8, -18.7, -18.6",ビン数多(582個) → 集約推奨
kyuyo_riyu_bunrui_code,休養理由,9,10,categorical,カテゴリ値そのままビン化,1,14,438,1,"01, 02, 03, 04, 05, 06, 07, 11, 13, 14","01, 02, 03, 04, 05, 06, 07, 11, 13, 14",
ls_shisu_juni,LS指数順位,12,13,rank_bucket,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),1,13,645,2,"1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0","1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0",
manken_shirushi,万券印,122,16,categorical,万券印コード(1-8)そのままビン化,1,8,1667,529,"1, 1.0, 2, 2.0, 3, 3.0, 4, 4.0, 5, 5.0, 6, 6.0, 7, 7.0, 8, 8.0","1, 1.0, 2, 2.0, 3, 3.0, 4, 4.0, 5, 5.0, 6, 6.0, 7, 7.0, 8",
manken_shisu,万券指数,3,95,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),0,97,185,1,(95個 → compact CSVに全件),"0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0",ビン数多(95個) → 集約推奨
nyukyu_nannichimae,入厩何日前,14,133,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),9,526,164,1,(133個 → compact CSVに全件),"9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0, 19.0, 20.0, 21.0, 22.0, 23.0",ビン数多(133個) → 集約推奨
omo_tekisei_code,重適性,82,4,categorical,カテゴリ値そのままビン化,0,3,584,42,"0, 1, 2, 3","0, 1, 2, 3",
pace_shisu,ペース指数,1,761,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),-55,45.8,107,1,(761個 → compact CSVに全件),"-55.0, -54.8, -52.5, -52.1, -50.5, -50.0, -49.6, -45.8, -45.3, -44.9, -44.6, -44.5, -44.4, -44.0, -43.4",ビン数多(761個) → 集約推奨
pace_shisu_juni,ペース指数順位,74,18,rank_bucket,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),1,18,325,34,"1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0","1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0",
pace_yoso,ペース予想,90,3,categorical,ペース予想コード(1-5)そのままビン化,,,568,187,"H, M, S","H, M, S",
rotation,ローテーション,48,119,numeric_range,ローテーション日数(整数)そのままビン化,0,156,1036,1,(119個 → compact CSVに全件),"0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0",間隔グループ化推奨(14以下/15-28/29-56/57+)
shiba_tekisei_code,芝適性,21,3,categorical,カテゴリ値そのままビン化,1,3,402,140,"1, 2, 3","1, 2, 3",
ten_shisu,テン指数,1,666,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),-52,36.9,106,1,(666個 → compact CSVに全件),"-52.0, -51.1, -50.0, -49.9, -49.8, -49.7, -49.6, -49.5, -49.4, -49.3, -49.2, -49.1, -49.0, -48.9, -48.8",ビン数多(666個) → 集約推奨
ten_shisu_juni,テン指数順位,72,18,rank_bucket,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),1,18,296,21,"1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0, 16.0, 17.0, 18.0","1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0",
tenkai_kigo_code,展開記号,39,5,categorical,カテゴリ値そのままビン化,0,4,2332,643,"0, 1, 2, 3, 4","0, 1, 2, 3, 4",
uma_deokure_ritsu,馬出遅率,87,96,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),0,99.9,56260,1,(96個 → compact CSVに全件),"0.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0, 11.0, 12.0, 13.0, 14.0, 15.0",5%刻みバケット推奨 (0/5/10/15/20+)
uma_start_shisu,馬スタート指数,83,46,numeric_range,数値そのままビン化 (監査:groupby raw / スクリーニング:qcut q=10),-3,2,3583,1,(46個 → compact CSVに全件),"-3.0, -2.8, -2.7, -2.5, -2.3, -2.2, -2.1, -2.0, -1.9, -1.8, -1.7, -1.6, -1.5, -1.4, -1.3",
umakigo_code,馬記号,58,6,categorical,馬記号コードそのままビン化 [JVD],0,26,5766,1,"00, 05, 06, 11, 21, 26","00, 05, 06, 11, 21, 26",
