table_name,column_name,description,used_in_code,files
jrd_kyi_fixed,jrdb_race_key8,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,race_shikonen,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,keibajo_code,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kaisai_kai,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kaisai_nichime,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kaisai_nen_2,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,race_bango,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,umaban,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,basho_code,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,year,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kai,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,nichi,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,race_num,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kettou_toroku_bango,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,bamei,"馬名(JRDB,jvd_seと重複)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,idm,IDM指数(JRDB独自),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kishu_shisu,騎手指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_shisu,総合指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyakushitsu,"脚質コード(JRDB,JVDと定義差あり)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyori_tekisei,距離適性(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,chokyo_shisu,調教指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyusha_shisu,厩舎指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,chokyo_yajirushi_code,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,omo_tekisei_code,重馬場適性(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,shiba_tekisei_code,芝適性(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,da_tekisei_code,ダ適性(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,soho,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,blinker,"ブリンカー(JRDB形式,jvd_seと定義差あり)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,futan_juryo,"負担重量(JRDB版,jvd_seと要注意)",no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,ten_shisu,テン指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,pace_shisu,ペース指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,agari_shisu,上がり指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,ichi_shisu,位置指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyori_tekisei_2,距離適性2(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,seibetsu_code,"性別コード(JRDB,jvd_seと重複)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kishu_code,"騎手コード(JRDB,jvd_seと重複)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,chokyoshi_code,"調教師コード(JRDB,jvd_seと重複)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyusha_rank,厩舎ランク(JRDB独自),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,joho_shisu,情報指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,yobi_1,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,joshodo_code,上昇度コード(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,rotation,ローテーション週数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kijun_odds_tansho,"基準単勝オッズ(JRDB,tansho_oddsと異なるソース)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kijun_ninkijun_tansho,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kijun_odds_fukusho,"基準複勝オッズ(JRDB,複勝フィルタに使用)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kijun_ninkijun_fukusho,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,tokutei_joho_1,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,tokutei_joho_2,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,tokutei_joho_3,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,tokutei_joho_4,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,tokutei_joho_5,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_joho_1,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_joho_2,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_joho_3,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_joho_4,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,sogo_joho_5,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,ninki_shisu,人気指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kyusha_hyoka_code,厩舎評価(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kishu_kitai_rentai_ritsu,騎手期待連対率(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,gekiso_shisu,激走指数(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,hizume_code,蹄コード(JRDB),yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,class_code,"クラスコード(JRDB,jvd_raのkyoso_joken_codeとは別)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,yobi_2,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kishumei,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kishu_minarai_code,"騎手見習いコード(JRDB,jvd_seと重複)",yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,chokyoshimei,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,chokyoshi_shozoku,,yes,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kako1_kyoso_seiseki_key,,no,factor_screening.py / factor_investment_screening.py
jrd_kyi_fixed,kako2_kyoso_seiseki_key,,no,factor_screening.py / factor_investment_screening.py
