bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
400,226,8,,3.5,,41.9,62.4,X
420,1300,92,,7.1,,74.4,70.1,X
440,3264,244,,7.5,,60.4,74.5,X
460,5301,450,,8.5,,78.1,80.0,O
480,5179,514,,9.9,,89.7,84.2,O
500,3260,313,,9.6,,82.2,80.3,O
520,1234,128,,10.4,,76.7,87.2,O
540,281,25,,8.9,,37.3,52.9,X
560,37,4,,10.8,,81.2,110.6,O
