bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
05,8802,757,,8.6,,81.7,78.4,X
10,4527,358,,7.9,,71.8,75.9,X
16,1894,148,,7.8,,71.3,77.8,X
A1,2778,231,,8.3,,91.6,85.9,O
A3,11381,1103,,9.7,,79.1,78.6,X
OP,1457,115,,7.9,,66.2,79.4,X
