bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
3,143,8,,5.6,,97.0,49.5,X
4,637,39,,6.1,,66.5,75.1,X
5,645,70,,10.9,,117.5,93.2,O
6,560,51,,9.1,,73.7,83.9,O
7,368,53,,14.4,,106.4,81.3,O
8,197,20,,10.2,,98.0,108.2,O
9,54,4,,7.4,,37.3,57.5,X
