bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|08,30,1,,3.3,,69.7,25.9,X
むかわ|01,183,42,,23.0,,86.1,84.8,O
むかわ|02,218,33,,15.1,,74.2,83.5,O
むかわ|03,194,19,,9.8,,50.1,58.1,X
むかわ|04,233,16,,6.9,,67.2,80.5,O
むかわ|05,235,13,,5.5,,69.6,79.6,X
むかわ|06,212,8,,3.8,,35.4,71.2,X
むかわ|07,217,8,,3.7,,35.6,68.2,X
むかわ|08,220,13,,5.9,,90.8,70.7,X
むかわ|09,207,10,,4.8,,98.3,64.3,X
むかわ|10,188,3,,1.6,,93.0,103.1,O
むかわ|11,158,3,,1.9,,29.0,77.0,X
むかわ|12,137,4,,2.9,,27.4,78.1,X
むかわ|13,99,2,,2.0,,46.1,31.7,X
むかわ|14,82,3,,3.7,,132.9,91.2,O
むかわ|15,67,2,,3.0,,27.9,18.6,X
むかわ|16,54,3,,5.6,,311.2,108.2,O
仏|05,32,4,,12.5,,101.0,51.3,X
千歳|01,3109,714,,23.0,,79.4,83.9,O
千歳|02,3081,489,,15.9,,80.1,81.8,O
千歳|03,2939,396,,13.5,,76.2,74.9,X
千歳|04,2892,282,,9.8,,73.7,73.3,X
千歳|05,2767,247,,8.9,,83.0,81.1,O
千歳|06,2662,205,,7.7,,75.0,75.6,X
千歳|07,2382,164,,6.9,,105.2,87.6,O
千歳|08,2165,115,,5.3,,81.4,81.7,O
千歳|09,1942,102,,5.3,,74.5,76.6,X
千歳|10,1628,72,,4.4,,68.2,75.0,X
千歳|11,1373,54,,3.9,,87.2,83.4,O
千歳|12,1137,41,,3.6,,78.1,79.4,X
千歳|13,917,36,,3.9,,66.3,72.7,X
千歳|14,701,29,,4.1,,99.2,71.7,X
千歳|15,486,16,,3.3,,106.8,60.2,X
千歳|16,318,11,,3.5,,90.3,76.3,X
千歳|17,84,3,,3.6,,81.1,104.8,O
千歳|18,44,1,,2.3,,266.3,108.1,O
安平|01,7420,1905,,25.7,,73.4,82.4,O
安平|02,6119,1191,,19.5,,79.9,80.7,O
安平|03,5508,811,,14.7,,74.7,77.9,X
安平|04,5060,592,,11.7,,71.8,79.6,X
安平|05,4491,527,,11.7,,84.2,75.8,X
安平|06,4146,356,,8.6,,65.5,74.2,X
安平|07,3666,303,,8.3,,90.1,76.6,X
安平|08,3267,228,,7.0,,60.5,70.0,X
安平|09,2908,181,,6.2,,69.1,78.1,X
安平|10,2440,141,,5.8,,65.5,74.1,X
安平|11,2090,88,,4.2,,70.3,72.2,X
安平|12,1728,62,,3.6,,43.2,63.2,X
安平|13,1352,54,,4.0,,84.2,76.4,X
安平|14,1024,40,,3.9,,73.7,73.5,X
安平|15,682,31,,4.5,,72.5,69.0,X
安平|16,488,17,,3.5,,54.6,62.6,X
安平|17,122,5,,4.1,,81.3,34.7,X
安平|18,79,3,,3.8,,30.2,84.3,O
平取|01,478,94,,19.7,,55.7,72.6,X
平取|02,541,83,,15.3,,68.2,80.3,O
平取|03,532,79,,14.8,,116.1,91.0,O
平取|04,498,53,,10.6,,73.5,70.8,X
平取|05,541,51,,9.4,,113.2,74.6,X
平取|06,551,41,,7.4,,69.4,57.0,X
平取|07,521,31,,6.0,,90.7,90.9,O
平取|08,514,28,,5.4,,93.1,84.2,O
平取|09,495,18,,3.6,,81.6,81.6,O
平取|10,389,13,,3.3,,47.6,62.5,X
平取|11,319,9,,2.8,,75.5,60.0,X
平取|12,240,7,,2.9,,109.6,76.3,X
平取|13,212,4,,1.9,,89.4,104.0,O
平取|14,169,4,,2.4,,27.3,100.2,O
平取|15,142,4,,2.8,,25.3,105.5,O
平取|16,83,1,,1.2,,49.8,38.0,X
愛|01,160,48,,30.0,,121.8,96.3,O
愛|02,177,32,,18.1,,82.5,79.8,X
愛|03,163,28,,17.2,,94.5,89.2,O
愛|04,127,15,,11.8,,85.9,66.8,X
愛|05,131,9,,6.9,,112.5,68.5,X
愛|06,119,14,,11.8,,115.8,82.1,O
愛|07,97,10,,10.3,,87.8,54.8,X
愛|08,100,4,,4.0,,28.5,94.0,O
愛|09,92,1,,1.1,,2.1,38.3,X
愛|10,82,7,,8.5,,62.2,74.4,X
愛|11,68,2,,2.9,,28.0,75.6,X
愛|12,65,2,,3.1,,19.0,26.9,X
愛|13,38,0,,0.0,,0.0,44.8,X
愛|14,46,1,,2.2,,309.7,184.5,O
新ひだか|01,5492,1186,,21.6,,76.4,79.9,X
新ひだか|02,5918,925,,15.6,,84.9,82.6,O
新ひだか|03,6144,722,,11.8,,80.2,79.2,X
新ひだか|04,6183,588,,9.5,,86.1,78.8,X
