bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
10+|44.0,498,25,,5.0,,39.2,73.4,X
10+|45.0,295,20,,6.8,,67.6,54.8,X
10+|46.0,179,12,,6.7,,53.3,99.3,O
10+|47.0,239,10,,4.2,,62.9,95.4,O
10+|48.0,129,4,,3.1,,18.0,59.6,X
10+|5.0,895,44,,4.9,,99.1,91.7,O
10+|50.0,4866,338,,6.9,,78.2,80.7,O
10+|52.0,94,4,,4.3,,83.7,89.7,O
10+|53.0,174,7,,4.0,,25.7,59.7,X
10+|54.0,142,8,,5.6,,171.9,84.0,O
10+|55.0,169,5,,3.0,,26.1,96.9,O
10+|56.0,264,19,,7.2,,107.5,84.6,O
10+|57.0,380,34,,8.9,,94.2,72.8,X
10+|58.0,127,5,,3.9,,44.2,49.5,X
10+|59.0,66,3,,4.5,,45.9,76.9,X
10+|6.0,1082,56,,5.2,,105.2,74.2,X
10+|60.0,716,42,,5.9,,75.0,77.1,X
10+|61.0,48,1,,2.1,,9.4,52.3,X
10+|62.0,313,19,,6.1,,43.8,52.8,X
10+|64.0,130,9,,6.9,,27.2,68.6,X
10+|65.0,50,2,,4.0,,40.1,63.0,X
10+|67.0,1689,126,,7.5,,109.9,89.6,O
10+|68.0,30,3,,10.0,,81.6,26.2,X
10+|69.0,50,2,,4.0,,24.2,78.4,X
10+|7.0,1122,62,,5.5,,105.1,72.4,X
10+|70.0,105,6,,5.7,,70.6,77.1,X
10+|71.0,228,12,,5.3,,40.7,45.7,X
10+|73.0,75,4,,5.3,,52.4,67.9,X
10+|75.0,716,42,,5.9,,64.6,78.5,X
10+|78.0,60,2,,3.3,,26.2,138.7,O
10+|8.0,1430,78,,5.5,,90.4,75.7,X
10+|80.0,325,21,,6.5,,83.4,65.6,X
10+|83.0,160,8,,5.0,,33.8,81.0,O
10+|86.0,77,3,,3.9,,39.8,112.4,O
10+|88.0,37,3,,8.1,,107.9,114.7,O
10+|9.0,1078,74,,6.9,,79.8,86.6,O
10+|99.9,6723,415,,6.2,,73.3,69.7,X
4-6|0.0,28557,3032,,10.6,,79.3,78.5,X
4-6|10.0,1630,128,,7.9,,66.2,86.7,O
4-6|11.0,1774,165,,9.3,,73.5,83.3,O
4-6|12.0,2254,195,,8.7,,64.6,73.6,X
4-6|13.0,627,47,,7.5,,60.4,78.7,X
4-6|14.0,2102,208,,9.9,,96.3,83.9,O
4-6|15.0,859,58,,6.8,,75.5,69.5,X
4-6|16.0,384,34,,8.9,,114.7,87.2,O
4-6|17.0,2421,236,,9.7,,83.1,77.7,X
4-6|18.0,997,73,,7.3,,55.5,71.1,X
4-6|19.0,516,40,,7.8,,54.3,67.4,X
4-6|2.0,105,8,,7.6,,45.5,62.1,X
4-6|20.0,2643,273,,10.3,,87.0,84.7,O
4-6|21.0,600,37,,6.2,,84.1,79.0,X
4-6|22.0,947,94,,9.9,,79.0,76.8,X
4-6|23.0,488,35,,7.2,,88.1,75.7,X
4-6|24.0,333,30,,9.0,,68.1,64.1,X
4-6|25.0,3140,328,,10.4,,74.8,87.2,O
4-6|26.0,213,14,,6.6,,47.6,62.0,X
4-6|27.0,645,54,,8.4,,80.6,91.1,O
4-6|28.0,181,9,,5.0,,70.2,50.8,X
4-6|29.0,1179,103,,8.7,,58.4,75.3,X
4-6|3.0,454,18,,4.0,,48.5,64.3,X
4-6|30.0,563,44,,7.8,,52.4,75.2,X
4-6|31.0,368,37,,10.1,,112.1,88.4,O
4-6|32.0,135,11,,8.1,,71.6,110.4,O
4-6|33.0,3613,384,,10.6,,83.1,88.9,O
4-6|35.0,154,11,,7.1,,41.7,67.0,X
4-6|36.0,364,29,,8.0,,44.8,71.5,X
4-6|37.0,72,5,,6.9,,40.8,63.8,X
4-6|38.0,638,56,,8.8,,68.7,74.4,X
4-6|39.0,90,5,,5.6,,24.6,63.3,X
4-6|4.0,820,51,,6.2,,56.0,65.7,X
4-6|40.0,1136,119,,10.5,,67.7,74.7,X
4-6|41.0,80,7,,8.8,,116.3,65.9,X
4-6|42.0,166,15,,9.0,,80.0,58.1,X
4-6|43.0,494,51,,10.3,,67.1,88.1,O
4-6|44.0,254,22,,8.7,,102.9,81.6,O
4-6|45.0,127,11,,8.7,,65.9,79.0,X
4-6|46.0,81,7,,8.6,,35.1,91.5,O
4-6|47.0,76,7,,9.2,,42.5,65.1,X
4-6|48.0,35,1,,2.9,,116.3,111.6,O
4-6|5.0,1078,79,,7.3,,66.6,86.8,O
4-6|50.0,3763,425,,11.3,,74.8,76.5,X
4-6|53.0,60,3,,5.0,,69.5,91.0,O
4-6|54.0,58,4,,6.9,,65.9,105.2,O
4-6|55.0,91,6,,6.6,,23.7,76.8,X
4-6|56.0,149,10,,6.7,,51.7,110.2,O
4-6|57.0,202,21,,10.4,,61.3,68.4,X
4-6|58.0,60,2,,3.3,,14.0,76.0,X
4-6|6.0,1391,101,,7.3,,72.3,78.5,X
4-6|60.0,470,41,,8.7,,63.4,76.6,X
4-6|62.0,124,12,,9.7,,75.1,108.3,O
4-6|64.0,61,7,,11.5,,50.4,76.1,X
4-6|67.0,1169,129,,11.0,,72.7,78.1,X
4-6|7.0,1419,115,,8.1,,79.5,84.7,O
4-6|70.0,41,4,,9.8,,97.1,81.4,O
4-6|71.0,98,15,,15.3,,161.5,83.8,O
4-6|75.0,407,45,,11.1,,98.3,82.4,O
4-6|8.0,1840,144,,7.8,,72.8,82.6,O
4-6|80.0,156,19,,12.2,,102.6,92.1,O
4-6|83.0,63,7,,11.1,,38.8,72.7,X
4-6|86.0,33,3,,9.1,,25.4,92.2,O
4-6|9.0,1375,131,,9.5,,87.5,79.4,X
4-6|99.9,2783,343,,12.3,,82.0,86.5,O
7-9|0.0,18040,1463,,8.1,,76.1,80.0,O
7-9|10.0,1211,86,,7.1,,74.4,88.5,O
7-9|11.0,1442,110,,7.6,,102.1,89.3,O
7-9|12.0,1862,142,,7.6,,70.7,77.8,X
7-9|13.0,580,36,,6.2,,90.6,75.6,X
7-9|14.0,1693,141,,8.3,,79.7,80.7,O
7-9|15.0,761,38,,5.0,,56.8,85.0,O
7-9|16.0,353,16,,4.5,,53.5,84.5,O
7-9|17.0,1874,162,,8.6,,83.7,81.4,O
7-9|18.0,882,54,,6.1,,70.2,69.2,X
7-9|19.0,558,27,,4.8,,34.3,68.5,X
7-9|2.0,69,3,,4.3,,47.8,71.2,X
7-9|20.0,2208,182,,8.2,,82.2,82.4,O
7-9|21.0,616,38,,6.2,,81.8,76.7,X
7-9|22.0,873,71,,8.1,,67.3,72.6,X
7-9|23.0,517,42,,8.1,,49.1,80.0,O
7-9|24.0,372,19,,5.1,,83.0,88.3,O
7-9|25.0,2563,208,,8.1,,77.4,78.0,X
7-9|26.0,249,24,,9.6,,242.6,120.0,O
7-9|27.0,658,46,,7.0,,91.5,79.5,X
7-9|28.0,194,9,,4.6,,86.4,74.6,X
7-9|29.0,1064,92,,8.6,,104.7,82.9,O
7-9|3.0,343,14,,4.1,,66.2,66.1,X
7-9|30.0,490,38,,7.8,,49.4,61.4,X
7-9|31.0,347,26,,7.5,,109.0,75.3,X
7-9|32.0,183,12,,6.6,,90.2,70.4,X
7-9|33.0,3054,259,,8.5,,85.3,84.5,O
7-9|34.0,35,2,,5.7,,19.8,99.4,O
7-9|35.0,207,8,,3.9,,71.4,61.6,X
7-9|36.0,409,27,,6.6,,85.1,80.7,O
7-9|37.0,67,5,,7.5,,93.9,58.0,X
7-9|38.0,666,52,,7.8,,69.3,71.8,X
7-9|39.0,88,9,,10.2,,145.7,94.3,O
7-9|4.0,642,36,,5.6,,90.5,78.3,X
7-9|40.0,1127,84,,7.5,,85.2,71.7,X
7-9|41.0,93,6,,6.5,,74.8,44.3,X
7-9|42.0,186,15,,8.1,,231.9,120.8,O
7-9|43.0,537,36,,6.7,,56.9,80.9,O
7-9|44.0,300,24,,8.0,,105.9,104.3,O
7-9|45.0,194,12,,6.2,,42.8,80.6,O
7-9|46.0,100,7,,7.0,,87.7,67.4,X
7-9|47.0,141,17,,12.1,,111.5,89.2,O
7-9|48.0,44,3,,6.8,,314.0,195.6,O
7-9|5.0,915,50,,5.5,,77.3,73.5,X
7-9|50.0,3798,346,,9.1,,82.7,79.7,X
7-9|52.0,39,3,,7.7,,43.4,83.9,O
7-9|53.0,82,6,,7.3,,107.2,93.6,O
7-9|54.0,61,5,,8.2,,141.0,63.5,X
7-9|55.0,101,6,,5.9,,16.6,41.0,X
7-9|56.0,168,12,,7.1,,46.2,77.2,X
7-9|57.0,244,30,,12.3,,169.5,98.8,O
7-9|58.0,74,4,,5.4,,32.3,46.0,X
7-9|6.0,1079,73,,6.8,,99.9,87.9,O
7-9|60.0,516,43,,8.3,,80.3,80.1,O
