bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|5,30,0,,0.0,,0.0,176.2,O
むかわ|1,187,49,,26.2,,87.1,83.1,O
むかわ|2,190,25,,13.2,,48.3,71.4,X
むかわ|3,247,26,,10.5,,59.3,77.6,X
むかわ|4,218,21,,9.6,,89.4,102.5,O
むかわ|5,242,9,,3.7,,30.5,62.9,X
むかわ|6,235,11,,4.7,,100.2,82.9,O
千歳|1,3077,885,,28.8,,84.1,84.5,O
千歳|2,3087,566,,18.3,,78.7,81.1,O
千歳|3,3051,420,,13.8,,76.5,77.3,X
千歳|4,2884,293,,10.2,,78.9,75.4,X
千歳|5,2934,212,,7.2,,68.2,72.8,X
千歳|6,2704,167,,6.2,,88.6,82.6,O
安平|1,7673,2512,,32.7,,79.0,84.7,O
安平|2,6558,1302,,19.9,,73.2,81.0,O
安平|3,5791,834,,14.4,,74.6,78.2,X
安平|4,5268,575,,10.9,,79.0,74.6,X
安平|5,4779,418,,8.7,,79.9,75.1,X
安平|6,4262,269,,6.3,,67.5,76.6,X
平取|1,526,143,,27.2,,75.6,83.4,O
平取|2,527,100,,19.0,,82.5,75.6,X
平取|3,521,63,,12.1,,81.6,79.3,X
平取|4,529,55,,10.4,,82.3,75.4,X
平取|5,552,39,,7.1,,58.8,75.5,X
平取|6,541,41,,7.6,,95.1,73.2,X
愛|1,187,60,,32.1,,95.4,87.7,O
愛|2,173,28,,16.2,,62.1,76.0,X
愛|3,144,22,,15.3,,79.2,75.8,X
愛|4,152,22,,14.5,,106.4,86.8,O
愛|5,127,8,,6.3,,29.8,41.2,X
愛|6,120,16,,13.3,,123.9,80.6,O
新ひだか|1,5356,1457,,27.2,,82.2,81.8,O
新ひだか|2,5798,996,,17.2,,78.9,83.1,O
新ひだか|3,6138,784,,12.8,,77.7,79.1,X
新ひだか|4,6338,619,,9.8,,81.3,77.1,X
新ひだか|5,6390,487,,7.6,,78.7,75.9,X
新ひだか|6,6561,394,,6.0,,86.8,75.1,X
新冠|1,3676,1038,,28.2,,85.3,84.7,O
新冠|2,4031,698,,17.3,,75.8,80.8,O
新冠|3,4282,553,,12.9,,79.0,80.9,O
新冠|4,4448,428,,9.6,,75.9,78.8,X
新冠|5,4517,334,,7.4,,81.8,80.9,O
新冠|6,4636,267,,5.8,,70.5,80.7,O
日高|1,4071,1110,,27.3,,82.6,83.4,O
日高|2,4281,815,,19.0,,84.4,85.5,O
日高|3,4493,553,,12.3,,76.4,80.8,O
日高|4,4536,431,,9.5,,73.9,76.9,X
日高|5,4606,361,,7.8,,81.2,79.9,X
日高|6,4535,252,,5.6,,75.3,76.2,X
栃木|1,53,11,,20.8,,52.7,83.8,O
栃木|2,70,9,,12.9,,67.0,65.0,X
栃木|3,54,7,,13.0,,72.5,83.9,O
栃木|4,59,9,,15.3,,99.6,75.5,X
栃木|5,58,7,,12.1,,100.3,127.1,O
栃木|6,54,2,,3.7,,15.1,43.1,X
様似|1,139,24,,17.3,,66.5,84.9,O
様似|2,167,29,,17.4,,53.5,62.8,X
様似|3,189,31,,16.4,,123.5,103.8,O
様似|4,194,14,,7.2,,55.3,57.0,X
様似|5,241,15,,6.2,,36.9,53.4,X
様似|6,234,13,,5.6,,73.6,71.3,X
