bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
H|1-3|2,295,43,,14.6,,61.7,90.9,O
H|1-3|3,4691,606,,12.9,,78.5,76.3,X
H|1-3|4,2264,241,,10.6,,69.9,74.4,X
H|1-3|5,996,98,,9.8,,90.4,83.0,O
H|1-3|6,342,17,,5.0,,90.0,76.5,X
H|1-3|7,89,3,,3.4,,48.3,94.7,O
H|10+|2,143,7,,4.9,,63.3,78.0,X
H|10+|3,2237,135,,6.0,,70.7,74.0,X
H|10+|4,1373,89,,6.5,,82.2,71.8,X
H|10+|5,883,42,,4.8,,72.5,74.4,X
H|10+|6,427,11,,2.6,,74.1,63.7,X
H|10+|7,142,2,,1.4,,8.7,76.9,X
H|10+|8,49,0,,0.0,,0.0,58.8,X
H|4-6|2,195,16,,8.2,,66.1,74.9,X
H|4-6|3,3068,296,,9.6,,74.7,82.7,O
H|4-6|4,1548,145,,9.4,,103.7,94.4,O
H|4-6|5,878,68,,7.7,,97.1,74.0,X
H|4-6|6,310,12,,3.9,,63.6,92.3,O
H|4-6|7,93,6,,6.5,,65.7,80.7,O
H|7-9|2,116,4,,3.4,,47.2,51.3,X
H|7-9|3,2214,172,,7.8,,90.5,77.4,X
H|7-9|4,1263,91,,7.2,,82.3,83.7,O
H|7-9|5,741,45,,6.1,,56.9,85.1,O
H|7-9|6,284,15,,5.3,,98.4,81.3,O
H|7-9|7,101,3,,3.0,,34.4,70.9,X
M|1-3|2,399,61,,15.3,,79.2,76.0,X
M|1-3|3,1421,196,,13.8,,82.2,76.9,X
M|1-3|4,279,42,,15.1,,173.9,87.5,O
M|1-3|5,100,6,,6.0,,60.1,43.0,X
M|10+|2,175,8,,4.6,,41.8,98.4,O
M|10+|3,1021,53,,5.2,,57.7,68.0,X
M|10+|4,172,8,,4.7,,22.3,85.5,O
M|10+|5,129,9,,7.0,,218.1,80.7,O
M|10+|6,58,1,,1.7,,8.1,12.4,X
M|4-6|2,302,25,,8.3,,57.5,96.3,O
M|4-6|3,1192,119,,10.0,,80.1,87.9,O
M|4-6|4,192,14,,7.3,,70.0,88.3,O
M|4-6|5,129,10,,7.8,,106.2,103.0,O
M|4-6|6,39,3,,7.7,,16.9,86.5,O
M|7-9|2,201,12,,6.0,,52.8,64.9,X
M|7-9|3,933,76,,8.1,,82.3,92.6,O
M|7-9|4,161,17,,10.6,,109.6,84.5,O
M|7-9|5,89,6,,6.7,,34.6,85.9,O
M|7-9|6,42,2,,4.8,,33.1,39.5,X
S|1-3|2,120,16,,13.3,,68.2,66.1,X
S|1-3|3,106,18,,17.0,,64.6,69.9,X
S|10+|2,73,5,,6.8,,105.5,52.4,X
S|10+|3,89,5,,5.6,,124.9,84.6,O
S|4-6|2,86,10,,11.6,,159.6,130.2,O
S|4-6|3,106,9,,8.5,,68.1,97.2,O
S|7-9|2,68,4,,5.9,,157.6,59.8,X
S|7-9|3,77,6,,7.8,,237.2,131.5,O
