bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
城戸義政|5,44,3,,6.8,,40.6,48.8,X
城戸義政|6,60,2,,3.3,,173.8,65.2,X
城戸義政|7,49,0,,0.0,,0.0,106.7,O
城戸義政|8,44,2,,4.5,,42.0,84.5,O
大野拓弥|1,258,19,,7.4,,119.8,60.9,X
大野拓弥|2,288,17,,5.9,,131.6,76.7,X
大野拓弥|3,303,26,,8.6,,75.7,90.8,O
大野拓弥|4,316,30,,9.5,,148.1,90.5,O
大野拓弥|5,341,24,,7.0,,61.4,75.5,X
大野拓弥|6,336,20,,6.0,,47.6,88.8,O
大野拓弥|7,382,28,,7.3,,80.4,79.5,X
大野拓弥|8,369,27,,7.3,,66.2,87.5,O
太宰啓介|1,86,5,,5.8,,77.5,22.4,X
太宰啓介|2,91,6,,6.6,,85.7,81.1,O
太宰啓介|3,93,6,,6.5,,40.7,51.9,X
太宰啓介|4,104,3,,2.9,,17.1,88.0,O
太宰啓介|5,93,1,,1.1,,1.6,67.5,X
太宰啓介|6,104,6,,5.8,,101.7,91.8,O
太宰啓介|7,142,4,,2.8,,32.0,83.7,O
太宰啓介|8,133,4,,3.0,,24.8,73.7,X
宮崎北斗|1,37,2,,5.4,,54.6,29.7,X
宮崎北斗|2,40,1,,2.5,,44.5,26.3,X
宮崎北斗|3,32,1,,3.1,,15.1,33.2,X
宮崎北斗|4,36,2,,5.6,,87.9,18.8,X
宮崎北斗|5,42,4,,9.5,,149.6,62.7,X
宮崎北斗|6,41,0,,0.0,,0.0,40.4,X
宮崎北斗|7,40,1,,2.5,,19.4,131.6,O
宮崎北斗|8,47,1,,2.1,,19.0,89.3,O
富田暁|1,147,8,,5.4,,56.9,64.9,X
富田暁|2,140,10,,7.1,,85.0,58.8,X
富田暁|3,170,5,,2.9,,45.4,96.5,O
富田暁|4,168,8,,4.8,,30.0,74.0,X
富田暁|5,167,9,,5.4,,92.5,74.9,X
富田暁|6,158,9,,5.7,,94.9,46.5,X
富田暁|7,187,14,,7.5,,112.4,80.9,O
