bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
安平|11,3026,342,,11.3,,75.8,74.6,X
安平|12,2776,333,,12.0,,72.0,77.4,X
安平|13,2389,247,,10.3,,67.6,69.7,X
安平|14,2109,229,,10.9,,86.3,84.4,O
安平|15,1780,179,,10.1,,52.8,72.6,X
安平|16,1359,156,,11.5,,72.0,85.9,O
安平|17,362,29,,8.0,,39.6,72.0,X
安平|18,293,36,,12.3,,74.4,75.2,X
平取|01,477,40,,8.4,,62.9,82.3,O
平取|02,428,34,,7.9,,85.3,80.1,O
平取|03,460,40,,8.7,,78.2,77.7,X
平取|04,508,45,,8.9,,113.8,88.5,O
平取|05,430,30,,7.0,,80.5,76.2,X
平取|06,430,39,,9.1,,95.0,89.2,O
平取|07,466,32,,6.9,,68.0,69.8,X
平取|08,438,38,,8.7,,86.3,64.4,X
平取|09,439,41,,9.3,,60.1,83.5,O
平取|10,434,49,,11.3,,88.3,75.6,X
平取|11,347,26,,7.5,,81.8,63.5,X
平取|12,339,28,,8.3,,51.5,78.6,X
平取|13,316,31,,9.8,,88.7,76.2,X
平取|14,262,12,,4.6,,43.0,58.3,X
平取|15,240,14,,5.8,,92.4,97.9,O
平取|16,192,18,,9.4,,84.0,92.1,O
愛|01,115,16,,13.9,,80.9,94.2,O
愛|02,119,18,,15.1,,101.4,71.1,X
愛|03,112,16,,14.3,,90.7,116.1,O
愛|04,112,13,,11.6,,99.6,97.2,O
愛|05,108,9,,8.3,,40.6,53.5,X
愛|06,122,13,,10.7,,42.0,75.0,X
愛|07,113,17,,15.0,,87.1,64.9,X
愛|08,96,12,,12.5,,88.9,70.7,X
愛|09,93,11,,11.8,,75.1,79.0,X
愛|10,84,9,,10.7,,115.3,52.7,X
愛|11,102,15,,14.7,,71.9,96.0,O
愛|12,78,7,,9.0,,79.9,76.1,X
愛|13,68,6,,8.8,,35.5,46.7,X
愛|14,63,6,,9.5,,60.7,92.4,O
愛|15,59,5,,8.5,,339.9,112.0,O
愛|16,46,4,,8.7,,72.0,71.9,X
新ひだか|01,5325,435,,8.2,,81.7,72.0,X
新ひだか|02,5228,443,,8.5,,87.8,78.7,X
新ひだか|03,5208,404,,7.8,,65.2,76.1,X
新ひだか|04,5158,421,,8.2,,81.0,76.5,X
新ひだか|05,5165,402,,7.8,,75.0,75.3,X
新ひだか|06,5212,445,,8.5,,85.9,78.5,X
新ひだか|07,5142,441,,8.6,,93.0,76.0,X
新ひだか|08,5124,406,,7.9,,67.9,79.7,X
新ひだか|09,4933,384,,7.8,,73.0,78.5,X
新ひだか|10,4834,409,,8.5,,77.9,79.6,X
新ひだか|11,4415,344,,7.8,,70.5,72.6,X
新ひだか|12,4094,332,,8.1,,74.3,76.8,X
新ひだか|13,3701,312,,8.4,,88.5,79.9,X
新ひだか|14,3188,254,,8.0,,95.0,83.9,O
新ひだか|15,2686,217,,8.1,,87.9,74.4,X
新ひだか|16,2151,164,,7.6,,85.7,75.4,X
新ひだか|17,313,23,,7.3,,105.5,74.9,X
新ひだか|18,289,13,,4.5,,102.2,81.3,O
新冠|01,3726,312,,8.4,,85.1,81.2,O
新冠|02,3651,299,,8.2,,79.3,79.3,X
新冠|03,3602,272,,7.6,,74.1,78.2,X
