bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|0,44,1,,2.3,,11.4,88.8,O
むかわ|0,321,17,,5.3,,39.7,66.2,X
むかわ|1,66,8,,12.1,,203.4,113.4,O
むかわ|2,55,4,,7.3,,65.3,71.9,X
むかわ|3,115,10,,8.7,,117.2,104.5,O
むかわ|4,113,5,,4.4,,86.2,49.3,X
仏|0,31,3,,9.7,,87.2,69.3,X
千歳|0,3344,257,,7.7,,82.2,74.7,X
千歳|1,523,58,,11.1,,76.0,85.3,O
千歳|2,605,98,,16.2,,66.3,74.3,X
千歳|3,1173,137,,11.7,,64.4,85.7,O
千歳|4,842,40,,4.8,,76.5,91.4,O
安平|0,5029,436,,8.7,,76.1,74.6,X
安平|1,794,79,,9.9,,69.3,71.6,X
安平|2,1107,256,,23.1,,68.3,74.6,X
安平|3,1856,309,,16.6,,81.4,77.4,X
安平|4,1447,98,,6.8,,71.1,63.6,X
平取|0,657,39,,5.9,,42.4,59.3,X
平取|1,130,13,,10.0,,34.4,81.0,O
平取|2,123,19,,15.4,,131.7,76.5,X
平取|3,240,34,,14.2,,155.7,77.4,X
平取|4,199,10,,5.0,,46.5,57.1,X
愛|0,163,19,,11.7,,63.4,82.4,O
愛|1,37,3,,8.1,,135.8,76.8,X
愛|2,30,4,,13.3,,33.3,86.8,O
愛|3,49,10,,20.4,,142.6,155.0,O
愛|4,61,4,,6.6,,45.1,43.5,X
新ひだか|0,8106,558,,6.9,,88.4,79.7,X
新ひだか|1,1893,197,,10.4,,82.6,74.7,X
新ひだか|2,1236,176,,14.2,,65.5,83.0,O
新ひだか|3,2618,268,,10.2,,86.0,84.1,O
新ひだか|4,2494,112,,4.5,,77.8,67.1,X
新冠|0,5917,385,,6.5,,78.6,82.8,O
新冠|1,1292,112,,8.7,,64.8,71.6,X
新冠|2,897,140,,15.6,,103.8,91.2,O
新冠|3,1817,206,,11.3,,79.0,77.9,X
新冠|4,1655,90,,5.4,,104.6,85.0,O
日高|0,5712,378,,6.6,,73.2,80.8,O
日高|1,1288,130,,10.1,,83.6,71.7,X
日高|2,919,157,,17.1,,76.4,77.3,X
日高|3,1857,231,,12.4,,75.6,73.7,X
日高|4,1703,73,,4.3,,85.7,72.5,X
栃木|0,84,4,,4.8,,25.1,49.2,X
様似|0,294,15,,5.1,,70.1,82.4,O
様似|1,44,4,,9.1,,278.3,95.7,O
様似|2,53,5,,9.4,,69.5,84.3,O
様似|3,106,13,,12.3,,83.2,79.7,X
様似|4,103,3,,2.9,,19.0,38.5,X
洞爺湖|0,291,27,,9.3,,92.5,83.0,O
洞爺湖|2,50,10,,20.0,,56.2,79.0,X
洞爺湖|3,94,9,,9.6,,39.8,58.8,X
洞爺湖|4,70,6,,8.6,,57.3,64.6,X
浦河|0,6454,442,,6.8,,80.9,83.0,O
浦河|1,1431,154,,10.8,,93.6,86.2,O
浦河|2,1112,158,,14.2,,84.3,79.0,X
浦河|3,2149,228,,10.6,,73.2,81.7,O
浦河|4,1878,81,,4.3,,84.6,77.9,X
登別|0,94,2,,2.1,,29.9,55.3,X
白老|0,1140,85,,7.5,,70.5,70.3,X
白老|1,144,10,,6.9,,51.2,65.0,X
白老|2,208,32,,15.4,,60.7,79.5,X
白老|3,375,57,,15.2,,77.0,70.2,X
白老|4,290,13,,4.5,,27.3,75.0,X
米|0,681,64,,9.4,,51.9,76.5,X
米|1,288,46,,16.0,,96.7,81.8,O
米|2,127,31,,24.4,,78.3,80.2,O
米|3,241,46,,19.1,,64.4,88.3,O
米|4,204,13,,6.4,,74.4,83.8,O
英|0,138,13,,9.4,,77.9,73.2,X
英|1,44,8,,18.2,,118.4,92.7,O
英|3,48,7,,14.6,,69.7,69.0,X
英|4,50,1,,2.0,,8.2,45.2,X
豊浦|0,30,4,,13.3,,167.2,66.6,X
豪|0,38,6,,15.8,,50.0,139.1,O
青森|0,185,10,,5.4,,44.0,86.7,O
青森|1,47,7,,14.9,,135.5,154.4,O
青森|3,49,3,,6.1,,50.5,48.6,X
青森|4,62,1,,1.6,,29.1,54.3,X
