bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
420,72,5,,6.9,,71.5,57.9,X
440,311,29,,9.3,,68.7,80.1,O
460,525,51,,9.7,,70.2,84.1,O
480,527,55,,10.4,,91.3,86.1,O
500,304,32,,10.5,,72.6,54.5,X
520,123,13,,10.6,,47.0,82.6,O
540,33,3,,9.1,,69.9,93.5,O
