bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
H|1-3|2,1017,122,,12.0,,129.2,89.3,O
H|1-3|3,10211,1189,,11.6,,78.2,78.2,X
H|1-3|4,8036,868,,10.8,,88.5,83.6,O
H|1-3|5,5270,448,,8.5,,87.2,83.2,O
H|1-3|6,2294,124,,5.4,,70.2,79.8,X
H|1-3|7,739,40,,5.4,,94.3,71.7,X
H|1-3|8,207,13,,6.3,,129.6,85.2,O
H|1-3|9,36,1,,2.8,,7.9,1.9,X
H|10+|2,305,17,,5.6,,68.1,74.0,X
H|10+|3,6171,471,,7.6,,84.8,80.2,O
H|10+|4,5396,399,,7.4,,73.3,76.8,X
H|10+|5,4342,238,,5.5,,86.1,78.4,X
H|10+|6,2312,96,,4.2,,80.8,73.3,X
H|10+|7,951,23,,2.4,,57.9,54.4,X
H|10+|8,317,7,,2.2,,36.2,52.1,X
H|10+|9,75,2,,2.7,,28.5,59.2,X
H|4-6|2,556,47,,8.5,,58.3,68.3,X
H|4-6|3,7101,813,,11.4,,77.9,78.6,X
H|4-6|4,5722,573,,10.0,,75.1,78.5,X
H|4-6|5,3989,320,,8.0,,92.2,81.5,O
H|4-6|6,1717,93,,5.4,,72.2,79.3,X
H|4-6|7,582,17,,2.9,,74.4,85.6,O
H|4-6|8,158,3,,1.9,,144.6,85.9,O
H|4-6|9,40,3,,7.5,,139.3,71.0,X
H|7-9|2,393,32,,8.1,,84.8,78.0,X
H|7-9|3,5649,521,,9.2,,83.8,80.2,O
H|7-9|4,4765,441,,9.3,,90.0,79.9,X
H|7-9|5,3442,241,,7.0,,61.3,73.9,X
H|7-9|6,1690,74,,4.4,,76.2,75.1,X
H|7-9|7,624,23,,3.7,,123.4,72.8,X
H|7-9|8,156,3,,1.9,,103.0,100.3,O
H|7-9|9,30,1,,3.3,,55.6,73.0,X
M|1-3|2,3233,383,,11.8,,77.6,79.6,X
M|1-3|3,7771,973,,12.5,,78.0,78.8,X
M|1-3|4,2236,278,,12.4,,72.1,78.3,X
M|1-3|5,1236,96,,7.8,,67.7,74.5,X
M|1-3|6,491,36,,7.3,,107.3,74.6,X
M|1-3|7,144,8,,5.6,,158.0,92.9,O
M|1-3|8,37,0,,0.0,,0.0,44.7,X
M|10+|2,1273,87,,6.8,,75.6,71.8,X
M|10+|3,6094,414,,6.8,,80.0,79.9,X
M|10+|4,1658,136,,8.2,,58.1,81.4,O
M|10+|5,1130,71,,6.3,,87.4,77.5,X
M|10+|6,521,22,,4.2,,59.1,71.9,X
M|10+|7,189,3,,1.6,,92.1,77.7,X
M|10+|8,48,0,,0.0,,0.0,164.2,O
M|4-6|2,2268,253,,11.2,,88.2,82.1,O
M|4-6|3,6360,749,,11.8,,78.7,79.5,X
M|4-6|4,1804,207,,11.5,,65.5,83.9,O
M|4-6|5,1112,78,,7.0,,56.5,78.1,X
M|4-6|6,415,21,,5.1,,76.2,73.7,X
M|4-6|7,117,4,,3.4,,52.6,58.3,X
M|4-6|8,33,1,,3.0,,36.9,76.8,X
M|7-9|2,1588,135,,8.5,,72.7,78.9,X
M|7-9|3,5320,455,,8.6,,71.2,74.4,X
M|7-9|4,1551,137,,8.8,,71.9,81.0,O
M|7-9|5,984,65,,6.6,,114.7,80.9,O
M|7-9|6,429,19,,4.4,,77.2,71.1,X
M|7-9|7,148,6,,4.1,,100.3,70.1,X
M|7-9|8,31,0,,0.0,,0.0,71.7,X
S|1-3|2,3708,519,,14.0,,75.1,77.8,X
S|1-3|3,1454,188,,12.9,,72.3,75.6,X
S|1-3|4,172,23,,13.4,,101.8,87.8,O
S|1-3|5,99,7,,7.1,,38.9,86.2,O
S|1-3|6,35,3,,8.6,,35.0,40.5,X
S|10+|2,1420,98,,6.9,,81.7,77.9,X
S|10+|3,1263,93,,7.4,,88.4,86.1,O
S|10+|4,150,8,,5.3,,23.6,56.6,X
S|10+|5,90,7,,7.8,,172.8,107.8,O
S|10+|6,44,0,,0.0,,0.0,63.8,X
S|4-6|2,2746,342,,12.5,,73.2,82.6,O
S|4-6|3,1185,135,,11.4,,64.1,74.6,X
S|4-6|4,127,10,,7.9,,17.3,76.5,X
S|4-6|5,78,12,,15.4,,139.7,93.2,O
S|4-6|6,37,1,,2.7,,10.0,80.3,O
S|7-9|2,2013,208,,10.3,,75.6,72.7,X
S|7-9|3,1188,110,,9.3,,71.5,79.2,X
S|7-9|4,119,14,,11.8,,79.3,70.0,X
S|7-9|5,76,6,,7.9,,131.4,117.9,O
