bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
0,189,20,,10.6,,71.8,58.4,X
1,844,116,,13.7,,70.6,76.5,X
2,1774,203,,11.4,,81.2,74.6,X
3,1762,137,,7.8,,71.8,78.4,X
4,933,58,,6.2,,70.3,71.5,X
