bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
16|17.0,235,13,,5.5,,61.4,74.0,X
16|18.0,215,16,,7.4,,80.9,81.0,O
16|19.0,169,16,,9.5,,72.0,78.8,X
16|2.0,3074,244,,7.9,,78.2,79.1,X
16|20.0,171,8,,4.7,,73.0,83.8,O
16|21.0,143,13,,9.1,,108.6,94.3,O
16|22.0,105,4,,3.8,,35.2,52.0,X
16|23.0,83,6,,7.2,,75.8,99.3,O
16|24.0,83,5,,6.0,,37.1,26.9,X
16|25.0,73,5,,6.8,,131.5,71.9,X
16|26.0,79,5,,6.3,,54.2,43.8,X
16|27.0,67,4,,6.0,,57.5,84.0,O
16|28.0,46,2,,4.3,,75.0,58.7,X
16|3.0,3148,286,,9.1,,72.2,78.2,X
16|30.0,36,1,,2.8,,18.9,146.9,O
16|32.0,30,1,,3.3,,40.3,55.1,X
16|34.0,32,1,,3.1,,6.9,69.5,X
16|4.0,1824,152,,8.3,,67.6,78.2,X
16|5.0,1586,148,,9.3,,80.0,82.2,O
16|6.0,1399,125,,8.9,,89.9,78.2,X
16|7.0,1321,121,,9.2,,91.3,81.9,O
16|8.0,1114,100,,9.0,,82.9,88.9,O
16|9.0,1041,89,,8.5,,55.2,66.3,X
A3|0.0,3507,274,,7.8,,57.5,78.6,X
A3|1.0,20271,1933,,9.5,,71.1,77.8,X
A3|10.0,3434,293,,8.5,,84.5,77.0,X
A3|11.0,2870,259,,9.0,,81.2,80.2,O
A3|12.0,2278,160,,7.0,,70.4,75.8,X
A3|13.0,1801,148,,8.2,,83.2,83.9,O
A3|14.0,1399,112,,8.0,,70.6,71.0,X
A3|15.0,1164,96,,8.2,,61.2,71.0,X
A3|16.0,915,73,,8.0,,75.9,79.0,X
A3|17.0,787,58,,7.4,,74.6,73.2,X
A3|18.0,645,52,,8.1,,83.0,75.3,X
A3|19.0,499,37,,7.4,,84.3,76.3,X
A3|2.0,28389,3154,,11.1,,76.9,79.2,X
A3|20.0,423,26,,6.1,,60.4,81.7,O
A3|21.0,388,38,,9.8,,125.8,88.2,O
A3|22.0,306,23,,7.5,,71.6,71.4,X
A3|23.0,230,24,,10.4,,85.4,73.6,X
A3|24.0,163,12,,7.4,,63.9,47.0,X
A3|25.0,228,16,,7.0,,71.5,79.0,X
A3|26.0,298,22,,7.4,,53.9,70.1,X
A3|27.0,208,13,,6.2,,56.3,66.9,X
A3|28.0,162,12,,7.4,,78.0,94.4,O
A3|29.0,168,16,,9.5,,53.4,73.8,X
A3|3.0,15941,1739,,10.9,,79.3,82.8,O
A3|30.0,125,9,,7.2,,108.1,76.1,X
A3|31.0,107,5,,4.7,,26.5,52.6,X
A3|32.0,102,9,,8.8,,54.0,59.1,X
A3|33.0,94,5,,5.3,,50.7,70.4,X
A3|34.0,77,4,,5.2,,85.0,87.3,O
A3|35.0,68,3,,4.4,,22.1,79.6,X
A3|36.0,65,4,,6.2,,94.3,73.9,X
A3|37.0,47,5,,10.6,,125.7,127.1,O
A3|38.0,68,2,,2.9,,17.6,58.1,X
A3|39.0,32,0,,0.0,,0.0,46.3,X
A3|4.0,6017,483,,8.0,,88.5,84.3,O
A3|41.0,32,0,,0.0,,0.0,29.7,X
A3|5.0,5333,462,,8.7,,71.9,82.1,O
A3|6.0,5314,483,,9.1,,88.4,81.9,O
A3|7.0,5109,524,,10.3,,82.6,82.4,O
A3|8.0,4783,460,,9.6,,88.3,88.5,O
A3|9.0,4087,378,,9.2,,84.2,80.3,O
OP|0.0,219,15,,6.8,,60.5,80.0,O
OP|1.0,1622,110,,6.8,,68.5,78.2,X
OP|10.0,1431,140,,9.8,,78.1,77.0,X
OP|11.0,1217,121,,9.9,,103.9,83.0,O
OP|12.0,993,91,,9.2,,68.7,78.6,X
OP|13.0,787,68,,8.6,,65.1,77.1,X
OP|14.0,621,56,,9.0,,65.3,66.2,X
OP|15.0,533,48,,9.0,,47.6,90.6,O
OP|16.0,471,56,,11.9,,80.1,89.3,O
OP|17.0,380,33,,8.7,,63.6,79.3,X
OP|18.0,297,45,,15.2,,138.4,85.9,O
OP|19.0,259,16,,6.2,,42.1,57.7,X
OP|2.0,3516,234,,6.7,,72.9,77.4,X
OP|20.0,260,28,,10.8,,82.3,66.7,X
OP|21.0,220,12,,5.5,,28.2,50.5,X
OP|22.0,156,10,,6.4,,69.0,89.1,O
OP|23.0,129,6,,4.7,,21.0,51.3,X
OP|24.0,96,11,,11.5,,94.7,128.2,O
OP|25.0,110,9,,8.2,,63.8,83.5,O
OP|26.0,90,7,,7.8,,89.5,76.3,X
OP|27.0,74,4,,5.4,,34.9,86.6,O
OP|28.0,69,3,,4.3,,26.5,49.9,X
OP|29.0,57,2,,3.5,,27.0,159.1,O
OP|3.0,3888,286,,7.4,,74.1,79.4,X
OP|30.0,64,8,,12.5,,114.7,53.8,X
OP|31.0,34,3,,8.8,,151.0,95.1,O
OP|32.0,40,3,,7.5,,47.5,47.4,X
OP|33.0,34,2,,5.9,,56.9,34.3,X
OP|34.0,36,3,,8.3,,163.8,81.9,O
OP|4.0,3373,303,,9.0,,87.6,78.3,X
OP|5.0,2753,248,,9.0,,88.6,86.2,O
OP|6.0,2443,226,,9.3,,78.4,81.3,O
OP|7.0,2101,222,,10.6,,83.7,78.3,X
OP|8.0,2010,203,,10.1,,82.6,81.4,O
OP|9.0,1712,163,,9.5,,84.8,74.2,X
