bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
1,735,63,,8.6,,85.4,83.4,O
2,1013,78,,7.7,,106.5,76.7,X
3,1030,97,,9.4,,107.8,93.1,O
4,1072,82,,7.6,,65.7,78.1,X
5,1095,89,,8.1,,60.2,71.1,X
6,1098,91,,8.3,,78.0,77.1,X
7,1109,80,,7.2,,74.4,66.3,X
8,1127,113,,10.0,,96.9,85.9,O
