bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
新ひだか|6,6316,399,,6.3,,96.6,77.6,X
新ひだか|7,6075,268,,4.4,,77.5,71.6,X
新冠|1,3845,1108,,28.8,,81.6,86.8,O
新冠|2,4123,712,,17.3,,79.1,82.7,O
新冠|3,4490,519,,11.6,,72.6,79.3,X
新冠|4,4540,431,,9.5,,83.1,78.4,X
新冠|5,4707,324,,6.9,,81.5,80.7,O
新冠|6,4566,255,,5.6,,80.7,81.2,O
新冠|7,4315,198,,4.6,,80.7,80.2,O
日高|1,4062,1180,,29.0,,81.7,84.3,O
日高|2,4360,784,,18.0,,86.4,83.8,O
日高|3,4511,587,,13.0,,79.1,82.6,O
日高|4,4699,397,,8.4,,69.7,79.4,X
日高|5,4549,327,,7.2,,82.8,80.7,O
日高|6,4593,269,,5.9,,73.7,77.1,X
日高|7,4241,181,,4.3,,72.4,79.5,X
栃木|1,55,15,,27.3,,53.3,79.9,X
栃木|2,71,14,,19.7,,108.1,96.3,O
栃木|3,63,7,,11.1,,85.4,78.3,X
栃木|4,52,3,,5.8,,35.0,90.5,O
栃木|5,58,5,,8.6,,47.8,53.5,X
栃木|6,50,3,,6.0,,76.4,123.6,O
栃木|7,52,1,,1.9,,10.9,98.3,O
様似|1,159,30,,18.9,,68.2,74.6,X
様似|2,174,36,,20.7,,83.8,82.6,O
様似|3,187,18,,9.6,,59.2,68.1,X
様似|4,224,19,,8.5,,78.5,76.9,X
様似|5,255,13,,5.1,,40.2,54.6,X
様似|6,253,5,,2.0,,54.1,54.6,X
様似|7,248,11,,4.4,,146.7,102.4,O
洞爺湖|1,287,85,,29.6,,69.4,82.5,O
洞爺湖|2,266,58,,21.8,,88.5,76.3,X
洞爺湖|3,283,31,,11.0,,47.8,74.2,X
洞爺湖|4,283,31,,11.0,,78.1,72.5,X
洞爺湖|5,223,20,,9.0,,99.9,73.4,X
洞爺湖|6,196,9,,4.6,,40.8,58.6,X
洞爺湖|7,203,7,,3.4,,60.3,57.2,X
浦河|1,4702,1331,,28.3,,77.7,85.4,O
浦河|2,5173,869,,16.8,,74.3,82.6,O
浦河|3,5330,640,,12.0,,80.0,82.3,O
浦河|4,5568,486,,8.7,,74.2,80.2,O
浦河|5,5573,404,,7.2,,87.5,81.0,O
浦河|6,5531,293,,5.3,,75.1,76.9,X
浦河|7,5028,214,,4.3,,75.5,76.7,X
熊本|4,41,3,,7.3,,93.4,85.4,O
熊本|5,40,3,,7.5,,82.5,149.9,O
熊本|6,38,2,,5.3,,104.1,29.4,X
熊本|7,40,3,,7.5,,128.0,104.9,O
登別|1,56,14,,25.0,,59.5,65.2,X
登別|2,51,13,,25.5,,129.2,115.8,O
登別|3,51,10,,19.6,,91.5,91.3,O
登別|4,61,5,,8.2,,63.4,82.8,O
登別|5,64,5,,7.8,,82.0,38.2,X
登別|6,67,1,,1.5,,7.4,65.5,X
登別|7,68,3,,4.4,,108.5,63.2,X
白老|1,1037,304,,29.3,,74.5,82.3,O
白老|2,937,180,,19.2,,76.2,80.5,O
白老|3,923,125,,13.5,,76.8,80.8,O
白老|4,907,89,,9.8,,84.5,76.5,X
白老|5,853,59,,6.9,,46.5,67.1,X
白老|6,814,54,,6.6,,107.0,87.4,O
白老|7,678,38,,5.6,,67.0,66.5,X
米|1,1227,429,,35.0,,82.6,84.8,O
米|2,980,209,,21.3,,79.8,84.1,O
米|3,803,120,,14.9,,77.4,80.6,O
米|4,761,84,,11.0,,72.6,82.8,O
米|5,692,55,,7.9,,76.8,76.5,X
米|6,578,46,,8.0,,71.5,74.8,X
米|7,586,40,,6.8,,73.6,84.1,O
英|1,147,41,,27.9,,71.1,84.1,O
英|2,132,22,,16.7,,53.0,68.7,X
英|3,115,22,,19.1,,97.6,60.7,X
英|4,114,14,,12.3,,77.2,85.3,O
英|5,127,13,,10.2,,104.1,79.2,X
英|6,93,8,,8.6,,83.6,67.1,X
英|7,95,2,,2.1,,20.1,99.3,O
豊浦|5,35,3,,8.6,,28.7,81.8,O
豊浦|7,34,0,,0.0,,0.0,9.8,X
豪|1,69,24,,34.8,,80.3,89.4,O
豪|2,40,13,,32.5,,119.6,98.6,O
豪|3,49,3,,6.1,,24.8,70.2,X
豪|4,37,4,,10.8,,88.7,91.1,O
豪|5,30,5,,16.7,,84.3,57.4,X
青森|1,71,21,,29.6,,86.3,88.1,O
青森|2,91,11,,12.1,,52.2,73.7,X
青森|3,119,19,,16.0,,86.9,89.6,O
青森|4,123,9,,7.3,,68.9,76.6,X
青森|5,120,6,,5.0,,51.9,68.0,X
青森|6,136,10,,7.4,,151.0,75.9,X
青森|7,124,4,,3.2,,19.8,75.8,X
鹿児島|3,32,4,,12.5,,61.5,97.6,O
鹿児島|5,33,0,,0.0,,0.0,57.3,X
鹿児島|6,30,1,,3.3,,70.1,119.3,O
