bin,n,win_count,place_count,win_rate,place_rate,win_roi,place_roi,decision_80pct
えりも|6,31,0,,0.0,,0.0,51.3,X
むかわ|1,213,51,,23.9,,119.1,85.5,O
むかわ|2,205,30,,14.6,,59.0,80.1,O
むかわ|3,229,23,,10.0,,57.9,87.6,O
むかわ|4,233,11,,4.7,,27.0,90.9,O
むかわ|5,227,14,,6.2,,65.4,62.8,X
むかわ|6,220,12,,5.5,,73.5,76.4,X
仏|2,33,8,,24.2,,81.4,60.8,X
千歳|1,3014,753,,25.0,,83.2,79.4,X
千歳|2,3091,593,,19.2,,80.8,81.5,O
千歳|3,2967,401,,13.5,,74.8,80.8,O
千歳|4,2902,336,,11.6,,89.5,80.7,O
千歳|5,2731,206,,7.5,,67.1,73.0,X
千歳|6,2652,200,,7.5,,92.3,79.8,X
安平|1,7112,2097,,29.5,,79.3,82.9,O
安平|2,6522,1408,,21.6,,75.6,80.8,O
安平|3,5898,934,,15.8,,75.8,78.3,X
安平|4,5249,600,,11.4,,77.2,76.8,X
安平|5,4712,412,,8.7,,72.4,77.0,X
安平|6,4056,327,,8.1,,73.5,74.0,X
平取|1,523,120,,22.9,,74.6,79.3,X
平取|2,490,86,,17.6,,73.1,77.8,X
平取|3,551,84,,15.2,,81.0,78.9,X
平取|4,539,59,,10.9,,91.8,80.8,O
平取|5,548,33,,6.0,,75.9,81.7,O
平取|6,539,36,,6.7,,72.3,78.2,X
愛|1,190,55,,28.9,,80.9,78.5,X
愛|2,152,33,,21.7,,92.6,67.8,X
愛|3,149,33,,22.1,,115.0,96.5,O
愛|4,151,9,,6.0,,46.8,80.0,O
愛|5,111,10,,9.0,,99.8,82.2,O
愛|6,128,10,,7.8,,71.7,77.9,X
新ひだか|1,5567,1235,,22.2,,80.0,80.9,O
新ひだか|2,5883,992,,16.9,,80.4,81.1,O
新ひだか|3,6139,828,,13.5,,82.6,77.7,X
新ひだか|4,6287,645,,10.3,,83.8,80.4,O
新ひだか|5,6309,482,,7.6,,76.0,78.2,X
新ひだか|6,6314,404,,6.4,,71.9,74.2,X
新冠|1,3920,894,,22.8,,81.5,83.4,O
新冠|2,4052,690,,17.0,,84.3,84.8,O
新冠|3,4157,539,,13.0,,75.0,83.8,O
新冠|4,4435,445,,10.0,,77.9,77.4,X
新冠|5,4480,340,,7.6,,70.8,77.2,X
新冠|6,4634,293,,6.3,,71.2,79.8,X
日高|1,4215,926,,22.0,,78.7,82.1,O
日高|2,4262,813,,19.1,,91.8,84.0,O
日高|3,4344,605,,13.9,,78.5,80.7,O
日高|4,4530,445,,9.8,,75.9,78.0,X
日高|5,4672,372,,8.0,,75.6,76.0,X
日高|6,4451,286,,6.4,,77.3,79.4,X
栃木|1,50,8,,16.0,,46.1,70.9,X
栃木|2,69,12,,17.4,,50.6,72.6,X
栃木|3,72,9,,12.5,,135.9,105.8,O
栃木|4,57,12,,21.1,,213.7,115.6,O
栃木|5,48,3,,6.2,,38.3,71.6,X
栃木|6,59,5,,8.5,,58.6,89.8,O
様似|1,144,26,,18.1,,79.6,83.9,O
様似|2,170,28,,16.5,,77.9,66.9,X
様似|3,199,30,,15.1,,68.5,66.6,X
様似|4,198,10,,5.1,,57.0,74.7,X
様似|5,236,13,,5.5,,73.3,54.1,X
様似|6,256,13,,5.1,,53.5,67.2,X
洞爺湖|1,281,73,,26.0,,62.0,82.9,O
洞爺湖|2,280,60,,21.4,,101.5,85.0,O
洞爺湖|3,249,38,,15.3,,82.5,81.3,O
洞爺湖|4,292,40,,13.7,,100.2,75.2,X
洞爺湖|5,223,17,,7.6,,53.4,77.7,X
洞爺湖|6,197,9,,4.6,,47.0,48.7,X
浦河|1,4748,1043,,22.0,,74.1,80.6,O
浦河|2,4900,858,,17.5,,84.8,83.5,O
浦河|3,5276,692,,13.1,,75.4,79.3,X
浦河|4,5363,523,,9.8,,73.3,78.3,X
浦河|5,5509,420,,7.6,,78.1,81.4,O
浦河|6,5441,338,,6.2,,78.1,85.1,O
熊本|2,38,11,,28.9,,131.9,80.7,O
熊本|3,30,8,,26.7,,338.0,155.0,O
熊本|4,31,2,,6.5,,310.8,101.1,O
熊本|6,37,2,,5.4,,68.5,51.2,X
登別|1,51,12,,23.5,,79.1,86.4,O
登別|2,59,12,,20.3,,78.1,95.3,O
登別|3,48,13,,27.1,,242.9,96.6,O
登別|4,62,7,,11.3,,68.3,77.2,X
登別|5,63,7,,11.1,,119.0,94.0,O
登別|6,70,4,,5.7,,24.9,45.3,X
白老|1,1034,246,,23.8,,80.8,80.5,O
白老|2,1072,218,,20.3,,82.8,79.7,X
白老|3,951,126,,13.2,,62.1,75.8,X
白老|4,882,94,,10.7,,71.8,81.9,O
白老|5,839,75,,8.9,,71.6,79.4,X
白老|6,780,59,,7.6,,82.3,76.1,X
米|1,1247,377,,30.2,,84.5,81.3,O
米|2,1016,232,,22.8,,85.1,83.5,O
米|3,906,139,,15.3,,79.0,79.3,X
米|4,808,95,,11.8,,67.5,88.2,O
米|5,746,61,,8.2,,65.0,83.7,O
米|6,647,61,,9.4,,84.1,86.1,O
英|1,156,42,,26.9,,93.2,81.9,O
英|2,141,25,,17.7,,64.4,81.2,O
英|3,142,18,,12.7,,67.3,57.1,X
英|4,123,13,,10.6,,85.2,63.9,X
英|5,117,8,,6.8,,44.3,88.5,O
