factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kishu_minarai_code,騎手見習,code,4,8646,79.2,6.13,73.19,False
kyori_kubun,距離区分,code,3,8731,73.0,0.22,72.75,False
bataiju_zogen,馬体重増減,numeric,14,8189,73.13,3.26,71.42,False
uma_deokure_bin,馬出遅率ビン,code,5,8717,74.49,3.76,71.19,False
manken_shirushi,万券印,code,8,5341,73.81,4.52,70.68,False
bataiju,馬体重,numeric,36,7117,73.54,10.8,70.02,False
hizume_code,蹄コード,code,12,8391,73.11,6.83,69.25,False
ten_shisu_juni,テン指数順位,numeric,16,8731,72.27,6.25,69.21,False
omo_tekisei_code,重適性,code,3,8707,72.88,3.37,69.07,False
ichi_shisu_juni,位置指数順位,numeric,16,8731,72.35,6.76,69.03,False
ls_shisu_juni,LS指数順位,numeric,8,8703,72.99,6.33,68.6,False
kyakushitsu,脚質,code,4,8731,72.03,3.72,68.38,False
manken_shisu_decile,万券指数10分位,code,10,8453,71.3,4.95,68.23,False
pace_shisu_juni,ペース指数順位,numeric,16,8731,71.2,6.28,68.12,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,8634,72.27,6.08,68.06,False
rotation_bin,ローテーションビン,code,8,8731,73.57,8.06,67.99,False
kyori_tekisei,距離適性,code,5,8613,72.44,5.77,67.39,False
agari_shisu_juni,上がり指数順位,numeric,16,8731,70.96,7.47,67.3,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,15,8677,73.77,14.41,66.48,False
umakigo_code,馬記号,code,3,8689,69.95,3.53,65.95,False
gekiso_juni,激走順位,numeric,16,8731,70.07,10.9,64.73,False
joho_shisu_decile,情報指数10分位,code,6,8731,71.79,8.96,64.62,False
tenkai_kigo_code,展開記号,code,5,8731,71.56,8.56,64.05,False
kyusha_hyoka_code,厩舎評価,code,3,8637,71.4,7.53,62.88,False
kyusha_shisu_decile,厩舎指数10分位,code,10,8731,67.72,10.16,61.42,False
kyori_tekisei_2,距離適性2,code,3,1304,70.32,8.41,60.8,False
chokyo_shisu_decile,調教指数10分位,code,10,8731,66.93,9.93,60.77,False
kishu_shisu_decile,騎手指数10分位,code,10,8731,75.15,23.57,60.54,False
ninki_shisu_decile,人気指数10分位,code,9,8667,67.07,10.28,60.36,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,8731,74.67,23.9,59.85,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,20,3042,71.6,28.09,59.28,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,8731,74.77,26.02,58.64,False
sogo_shisu_decile,総合指数10分位,code,8,8701,67.95,16.45,56.55,False
idm_decile,IDM指数10分位,code,7,8649,64.71,18.86,50.73,False
kyuyo_riyu_bunrui_code,休養理由,code,3,2261,56.93,9.61,46.06,False
class_code,クラスコード,code,4,8487,60.78,25.11,36.17,False
