factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
gekiso_juni,激走順位,numeric,10,1249,74.28,5.33,70.98,False
ten_shisu_juni,テン指数順位,numeric,10,1205,75.3,10.9,68.55,False
rotation,ローテーション,numeric,4,895,73.18,4.84,68.44,False
kyori_kubun,距離区分,code,3,1649,70.94,2.46,68.16,False
omo_tekisei_code,重適性,code,3,1649,72.68,4.53,67.55,False
agari_shisu_juni,上がり指数順位,numeric,10,1211,73.37,10.63,66.78,False
ichi_shisu_juni,位置指数順位,numeric,10,1219,74.0,11.66,66.77,False
kyori_tekisei,距離適性,code,3,1589,71.45,4.16,66.74,False
tenkai_kigo_code,展開記号,code,5,1649,73.18,7.66,66.47,False
ls_shisu_juni,LS指数順位,numeric,7,1528,73.37,10.57,65.55,False
manken_shirushi,万券印,code,8,988,71.7,9.59,65.05,False
uma_start_shisu,馬スタート指数,numeric,5,1109,71.32,7.68,64.59,False
hizume_code,蹄コード,code,7,1446,70.66,8.66,64.24,False
kyakushitsu,脚質,code,4,1649,73.12,9.23,64.07,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,10,1341,70.19,11.35,63.16,False
pace_shisu_juni,ペース指数順位,numeric,11,1321,72.62,16.59,62.82,False
kishu_shisu,騎手指数,numeric,3,601,63.8,15.08,46.74,False
