factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,3050,74.29,0.7,73.5,False
joken_class_code,条件クラス,code,5,3050,73.79,1.05,72.87,False
uma_deokure_ritsu,馬出遅率,numeric,4,1363,76.22,4.02,72.28,False
manken_shisu,万券指数,numeric,4,416,76.41,5.55,70.97,False
tenkai_kigo_code,展開記号,code,5,3050,74.6,5.85,69.48,False
rotation,ローテーション,numeric,13,2594,74.66,10.39,69.02,False
shiba_tekisei_code,芝適性,code,3,2824,75.84,6.04,69.01,False
gekiso_juni,激走順位,numeric,16,2924,74.27,11.48,68.64,False
class_code,クラスコード,code,8,2650,73.42,7.88,67.96,False
kyusha_shisu,厩舎指数,numeric,3,398,73.63,5.76,67.12,False
agari_shisu_juni,上がり指数順位,numeric,16,2910,74.05,14.29,67.05,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,6,1008,83.57,20.64,67.05,False
kishu_shisu,騎手指数,numeric,12,2374,76.12,16.05,67.04,False
ls_shisu_juni,LS指数順位,numeric,7,2963,72.38,7.43,66.88,False
kyori_tekisei,距離適性,code,3,2934,75.66,7.81,66.82,False
ten_shisu_juni,テン指数順位,numeric,16,2931,71.62,11.51,65.98,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,14,2823,73.03,14.5,65.43,False
ichi_shisu_juni,位置指数順位,numeric,16,2938,72.0,13.76,65.26,False
kyakushitsu,脚質,code,4,3037,73.1,8.02,65.24,False
uma_start_shisu,馬スタート指数,numeric,10,2325,72.07,11.53,64.92,False
nyukyu_nannichimae,入厩何日前,numeric,7,1000,71.44,8.9,64.85,False
pace_shisu_juni,ペース指数順位,numeric,16,2920,72.39,15.48,64.81,False
hizume_code,蹄コード,code,8,2700,72.03,12.14,63.62,False
manken_shirushi,万券印,code,8,1654,72.18,14.81,61.92,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,4,477,86.74,26.71,60.57,False
omo_tekisei_code,重適性,code,3,3025,70.06,8.76,60.15,False
