=================================================================
採用ファクター一覧（セグメント別）
合計: 561ファクター
=================================================================

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
【GLOBAL】全体（芝ダ共通）（63件）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
    1: kishu_minarai_code（騎手見習い） × kyori_tekisei_2（距離適性2） | pass_rate: 0.800 | place_roi: 78.8%
    2: chokyo_yajirushi_code（調教矢印） × kyori_tekisei_2（距離適性2） | pass_rate: 0.667 | place_roi: 71.4%
    3: prev2_chakujun（前2走着順） | pass_rate: 0.611 | place_roi: 82.7%
    4: kyori_tekisei_2（距離適性2） × prev1_bataiju（前走馬体重） | pass_rate: 0.606 | place_roi: 76.8%
    5: kishu_minarai_code（騎手見習い） × nyukyu_nannichimae（入厩何日前） | pass_rate: 0.593 | place_roi: 76.3%
    6: chokyo_yajirushi_code（調教矢印） × tenkai_kigo_code（展開記号） | pass_rate: 0.588 | place_roi: 78.7%
    7: chokyo_yajirushi_code（調教矢印） × prev2_chakujun（前2走着順） | pass_rate: 0.583 | place_roi: 78.8%
    8: kyori_tekisei_2（距離適性2） × shirushi_code_1（印コード1） | pass_rate: 0.571 | place_roi: 78.5%
    9: kishu_rank（騎手ランク） × kyori_tekisei_2（距離適性2） | pass_rate: 0.571 | place_roi: 77.2%
   10: kyori_tekisei_2（距離適性2） × nyukyu_nannichimae（入厩何日前） | pass_rate: 0.571 | place_roi: 76.6%
   11: ls_shisu_juni（LS指数順位） × manken_shirushi（万券印） | pass_rate: 0.550 | place_roi: 81.0%
   12: kishu_rank（騎手ランク） × ls_shisu_juni（LS指数順位） | pass_rate: 0.548 | place_roi: 79.1%
   13: kyori_tekisei_2（距離適性2） × manken_shirushi（万券印） | pass_rate: 0.542 | place_roi: 78.9%
   14: joho_shisu（情報指数） × kishu_rank（騎手ランク） | pass_rate: 0.541 | place_roi: 77.7%
   15: manken_shirushi（万券印） × yoso_juni（予想順位） | pass_rate: 0.540 | place_roi: 78.7%
   16: chokyo_yajirushi_code（調教矢印） × prev1_chakujun（前走着順） | pass_rate: 0.537 | place_roi: 79.6%
   17: kyori_tekisei_2（距離適性2） × moshoku_code（毛色コード） | pass_rate: 0.533 | place_roi: 75.8%
   18: kijun_ninkijun_tansho（基準人気順（単勝）） | pass_rate: 0.529 | place_roi: 80.9%
   19: chokyo_yajirushi_code（調教矢印） × shirushi_code_1（印コード1） | pass_rate: 0.529 | place_roi: 80.4%
   20: shirushi_code_1（印コード1） × uma_deokure_ritsu（出遅れ率） | pass_rate: 0.529 | place_roi: 78.4%
   21: futan_juryo（斤量） × kyori_tekisei_2（距離適性2） | pass_rate: 0.526 | place_roi: 78.5%
   22: agari_shisu_juni（上がり指数順位） × chokyo_yajirushi_code（調教矢印） | pass_rate: 0.525 | place_roi: 77.4%
   23: kyori_tekisei_2（距離適性2） × ls_shisu_juni（LS指数順位） | pass_rate: 0.524 | place_roi: 82.3%
   24: futan_juryo（斤量） × shirushi_code_1（印コード1） | pass_rate: 0.524 | place_roi: 78.6%
   25: babajotai_heavy（馬場状態（重分類）） × prev2_chakujun（前2走着順） | pass_rate: 0.520 | place_roi: 83.3%
   26: chokyo_yajirushi_code（調教矢印） × ls_shisu_juni（LS指数順位） | pass_rate: 0.520 | place_roi: 82.2%
   27: babajotai_heavy（馬場状態（重分類）） × prev3_chakujun（前3走着順） | pass_rate: 0.520 | place_roi: 82.1%
   28: hizume_code（蹄コード） × kyori_tekisei_2（距離適性2） | pass_rate: 0.520 | place_roi: 80.7%
   29: hizume_code（蹄コード） × ls_shisu_juni（LS指数順位） | pass_rate: 0.518 | place_roi: 79.1%
   30: kijun_ninkijun_fukusho（基準人気順（複勝）） × sanchimei（産地名） | pass_rate: 0.517 | place_roi: 78.2%
   31: babajotai_heavy（馬場状態（重分類）） × futan_juryo（斤量） | pass_rate: 0.516 | place_roi: 81.1%
   32: sanchimei（産地名） × shirushi_code_1（印コード1） | pass_rate: 0.516 | place_roi: 76.7%
   33: babajotai_heavy（馬場状態（重分類）） × prev1_keibajo（前走競馬場） | pass_rate: 0.515 | place_roi: 86.5%
   34: moshoku_code（毛色コード） × shirushi_code_1（印コード1） | pass_rate: 0.514 | place_roi: 79.6%
   35: shirushi_code_1（印コード1） × yy_int（YY値） | pass_rate: 0.514 | place_roi: 79.1%
   36: kyakushitsu（脚質） × shirushi_code_1（印コード1） | pass_rate: 0.514 | place_roi: 78.8%
   37: gekiso_type（激走タイプ） × uma_deokure_ritsu（出遅れ率） | pass_rate: 0.513 | place_roi: 76.1%
   38: chokyoshi_rank（調教師ランク） × ls_shisu_juni（LS指数順位） | pass_rate: 0.512 | place_roi: 78.6%
   39: kishu_rank（騎手ランク） × prev1_bataiju（前走馬体重） | pass_rate: 0.511 | place_roi: 76.2%
   40: ls_shisu_juni（LS指数順位） × prev2_chakujun（前2走着順） | pass_rate: 0.505 | place_roi: 83.3%
   41: futan_juryo（斤量） × prev3_chakujun（前3走着順） | pass_rate: 0.504 | place_roi: 80.1%
   42: prev1_keibajo（前走競馬場） | pass_rate: 0.500 | place_roi: 85.8%
   43: babajotai_heavy（馬場状態（重分類）） × ls_shisu_juni（LS指数順位） | pass_rate: 0.500 | place_roi: 82.1%
   44: kishu_shisu（騎手指数） | pass_rate: 0.500 | place_roi: 80.8%
   45: umaban_clean（馬番） | pass_rate: 0.500 | place_roi: 80.7%
   46: babajotai_heavy（馬場状態（重分類）） × manken_shirushi（万券印） | pass_rate: 0.500 | place_roi: 80.4%
   47: nyukyu_nannichimae（入厩何日前） × shirushi_code_1（印コード1） | pass_rate: 0.500 | place_roi: 80.0%
   48: shirushi_code_5（印コード5） | pass_rate: 0.500 | place_roi: 79.8%
   49: shirushi_code_2（印コード2） | pass_rate: 0.500 | place_roi: 79.5%
   50: prev1_keibajo（前走競馬場） × shirushi_code_1（印コード1） | pass_rate: 0.500 | place_roi: 79.4%
   51: manken_shirushi（万券印） | pass_rate: 0.500 | place_roi: 79.1%
   52: prev1_corner4_bin（前走4角位置（区分）） | pass_rate: 0.500 | place_roi: 78.9%
   53: shirushi_code_6（印コード6） | pass_rate: 0.500 | place_roi: 78.9%
   54: kyori_tekisei_2（距離適性2） × prev1_keibajo（前走競馬場） | pass_rate: 0.500 | place_roi: 78.8%
   55: agari_shisu_juni（上がり指数順位） × kyori_tekisei_2（距離適性2） | pass_rate: 0.500 | place_roi: 78.6%
   56: kijun_ninkijun_tansho（基準人気順（単勝）） × sanchimei（産地名） | pass_rate: 0.500 | place_roi: 78.4%
   57: chokyo_yajirushi_code（調教矢印） × moshoku_code（毛色コード） | pass_rate: 0.500 | place_roi: 78.3%
   58: chokyo_yajirushi_code（調教矢印） | pass_rate: 0.500 | place_roi: 77.1%
   59: kyori_tekisei_2（距離適性2） × yoso_juni（予想順位） | pass_rate: 0.500 | place_roi: 76.8%
   60: kyori_tekisei_2（距離適性2） × taikei_tomo（体型（トモ）） | pass_rate: 0.500 | place_roi: 76.7%
   61: chokyo_yajirushi_code（調教矢印） × prev3_chakujun（前3走着順） | pass_rate: 0.500 | place_roi: 76.7%
   62: shirushi_code_1（印コード1） × taikei_tomo（体型（トモ）） | pass_rate: 0.500 | place_roi: 76.5%
   63: futan_juryo（斤量） × kishu_rank（騎手ランク） | pass_rate: 0.500 | place_roi: 75.9%

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
【COURSE_27】コース27分類（3件）
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
    1: tozai_shozoku_code（東西所属） | pass_rate: 0.667 | place_roi: 85.1%
    2: prev2_chakujun（前2走着順） | pass_rate: 0.611 | place_roi: 82.7%
    3: umaban | pass_rate: 0.500 | place_roi: 80.7%

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
【SURFACE_2_芝】全場芝（55件）
