factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
class_code,クラスコード,code,16,23597,75.94,4.66,73.65,False
kishu_shisu,騎手指数,numeric,32,23612,76.56,8.57,73.59,False
omo_tekisei_code,重適性,code,3,23793,73.82,0.42,73.35,False
kyusha_hyoka_code,厩舎評価,code,4,23910,76.34,3.07,73.33,False
kyori_tekisei,距離適性,code,6,23858,75.64,2.89,73.33,False
joho_shisu,情報指数,numeric,45,23514,75.24,8.25,72.82,False
keibajo_code,競馬場,code,10,23910,73.36,0.92,72.79,False
pace_yoso,ペース予想,code,3,23429,74.65,1.86,72.55,False
uma_start_shisu,馬スタート指数,numeric,21,22907,73.74,3.86,72.09,False
kyori_kubun,距離区分,code,4,23910,73.89,1.9,72.03,False
gekiso_shisu,激走指数,numeric,109,17998,73.87,11.11,71.78,False
kyori_tekisei_2,距離適性2,code,3,11164,73.47,1.58,71.68,False
manken_shirushi,万券印,code,8,14284,74.96,4.82,71.62,False
agari_shisu,上がり指数,numeric,92,10668,73.85,12.47,71.3,False
uma_deokure_ritsu,馬出遅率,numeric,41,22583,72.87,6.23,70.97,False
ichi_shisu,位置指数,numeric,109,19839,72.97,10.91,70.92,False
pace_shisu,ペース指数,numeric,95,11241,73.33,13.28,70.66,False
ls_shisu_juni,LS指数順位,numeric,9,23329,74.52,6.38,70.36,False
nyukyu_nannichimae,入厩何日前,numeric,29,14395,72.86,7.03,70.31,False
ten_shisu,テン指数,numeric,71,7861,73.13,12.43,70.24,False
rotation,ローテーション,numeric,24,22958,73.08,7.31,70.16,False
agari_shisu_juni,上がり指数順位,numeric,18,23429,72.08,4.59,69.96,False
idm,IDM指数,numeric,52,16894,72.47,9.27,69.95,False
tenkai_kigo_code,展開記号,code,5,23429,74.41,5.24,69.82,False
ten_shisu_juni,テン指数順位,numeric,18,23429,72.13,5.04,69.81,False
hizume_code,蹄コード,code,15,23548,72.99,7.2,69.35,False
kyuyo_riyu_bunrui_code,休養理由,code,3,7339,73.21,3.45,69.3,False
manken_shisu,万券指数,numeric,52,22368,71.78,9.39,69.23,False
ichi_shisu_juni,位置指数順位,numeric,18,23429,72.83,7.94,69.16,False
shiba_tekisei_code,芝適性,code,3,20773,72.15,3.0,68.75,False
kyakushitsu,脚質,code,4,23910,73.61,5.02,68.69,False
da_tekisei_code,ダ適性,code,3,10447,71.76,3.08,68.28,False
pace_shisu_juni,ペース指数順位,numeric,18,23429,71.03,6.12,68.2,False
sogo_shisu,総合指数,numeric,78,10318,70.76,12.37,68.02,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,23767,71.3,8.5,67.14,False
gekiso_juni,激走順位,numeric,18,23429,70.19,7.39,66.78,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,65,16309,69.22,13.8,65.87,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,50,11206,68.98,14.9,64.85,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,41,8858,68.37,12.17,64.64,False
kyusha_shisu,厩舎指数,numeric,20,3032,65.99,11.62,60.9,False
chokyo_shisu,調教指数,numeric,34,5847,64.84,15.06,59.78,False
umakigo_code,馬記号,code,4,23891,67.61,9.16,58.63,False
ninki_shisu,人気指数,numeric,49,6118,60.32,23.12,53.85,False
