factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_yoso,ペース予想,code,3,4037,74.4,0.93,73.35,False
joken_class_code,条件クラス,code,5,4037,73.68,1.06,72.75,False
da_tekisei_code,ダ適性,code,3,3675,73.98,2.98,70.61,False
ichi_shisu_juni,位置指数順位,numeric,16,4037,73.5,7.0,70.07,False
uma_start_shisu,馬スタート指数,numeric,10,3279,74.57,7.69,69.8,False
hizume_code,蹄コード,code,8,3587,75.22,8.14,69.58,False
manken_shirushi,万券印,code,8,2468,76.52,11.33,68.67,False
kyakushitsu,脚質,code,4,4023,74.74,6.26,68.61,False
pace_shisu_juni,ペース指数順位,numeric,16,4037,72.98,9.02,68.56,False
omo_tekisei_code,重適性,code,3,4009,73.84,5.18,67.97,False
ls_shisu_juni,LS指数順位,numeric,8,4023,74.25,9.15,67.91,False
manken_shisu,万券指数,numeric,17,2049,73.54,12.12,67.77,False
uma_deokure_ritsu,馬出遅率,numeric,9,2201,77.72,15.44,67.63,False
class_code,クラスコード,code,7,3509,76.65,12.43,67.44,False
gekiso_juni,激走順位,numeric,15,3943,71.7,9.14,67.08,False
ten_shisu_juni,テン指数順位,numeric,16,4037,71.9,9.93,67.03,False
kyori_tekisei,距離適性,code,4,3815,73.52,6.8,66.85,False
tenkai_kigo_code,展開記号,code,5,4037,75.26,10.55,66.01,False
agari_shisu_juni,上がり指数順位,numeric,15,3941,70.88,10.3,65.67,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,13,3842,70.42,8.77,65.66,False
rotation,ローテーション,numeric,9,3222,72.46,11.15,65.18,False
nyukyu_nannichimae,入厩何日前,numeric,7,934,67.76,13.54,57.73,False
kishu_shisu,騎手指数,numeric,13,3093,64.82,15.97,56.13,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,6,1094,60.98,13.73,49.99,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,5,669,49.69,8.09,42.6,False
