factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_kubun,距離区分,code,4,23911,72.95,0.4,72.55,False
keibajo_code,競馬場,code,10,23911,72.95,0.75,72.49,False
hizume_code,蹄コード,code,14,23650,76.09,7.09,72.38,False
shiba_tekisei_code,芝適性,code,3,23512,72.69,0.36,72.28,False
pace_yoso,ペース予想,code,3,23911,73.19,0.89,72.18,False
kyori_tekisei,距離適性,code,6,23824,77.15,6.24,72.16,False
omo_tekisei_code,重適性,code,3,23897,73.56,1.5,71.86,False
kyori_tekisei_2,距離適性2,code,3,8299,72.9,1.39,71.33,False
bataiju_zogen,馬体重増減,numeric,17,23525,72.68,3.94,70.81,False
uma_deokure_bin,馬出遅率ビン,code,5,23903,72.83,2.37,70.75,False
kyuyo_riyu_bunrui_code,休養理由,code,3,6010,73.64,2.59,70.7,False
manken_shirushi,万券印,code,8,15187,72.85,4.06,70.04,False
agari_shisu_juni,上がり指数順位,numeric,17,23834,72.83,5.99,69.98,False
ls_shisu_juni,LS指数順位,numeric,9,23809,72.94,5.2,69.54,False
bataiju,馬体重,numeric,55,22963,71.91,9.24,69.47,False
manken_shisu_decile,万券指数10分位,code,10,23442,72.39,5.49,68.98,False
rotation_bin,ローテーションビン,code,8,23911,71.81,4.61,68.62,False
uma_start_shisu_decile,馬スタート指数10分位,code,8,23884,72.14,5.34,68.44,False
umakigo_code,馬記号,code,3,23862,71.39,2.68,68.36,False
gekiso_juni,激走順位,numeric,17,23850,71.29,6.18,68.35,False
ten_shisu_juni,テン指数順位,numeric,17,23826,70.21,6.33,67.2,False
tenkai_kigo_code,展開記号,code,5,23911,72.67,6.76,66.75,False
class_code,クラスコード,code,6,23733,74.28,9.58,66.61,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,23832,76.12,19.61,66.51,False
kyakushitsu,脚質,code,4,23911,72.62,6.28,66.47,False
pace_shisu_juni,ペース指数順位,numeric,17,23828,69.44,6.76,66.23,False
joho_shisu_decile,情報指数10分位,code,6,23911,71.53,7.85,65.25,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,43,10015,68.02,12.47,64.3,False
kokyu_flag,コ休フラグ,code,3,23911,70.06,5.49,63.85,False
kyusha_shisu_decile,厩舎指数10分位,code,10,23911,68.46,9.6,62.51,False
kishu_kitai_rentai_decile,騎手期待連対率10分位,code,10,23911,72.52,16.17,62.5,False
ichi_shisu_juni,位置指数順位,numeric,17,23826,67.65,11.35,62.25,False
kishu_shisu_decile,騎手指数10分位,code,10,23911,71.6,15.66,61.89,False
kishu_minarai_code,騎手見習,code,4,23860,70.81,9.19,61.81,False
kishu_kitai_tansho_decile,騎手期待単勝率10分位,code,10,23911,71.28,16.55,61.02,False
chokyo_shisu_decile,調教指数10分位,code,10,23889,66.4,9.89,60.27,False
ninki_shisu_decile,人気指数10分位,code,10,23911,65.73,10.51,59.22,False
sogo_shisu_decile,総合指数10分位,code,6,23853,64.56,11.38,55.46,False
idm_decile,IDM指数10分位,code,6,23888,64.75,11.86,55.26,False
blinker,ブリンカー,code,3,2364,67.81,12.63,53.51,False
kyusha_hyoka_code,厩舎評価,code,4,23911,69.47,21.57,48.34,False
