segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_04_芝_長距離,joken_class_code+ls_shisu_juni+class_code,joken_class_code,ls_shisu_juni,class_code,4,528,68.05,5.03,63.12,False
COURSE_27_04_芝_長距離,kyori_tekisei+class_code+tenkai_kigo_code,kyori_tekisei,class_code,tenkai_kigo_code,3,535,68.18,4.91,62.63,False
COURSE_27_04_芝_長距離,joken_class_code+kyakushitsu+tenkai_kigo_code,joken_class_code,kyakushitsu,tenkai_kigo_code,5,733,67.78,7.08,61.58,False
COURSE_27_04_芝_長距離,joken_class_code+class_code+tenkai_kigo_code,joken_class_code,class_code,tenkai_kigo_code,3,744,68.8,6.56,61.38,False
COURSE_27_04_芝_長距離,class_code+kyakushitsu+tenkai_kigo_code,class_code,kyakushitsu,tenkai_kigo_code,4,507,67.09,6.38,60.83,False
COURSE_27_04_芝_長距離,joken_class_code+class_code+kyakushitsu,joken_class_code,class_code,kyakushitsu,5,846,68.82,9.31,60.65,False
COURSE_27_04_芝_長距離,joken_class_code+kyori_tekisei+tenkai_kigo_code,joken_class_code,kyori_tekisei,tenkai_kigo_code,3,669,69.26,7.86,60.36,False
COURSE_27_04_芝_長距離,joken_class_code+kyori_tekisei+class_code,joken_class_code,kyori_tekisei,class_code,3,791,67.22,9.13,56.89,False
COURSE_27_04_芝_長距離,joken_class_code+ls_shisu_juni+tenkai_kigo_code,joken_class_code,ls_shisu_juni,tenkai_kigo_code,3,360,67.76,10.62,55.74,False
COURSE_27_04_芝_長距離,joken_class_code+kyori_tekisei+kyakushitsu,joken_class_code,kyori_tekisei,kyakushitsu,5,688,67.54,15.15,54.26,False
COURSE_27_04_芝_長距離,kyori_tekisei+kyakushitsu+tenkai_kigo_code,kyori_tekisei,kyakushitsu,tenkai_kigo_code,4,662,65.88,16.74,49.47,False
COURSE_27_04_芝_長距離,kyori_tekisei+class_code+kyakushitsu,kyori_tekisei,class_code,kyakushitsu,3,387,64.61,16.77,45.62,False
