segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_右回り急坂O字_ダ,joken_class_code+blinker,joken_class_code,blinker,7,3856,71.49,6.0,67.05,False
COURSE_27_右回り急坂O字_ダ,umakigo_code+kishu_kitai_tansho_decile,umakigo_code,kishu_kitai_tansho_decile,19,28796,71.48,9.85,67.05,False
COURSE_27_右回り急坂O字_ダ,gekiso_juni+sogo_shisu_decile,gekiso_juni,sogo_shisu_decile,127,27177,69.55,14.4,67.05,False
COURSE_27_右回り急坂O字_ダ,kijun_ninkijun_tansho+sogo_shisu_decile,kijun_ninkijun_tansho,sogo_shisu_decile,104,26817,70.03,15.53,67.05,False
COURSE_27_右回り急坂O字_ダ,bataiju_zogen+kyuyo_riyu_bunrui_code,bataiju_zogen,kyuyo_riyu_bunrui_code,14,4103,72.02,9.52,67.04,False
COURSE_27_右回り急坂O字_ダ,ten_shisu_juni+kishu_minarai_code,ten_shisu_juni,kishu_minarai_code,30,27456,70.33,9.25,67.02,False
COURSE_27_右回り急坂O字_ダ,kishu_kitai_sanchakunai_ritsu+joho_shisu_decile,kishu_kitai_sanchakunai_ritsu,joho_shisu_decile,47,10072,71.55,15.93,66.99,False
COURSE_27_右回り急坂O字_ダ,uma_start_shisu_decile+chokyo_shisu_decile,uma_start_shisu_decile,chokyo_shisu_decile,72,26158,70.09,13.43,66.99,False
COURSE_27_右回り急坂O字_ダ,blinker+ls_shisu_juni,blinker,ls_shisu_juni,10,3536,71.21,6.83,66.98,False
COURSE_27_右回り急坂O字_ダ,sogo_shisu_decile+kishu_shisu_decile,sogo_shisu_decile,kishu_shisu_decile,85,28641,70.04,14.39,66.98,False
COURSE_27_右回り急坂O字_ダ,rotation_bin+kishu_minarai_code,rotation_bin,kishu_minarai_code,20,25991,72.29,12.14,66.97,False
COURSE_27_右回り急坂O字_ダ,pace_shisu_juni+kishu_kitai_tansho_decile,pace_shisu_juni,kishu_kitai_tansho_decile,107,26699,69.4,12.92,66.95,False
COURSE_27_右回り急坂O字_ダ,pace_yoso+kishu_shisu_decile,pace_yoso,kishu_shisu_decile,28,29350,71.41,12.03,66.95,False
COURSE_27_右回り急坂O字_ダ,joshodo_code+agari_shisu_juni,joshodo_code,agari_shisu_juni,28,28397,70.19,8.76,66.94,False
COURSE_27_右回り急坂O字_ダ,da_tekisei_code+agari_shisu_juni,da_tekisei_code,agari_shisu_juni,34,22277,71.15,12.55,66.93,False
COURSE_27_右回り急坂O字_ダ,rotation_bin+joshodo_code,rotation_bin,joshodo_code,9,26364,71.01,6.28,66.9,False
COURSE_27_右回り急坂O字_ダ,class_code+kyuyo_riyu_bunrui_code,class_code,kyuyo_riyu_bunrui_code,8,4177,71.23,6.27,66.88,False
COURSE_27_右回り急坂O字_ダ,uma_start_shisu_decile+kyusha_shisu_decile,uma_start_shisu_decile,kyusha_shisu_decile,73,26179,69.91,13.31,66.86,False
COURSE_27_右回り急坂O字_ダ,idm_decile+ninki_shisu_decile,idm_decile,ninki_shisu_decile,79,28440,69.42,11.57,66.86,False
COURSE_27_右回り急坂O字_ダ,idm_decile+kishu_kitai_tansho_decile,idm_decile,kishu_kitai_tansho_decile,78,28037,69.72,12.88,66.86,False
COURSE_27_右回り急坂O字_ダ,ten_shisu_juni+kyusha_shisu_decile,ten_shisu_juni,kyusha_shisu_decile,121,26333,69.16,12.93,66.85,False
COURSE_27_右回り急坂O字_ダ,blinker+manken_shisu_decile,blinker,manken_shisu_decile,13,3483,71.12,7.85,66.85,False
COURSE_27_右回り急坂O字_ダ,umakigo_code+kishu_kitai_sanchakunai_ritsu,umakigo_code,kishu_kitai_sanchakunai_ritsu,51,14019,71.02,15.27,66.82,False
COURSE_27_右回り急坂O字_ダ,hizume_code+ninki_shisu_decile,hizume_code,ninki_shisu_decile,66,23535,69.92,12.86,66.82,False
COURSE_27_右回り急坂O字_ダ,bataiju+ls_shisu_juni,bataiju,ls_shisu_juni,70,11223,69.81,12.87,66.8,False
COURSE_27_右回り急坂O字_ダ,gekiso_juni+kishu_kitai_rentai_decile,gekiso_juni,kishu_kitai_rentai_decile,99,26311,69.61,14.31,66.79,False
COURSE_27_右回り急坂O字_ダ,ichi_shisu_juni+kijun_ninkijun_tansho,ichi_shisu_juni,kijun_ninkijun_tansho,117,23231,69.35,14.11,66.79,False
COURSE_27_右回り急坂O字_ダ,ten_shisu_juni+ninki_shisu_decile,ten_shisu_juni,ninki_shisu_decile,113,27007,69.16,12.97,66.77,False
