factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
pace_shisu,ペース指数,numeric,89,12528,77.01,12.85,74.34,False
hizume_code,蹄コード,code,17,26426,76.41,4.66,74.2,False
ichi_shisu,位置指数,numeric,109,25303,75.53,9.73,73.7,False
ten_shisu,テン指数,numeric,94,13325,75.76,10.82,73.58,False
pace_yoso,ペース予想,code,3,29451,73.91,0.47,73.38,False
kishu_shisu,騎手指数,numeric,33,29141,76.47,9.24,73.32,False
manken_shirushi,万券印,code,8,18853,75.95,3.9,73.24,False
joken_class_code,条件クラス,code,5,29451,73.25,0.89,72.46,False
uma_start_shisu,馬スタート指数,numeric,23,26369,74.73,6.34,72.14,False
joho_shisu,情報指数,numeric,46,29111,74.79,9.6,72.01,False
omo_tekisei_code,重適性,code,4,26787,73.51,1.75,71.8,False
uma_deokure_ritsu,馬出遅率,numeric,38,25431,74.48,8.68,71.72,False
ichi_shisu_juni,位置指数順位,numeric,16,29451,74.08,5.08,71.59,False
agari_shisu,上がり指数,numeric,31,5699,76.24,13.75,71.4,False
kyakushitsu,脚質,code,5,29450,73.29,2.22,71.34,False
kyusha_shisu,厩舎指数,numeric,62,8480,74.59,13.13,71.32,False
manken_shisu,万券指数,numeric,52,27681,72.9,8.41,70.61,False
kakutoku_shokin_ruikei,獲得賞金累計,numeric,21,10422,76.17,13.28,70.5,False
ten_shisu_juni,テン指数順位,numeric,16,29451,72.41,4.06,70.42,False
gekiso_shisu,激走指数,numeric,146,25186,71.97,9.87,70.37,False
blinker,ブリンカー,code,3,4126,72.24,1.77,70.23,False
da_tekisei_code,ダ適性,code,3,23254,76.38,5.52,70.14,False
umakigo_code,馬記号,code,3,29436,72.05,1.86,69.95,False
nyukyu_nannichimae,入厩何日前,numeric,30,12515,72.08,6.19,69.86,False
pace_shisu_juni,ペース指数順位,numeric,16,29451,71.82,5.22,69.26,False
kyusha_hyoka_code,厩舎評価,code,4,29451,78.15,9.12,69.21,False
ls_shisu_juni,LS指数順位,numeric,9,29422,72.98,5.95,69.1,False
idm,IDM指数,numeric,56,19659,72.02,11.79,68.94,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,29451,74.35,11.76,68.59,False
kyori_tekisei,距離適性,code,6,28819,75.66,8.86,68.57,False
rotation,ローテーション,numeric,22,25867,71.74,8.11,68.35,False
gekiso_juni,激走順位,numeric,16,29451,71.15,6.67,67.89,False
joshodo_code,上昇度,code,3,29140,71.02,3.01,67.62,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,52,15171,71.45,14.61,67.48,False
tenkai_kigo_code,展開記号,code,5,29451,74.27,8.28,67.01,False
class_code,クラスコード,code,13,26338,72.25,10.49,66.55,False
agari_shisu_juni,上がり指数順位,numeric,16,29451,70.18,7.68,66.41,False
kyori_tekisei_2,距離適性2,code,3,3584,71.66,4.72,66.32,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,63,20668,69.28,12.55,66.18,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,58,16728,68.84,14.33,65.15,False
sogo_shisu,総合指数,numeric,21,2311,70.76,15.15,64.28,False
chokyo_shisu,調教指数,numeric,54,9718,68.01,14.55,64.13,False
ninki_shisu,人気指数,numeric,74,10241,62.26,16.82,58.42,False
kyuyo_riyu_bunrui_code,休養理由,code,4,5417,64.16,9.86,54.5,False
shiba_tekisei_code,芝適性,code,3,16233,64.98,9.51,54.23,False
kishu_minarai_code,騎手見習,code,4,3638,67.38,13.5,54.15,False
