table_name,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_comment
jrd_bac,keibajo_code,1,character varying,2,NO,
jrd_bac,race_shikonen,2,character varying,6,NO,
jrd_bac,kaisai_kai,3,character varying,1,NO,
jrd_bac,kaisai_nichime,4,character varying,1,NO,
jrd_bac,race_bango,5,character varying,2,NO,
jrd_bac,kaisai_nen,6,character varying,4,YES,
jrd_bac,kaisai_tsukihi,7,character varying,4,YES,
jrd_bac,hasso_jikoku,8,character varying,4,YES,
jrd_bac,kyori,9,character varying,4,YES,
jrd_bac,track_code,10,character varying,3,YES,
jrd_bac,kyoso_shubetsu_code,11,character varying,2,YES,
jrd_bac,kyoso_joken_code,12,character varying,2,YES,
jrd_bac,kyoso_kigo_code,13,character varying,3,YES,
jrd_bac,juryo_shubetsu_code,14,character varying,1,YES,
jrd_bac,grade_code,15,character varying,1,YES,
jrd_bac,kyosomei,16,character varying,50,YES,
jrd_bac,jusho_kaiji,17,character varying,8,YES,
jrd_bac,toroku_tosu,18,character varying,2,YES,
jrd_bac,course_kubun,19,character varying,1,YES,
jrd_bac,kaisai_kubun,20,character varying,1,YES,
jrd_bac,kyosomei_ryakusho_4,21,character varying,8,YES,
jrd_bac,kyosomei_ryakusho_9,22,character varying,18,YES,
jrd_bac,data_kubun,23,character varying,1,YES,
jrd_bac,honshokin,24,character varying,25,YES,
jrd_bac,fukashokin,25,character varying,10,YES,
jrd_bac,baken_hatsubai_flag,26,character varying,16,YES,
jrd_bac,win5_flag,27,character varying,1,YES,
jrd_bac,yobi_1,28,character varying,5,YES,
jrd_bac_fixed,jrdb_race_key8,1,character varying,255,NO,
jrd_bac_fixed,race_shikonen,2,character varying,255,YES,
jrd_bac_fixed,keibajo_code,3,character varying,255,YES,
jrd_bac_fixed,kaisai_kai,4,character varying,255,YES,
jrd_bac_fixed,kaisai_nichime,5,character varying,255,YES,
jrd_bac_fixed,kaisai_nen_2,6,character varying,255,YES,
jrd_bac_fixed,race_bango,7,character varying,255,YES,
jrd_bac_fixed,basho_code,8,character varying,255,YES,
jrd_bac_fixed,year,9,character varying,255,YES,
jrd_bac_fixed,kai,10,character varying,255,YES,
jrd_bac_fixed,nichi,11,character varying,255,YES,
jrd_bac_fixed,race_num,12,character varying,255,YES,
jrd_bac_fixed,nengappi,13,character varying,255,YES,
jrd_bac_fixed,kyori,14,character varying,255,YES,
jrd_bac_fixed,shiba_da_shogai_code,15,character varying,255,YES,
jrd_bac_fixed,migi_hidari,16,character varying,255,YES,
jrd_bac_fixed,uchi_soto,17,character varying,255,YES,
jrd_bac_fixed,shubetsu,18,character varying,255,YES,
jrd_bac_fixed,jouken,19,character varying,255,YES,
jrd_bac_fixed,juryo_shubetsu_code,20,character varying,255,YES,
jrd_bac_fixed,grade,21,character varying,255,YES,
jrd_bac_fixed,tosu,22,character varying,255,YES,
jrd_bac_fixed,course,23,character varying,255,YES,
jrd_bac_fixed,kaisai_kubun,24,character varying,255,YES,
jrd_cha,keibajo_code,1,character varying,2,NO,競馬場コード
jrd_cha,race_shikonen,2,character varying,6,NO,レース施行年
jrd_cha,kaisai_kai,3,character varying,1,NO,開催回[第N回]
jrd_cha,kaisai_nichime,4,character varying,1,NO,開催日目[N日目]
jrd_cha,race_bango,5,character varying,2,NO,レース番号
jrd_cha,umaban,6,character varying,2,NO,馬番
jrd_cha,yobi_1,7,character varying,2,YES,曜日
jrd_cha,chokyo_nengappi,8,character varying,8,YES,調教年月日
jrd_cha,kaisu,9,character varying,1,YES,回数
jrd_cha,chokyo_corse_code,10,character varying,2,YES,調教コースコード
jrd_cha,oikiri_shurui,11,character varying,1,YES,追切種類
jrd_cha,oi_jotai,12,character varying,2,YES,追い状態
jrd_cha,noriyaku,13,character varying,1,YES,乗り役
jrd_cha,chokyo_f,14,character varying,1,YES,調教F
jrd_cha,ten_f,15,character varying,3,YES,テンF
jrd_cha,chukan_f,16,character varying,3,YES,中間F
jrd_cha,shimai_f,17,character varying,3,YES,終いF
jrd_cha,ten_f_shisu,18,character varying,3,YES,テンF指数
jrd_cha,chukan_f_shisu,19,character varying,3,YES,中間F指数
jrd_cha,shimai_f_shisu,20,character varying,3,YES,終いF指数
jrd_cha,oikiri_shisu,21,character varying,3,YES,追切指数
jrd_cha,awase_kekka,22,character varying,1,YES,併せ結果
jrd_cha,oikiri_shurui_aiteuma,23,character varying,1,YES,追切種類(相手馬)
jrd_cha,barei,24,character varying,2,YES,馬齢
jrd_cha,class_code,25,character varying,2,YES,クラスコード
jrd_cha,yobi_2,26,character varying,7,YES,予備
jrd_cyb,keibajo_code,1,character varying,2,NO,競馬場コード
jrd_cyb,race_shikonen,2,character varying,10,NO,レース施行年
jrd_cyb,kaisai_kai,3,character varying,1,NO,開催回[第N回]
jrd_cyb,kaisai_nichime,4,character varying,1,NO,開催日目[N日目]
jrd_cyb,race_bango,5,character varying,2,NO,レース番号
jrd_cyb,umaban,6,character varying,2,NO,馬番
jrd_cyb,chokyo_type,7,character varying,2,YES,調教タイプコード
jrd_cyb,chokyo_corse_shubetsu,8,character varying,1,YES,調教コース種別コード
jrd_cyb,chokyo_corse_hanro,9,character varying,2,YES,坂路
jrd_cyb,chokyo_corse_wood,10,character varying,2,YES,ウッドコース
jrd_cyb,chokyo_corse_dirt,11,character varying,2,YES,ダートコース
jrd_cyb,chokyo_corse_shiba,12,character varying,2,YES,芝コース
jrd_cyb,chokyo_corse_pool,13,character varying,2,YES,プール調教
jrd_cyb,chokyo_corse_shogai,14,character varying,2,YES,障害練習
jrd_cyb,chokyo_corse_polytrack,15,character varying,2,YES,ポリトラック
jrd_cyb,chokyo_kyori,16,character varying,1,YES,調教距離
jrd_cyb,chokyo_juten,17,character varying,1,YES,調教重点
jrd_cyb,oikiri_shisu,18,character varying,3,YES,追切指数
jrd_cyb,shiage_shisu,19,character varying,3,YES,仕上指数
jrd_cyb,chokyo_ryo_hyoka,20,character varying,1,YES,調教量評価
jrd_cyb,shiage_shisu_henka,21,character varying,1,YES,仕上指数変化
jrd_cyb,chokyo_comment,22,character varying,40,YES,調教コメント
jrd_cyb,comment_nengappi,23,character varying,8,YES,コメント年月日
jrd_cyb,chokyo_hyoka,24,character varying,1,YES,調教評価
jrd_cyb,oikiri_shisu_isshumae,25,character varying,3,YES,追切指数(一週前)
jrd_cyb,oikiri_corse_isshumae,26,character varying,2,YES,追切コース(一週前)
jrd_cyb,yobi_1,27,character varying,3,YES,予備
jrd_cyb_fixed,jrdb_race_key8,1,character varying,255,NO,
jrd_cyb_fixed,race_shikonen,2,character varying,255,YES,
jrd_cyb_fixed,keibajo_code,3,character varying,255,YES,
jrd_cyb_fixed,kaisai_kai,4,character varying,255,YES,
jrd_cyb_fixed,kaisai_nichime,5,character varying,255,YES,
jrd_cyb_fixed,kaisai_nen_2,6,character varying,255,YES,
jrd_cyb_fixed,race_bango,7,character varying,255,YES,
jrd_cyb_fixed,umaban,8,character varying,255,NO,
jrd_cyb_fixed,basho_code,9,character varying,255,YES,
jrd_cyb_fixed,year,10,character varying,255,YES,
jrd_cyb_fixed,kai,11,character varying,255,YES,
jrd_cyb_fixed,nichi,12,character varying,255,YES,
jrd_cyb_fixed,race_num,13,character varying,255,YES,
jrd_cyb_fixed,chokyo_type,14,character varying,255,YES,
jrd_cyb_fixed,oikiri_shisu,15,character varying,255,YES,
jrd_cyb_fixed,shiage_shisu,16,character varying,255,YES,
jrd_cyb_fixed,chokyo_ryo_hyoka,17,character varying,255,YES,
jrd_cyb_fixed,shiage_shisu_henka,18,character varying,255,YES,
jrd_cyb_fixed,chokyo_hyoka,19,character varying,255,YES,
jrd_cza,chokyoshi_code,1,character varying,5,NO,調教師コード
jrd_cza,massho_kubun,2,character varying,1,YES,抹消区分
jrd_cza,massho_nengappi,3,character varying,8,YES,抹消年月日
jrd_cza,chokyoshimei,4,character varying,12,YES,調教師名
jrd_cza,chokyoshi_kana,5,character varying,30,YES,調教師カナ
jrd_cza,chokyoshimei_ryakusho,6,character varying,6,YES,調教師名略称
jrd_cza,shozoku_code,7,character varying,1,YES,所属コード
jrd_cza,shozoku_chiikimei,8,character varying,4,YES,所属地域名
jrd_cza,seinengappi,9,character varying,8,YES,生年月日
jrd_cza,menkyo_kofu_nen,10,character varying,4,YES,免許交付年
jrd_cza,chokyoshi_comment,11,character varying,40,YES,調教師コメント
jrd_cza,comment_nyuryoku_nengappi,12,character varying,8,YES,コメント入力年月日
jrd_cza,seiseki_joho_1,13,character varying,33,YES,本年･前年成績情報
jrd_cza,seiseki_joho_2,14,character varying,33,YES,本年･前年成績情報
jrd_cza,tsusan_heichi,15,character varying,20,YES,通算平地･着回数
jrd_cza,tsusan_shogai,16,character varying,20,YES,通算障害･着回数
jrd_cza,data_sakusei_nengappi,17,character varying,8,YES,データ作成年月日
jrd_cza,yobi_1,18,character varying,29,YES,予備
jrd_joa,keibajo_code,1,character varying,2,NO,競馬場コード
jrd_joa,race_shikonen,2,character varying,10,NO,レース施行年
jrd_joa,kaisai_kai,3,character varying,1,NO,開催回[第N回]
jrd_joa,kaisai_nichime,4,character varying,1,NO,開催日目[N日目]
jrd_joa,race_bango,5,character varying,2,NO,レース番号
jrd_joa,umaban,6,character varying,2,NO,馬番
jrd_joa,ketto_toroku_bango,7,character varying,8,YES,血統登録番号
jrd_joa,bamei,8,character varying,36,YES,馬名
jrd_joa,kijun_odds_tansho,9,character varying,5,YES,基準オッズ単勝
jrd_joa,kijun_odds_fukusho,10,character varying,5,YES,基準オッズ複勝
jrd_joa,cid_chokyo_soten,11,character varying,5,YES,CID調教素点
jrd_joa,cid_kyusha_soten,12,character varying,5,YES,CID厩舎素点
jrd_joa,cid_soten,13,character varying,5,YES,CID素点
jrd_joa,cid,14,character varying,3,YES,CID
jrd_joa,ls_shisu,15,character varying,5,YES,LS指数
jrd_joa,ls_hyoka,16,character varying,1,YES,LS評価
jrd_joa,em,17,character varying,1,YES,EM
jrd_joa,kyusha_bb_shirushi,18,character varying,1,YES,厩舎BB印
jrd_joa,kyusha_bb_nijumaru_tansho_kaishuritsu,19,character varying,5,YES,厩舎BB◎単勝回収率
jrd_joa,kyusha_bb_nijumaru_rentai_ritsu,20,character varying,5,YES,厩舎BB◎連対率
jrd_joa,kishu_bb_shirushi,21,character varying,1,YES,騎手BB印
jrd_joa,kishu_bb_nijumaru_tansho_kaishuritsu,22,character varying,5,YES,騎手BB◎単勝回収率
jrd_joa,kishu_bb_nijumaru_rentai_ritsu,23,character varying,5,YES,騎手BB◎連対率
jrd_joa,yobi_1,24,character varying,3,YES,予備
jrd_joa_fixed,jrdb_race_key8,1,character varying,255,NO,
jrd_joa_fixed,race_shikonen,2,character varying,255,YES,
jrd_joa_fixed,keibajo_code,3,character varying,255,YES,
jrd_joa_fixed,kaisai_kai,4,character varying,255,YES,
jrd_joa_fixed,kaisai_nichime,5,character varying,255,YES,
jrd_joa_fixed,kaisai_nen_2,6,character varying,255,YES,
