segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
COURSE_27_09_ダ_中距離,joken_class_code+joho_shisu,joken_class_code,joho_shisu,18,5931,67.16,6.71,64.06,False
COURSE_27_09_ダ_中距離,joho_shisu+tenkai_kigo_code,joho_shisu,tenkai_kigo_code,28,7229,68.36,11.72,64.02,False
COURSE_27_09_ダ_中距離,uma_start_shisu+ls_shisu_juni,uma_start_shisu,ls_shisu_juni,22,7357,68.21,10.12,63.98,False
COURSE_27_09_ダ_中距離,kishu_shisu+class_code,kishu_shisu,class_code,30,5536,68.86,14.01,63.85,False
COURSE_27_09_ダ_中距離,gekiso_juni+kyori_tekisei,gekiso_juni,kyori_tekisei,35,11610,67.63,11.47,63.83,False
COURSE_27_09_ダ_中距離,kishu_kitai_tansho_ritsu+kishu_kitai_sanchakunai_ritsu,kishu_kitai_tansho_ritsu,kishu_kitai_sanchakunai_ritsu,21,4005,70.02,14.46,63.83,False
COURSE_27_09_ダ_中距離,joshodo_code+ls_shisu_juni,joshodo_code,ls_shisu_juni,12,12312,69.37,9.86,63.78,False
COURSE_27_09_ダ_中距離,kishu_shisu+hizume_code,kishu_shisu,hizume_code,30,5418,68.58,13.44,63.77,False
COURSE_27_09_ダ_中距離,manken_shisu+ls_shisu_juni,manken_shisu,ls_shisu_juni,26,3510,68.2,11.6,63.74,False
COURSE_27_09_ダ_中距離,idm+tenkai_kigo_code,idm,tenkai_kigo_code,33,4269,68.26,13.31,63.72,False
COURSE_27_09_ダ_中距離,pace_yoso+kishu_minarai_code,pace_yoso,kishu_minarai_code,6,1493,71.11,9.34,63.64,False
COURSE_27_09_ダ_中距離,agari_shisu_juni+kakutoku_shokin_ruikei,agari_shisu_juni,kakutoku_shokin_ruikei,13,2433,67.95,7.95,63.63,False
COURSE_27_09_ダ_中距離,kishu_shisu+kakutoku_shokin_ruikei,kishu_shisu,kakutoku_shokin_ruikei,8,1868,75.1,16.59,63.61,False
COURSE_27_09_ダ_中距離,gekiso_juni+kyuyo_riyu_bunrui_code,gekiso_juni,kyuyo_riyu_bunrui_code,10,1622,72.14,13.78,63.6,False
COURSE_27_09_ダ_中距離,kyusha_hyoka_code+kyori_tekisei,kyusha_hyoka_code,kyori_tekisei,7,12784,70.66,9.66,63.51,False
COURSE_27_09_ダ_中距離,ichi_shisu+uma_start_shisu,ichi_shisu,uma_start_shisu,4,443,69.32,5.93,63.5,False
COURSE_27_09_ダ_中距離,uma_start_shisu+kijun_ninkijun_tansho,uma_start_shisu,kijun_ninkijun_tansho,15,4705,70.53,13.92,63.49,False
COURSE_27_09_ダ_中距離,class_code+kyuyo_riyu_bunrui_code,class_code,kyuyo_riyu_bunrui_code,5,1635,74.59,12.67,63.49,False
COURSE_27_09_ダ_中距離,kishu_kitai_sanchakunai_ritsu+kishu_kitai_rentai_ritsu,kishu_kitai_sanchakunai_ritsu,kishu_kitai_rentai_ritsu,21,3772,69.87,15.15,63.39,False
COURSE_27_09_ダ_中距離,omo_tekisei_code+kyori_tekisei,omo_tekisei_code,kyori_tekisei,11,11800,68.57,8.77,63.39,False
COURSE_27_09_ダ_中距離,pace_yoso+pace_shisu,pace_yoso,pace_shisu,4,840,69.61,6.42,63.32,False
COURSE_27_09_ダ_中距離,pace_yoso+kishu_kitai_rentai_ritsu,pace_yoso,kishu_kitai_rentai_ritsu,20,3549,70.24,15.91,63.26,False
COURSE_27_09_ダ_中距離,idm+class_code,idm,class_code,23,2831,69.79,16.21,63.17,False
COURSE_27_09_ダ_中距離,uma_deokure_ritsu+ichi_shisu,uma_deokure_ritsu,ichi_shisu,4,460,68.07,5.23,62.94,False
COURSE_27_09_ダ_中距離,kishu_kitai_tansho_ritsu+kishu_kitai_rentai_ritsu,kishu_kitai_tansho_ritsu,kishu_kitai_rentai_ritsu,15,4057,69.29,12.79,62.82,False
COURSE_27_09_ダ_中距離,pace_yoso+kishu_kitai_sanchakunai_ritsu,pace_yoso,kishu_kitai_sanchakunai_ritsu,18,2671,69.5,14.6,62.76,False
