segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_01_芝,ichi_shisu+joshodo_code+umakigo_code,ichi_shisu,joshodo_code,umakigo_code,8,1749,80.85,11.07,73.18,False
KEIBAJO_SURFACE_01_芝,manken_shirushi+uma_start_shisu+joshodo_code,manken_shirushi,uma_start_shisu,joshodo_code,8,1669,79.08,8.57,73.14,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+manken_shirushi+joshodo_code,kyori_kubun,manken_shirushi,joshodo_code,23,4881,76.35,7.91,73.12,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyakushitsu+uma_deokure_ritsu,kyori_kubun,kyakushitsu,uma_deokure_ritsu,11,2702,76.28,5.36,73.11,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+kyori_tekisei+pace_shisu_juni,kyori_kubun,kyori_tekisei,pace_shisu_juni,25,3435,76.69,9.13,73.11,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyori_tekisei_2+joshodo_code,pace_yoso,kyori_tekisei_2,joshodo_code,6,1615,78.88,7.22,73.1,False
KEIBAJO_SURFACE_01_芝,joken_class_code+uma_deokure_ritsu+umakigo_code,joken_class_code,uma_deokure_ritsu,umakigo_code,13,3934,76.74,6.87,73.01,False
KEIBAJO_SURFACE_01_芝,pace_yoso+kyori_tekisei_2+umakigo_code,pace_yoso,kyori_tekisei_2,umakigo_code,6,1559,79.22,7.87,72.93,False
KEIBAJO_SURFACE_01_芝,kyori_kubun+uma_start_shisu+kyakushitsu,kyori_kubun,uma_start_shisu,kyakushitsu,15,2990,76.76,7.59,72.92,False
KEIBAJO_SURFACE_01_芝,pace_yoso+joken_class_code+uma_deokure_ritsu,pace_yoso,joken_class_code,uma_deokure_ritsu,10,2827,75.77,4.61,72.91,False
