phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
3,COURSE_27_06_ダ_短距離,da_tekisei_code+gekiso_juni+kijun_ninkijun_tansho,2|1.0|1,318,318,39.94,87.01,85.24,318,75.47,93.96,99.01,80.87,87.99
3,COURSE_27_06_ダ_短距離,da_tekisei_code+pace_shisu_juni+ten_shisu_juni,2|1.0|1.0,293,293,22.87,110.99,96.28,293,48.12,91.43,96.61,81.4,88.73
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+uma_deokure_ritsu+kyakushitsu,2|0.0|2,319,319,15.67,64.95,101.56,319,39.81,87.12,95.67,81.56,88.66
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,2|M|00,444,444,22.3,72.95,78.48,444,56.76,86.8,94.63,85.08,88.56
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+da_tekisei_code,2|00|2,440,440,25.0,77.27,80.52,440,58.64,83.41,94.2,82.05,88.19
3,KEIBAJO_SURFACE_09_ダ_条件戦,omo_tekisei_code+kijun_ninkijun_tansho+gekiso_juni,2|1|1.0,292,292,40.41,77.74,79.11,292,76.37,88.73,93.87,86.55,90.33
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyakushitsu,2|00|2,423,423,21.28,65.79,74.7,423,55.32,84.44,93.77,84.66,88.97
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu,2|2|0.0,393,393,13.23,65.37,88.64,393,39.19,91.48,92.91,88.31,90.53
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+da_tekisei_code,2|中距離|2,324,324,24.07,79.97,83.6,324,55.56,81.98,92.28,80.09,88.31
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+uma_start_shisu,2|00|0.0,326,326,20.55,80.12,79.41,326,50.31,88.47,91.46,92.71,92.81
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu,2|5|2,419,419,21.96,67.59,76.26,419,54.65,81.72,91.38,80.69,86.24
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,2|00|2,558,558,20.61,72.49,77.91,558,51.61,82.37,90.9,85.06,89.11
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,2|マイル|00,331,331,22.05,67.07,72.82,331,56.19,79.79,90.9,83.65,88.11
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|マイル|5,333,333,22.22,67.42,71.85,333,56.76,78.23,90.66,82.95,87.92
3,COURSE_27_06_ダ_短距離,pace_shisu_juni+uma_deokure_ritsu+ten_shisu_juni,1.0|0.0|1.0,286,286,19.23,82.8,88.52,286,43.71,84.37,90.49,80.5,86.81
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu,2|5|3,361,361,16.34,50.89,57.78,361,53.74,87.76,90.14,80.69,86.24
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyakushitsu,2|00|3,379,379,16.09,51.29,58.71,379,52.77,87.44,90.08,84.66,88.97
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,2|00|5,1017,1017,20.65,69.57,74.1,1017,52.51,83.32,89.6,80.28,86.29
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|2,538,538,21.56,75.61,78.58,538,52.04,81.41,89.41,81.37,86.49
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun,2|M|中距離,283,283,21.55,72.12,77.57,283,53.36,82.9,89.35,81.15,87.24
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,5|1|2,397,397,20.65,70.1,76.46,397,51.13,88.04,89.27,81.37,86.49
3,KEIBAJO_SURFACE_09_ダ_条件戦,omo_tekisei_code+pace_shisu_juni+ten_shisu_juni,2|1.0|1.0,296,296,19.93,75.78,75.66,296,52.36,92.67,89.24,87.13,90.82
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,2|中距離|00,686,686,19.24,67.08,73.79,686,50.44,82.81,89.23,83.65,88.11
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+uma_deokure_ritsu,2|マイル|0.0,356,356,15.17,63.62,89.16,356,38.2,83.65,89.16,81.86,87.04
3,GLOBAL_条件戦,kyori_tekisei_2+uma_deokure_ritsu+kyori_tekisei,2|0.0|5,421,421,21.62,75.25,72.53,421,53.44,83.87,89.12,83.88,87.99
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+omo_tekisei_code,2|H|2,293,293,20.14,72.46,80.09,293,48.46,82.05,89.03,81.15,86.69
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,5|短距離|1,396,396,24.24,67.55,81.2,396,53.54,84.14,88.74,82.95,87.92
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+kyori_kubun,2|H|中距離,355,355,17.18,61.86,72.52,355,47.61,81.49,88.73,81.15,87.24
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+joshodo_code+omo_tekisei_code,2|3|2,356,356,17.98,67.81,69.63,356,50.0,81.66,88.71,84.61,88.74
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+omo_tekisei_code,2|中距離|2,354,354,19.49,69.38,76.63,354,49.15,80.17,88.55,81.3,86.53
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|2,340,340,19.41,74.38,73.76,340,50.59,82.97,88.45,83.92,89.21
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+kyori_tekisei,2|中距離|5,651,651,19.82,67.54,73.78,651,51.0,83.7,88.35,82.95,87.92
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+umakigo_code,2|H|00,552,552,17.93,62.34,69.95,552,48.73,81.05,87.69,85.08,88.56
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code,5|短距離|00,395,395,22.78,62.46,78.75,395,51.9,84.25,87.57,83.65,88.11
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+omo_tekisei_code,2|5|3,365,365,15.89,54.11,60.95,365,49.32,84.82,87.11,81.37,86.49
3,COURSE_27_06_ダ_短距離,manken_shirushi+da_tekisei_code+gekiso_juni,1|2|1.0,334,334,21.86,79.61,94.85,334,42.51,75.93,87.06,81.65,88.24
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+omo_tekisei_code,2|00|3,381,381,16.01,56.35,62.95,381,48.56,84.17,86.93,85.06,89.11
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_tekisei+joshodo_code,2|5|3,608,608,16.94,62.02,66.65,608,48.68,82.6,86.68,82.35,86.71
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+kyori_tekisei,5|00|1,697,697,20.95,78.46,79.0,697,49.64,82.98,86.59,80.28,86.29
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+omo_tekisei_code,5|H|2,280,280,18.93,73.54,76.67,280,47.14,80.75,86.32,81.15,86.69
3,GLOBAL_条件戦,kyori_tekisei_2+pace_yoso+da_tekisei_code,5|H|2,308,308,24.35,73.05,83.04,308,52.6,80.55,86.13,83.4,90.25
3,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+uma_deokure_ritsu+uma_start_shisu,2|0.0|0.0,301,301,13.95,68.6,86.05,301,37.54,85.22,86.1,83.3,91.62
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+pace_yoso+joshodo_code,2|H|3,294,294,13.95,59.63,61.55,294,44.56,83.2,85.85,80.63,85.97
3,GLOBAL_条件戦,kyori_tekisei_2+umakigo_code+uma_start_shisu,5|00|0.0,322,322,21.43,106.86,91.45,322,46.89,90.31,85.67,92.71,92.81
3,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei+kyakushitsu,5|1|2,333,333,23.72,80.9,88.18,333,49.85,80.69,85.67,80.69,86.24
3,SURFACE_2_芝_条件戦,kyori_tekisei_2+kyori_kubun+joshodo_code,2|中距離|3,354,354,16.1,60.37,66.14,354,46.61,83.08,85.44,83.04,87.2
3,COURSE_27_05_芝_マイル,hizume_code+uma_deokure_ritsu+kyakushitsu,23|0.0|2,426,426,13.85,72.65,95.73,426,35.21,87.91,85.36,80.28,83.12
