phase,segment,factor_count,total_bins,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,ratio_1_9,ratio_10_99,ratio_100_149,ratio_150_299,ratio_300_499,ratio_500_plus,factors_with_any_1digit_bin,factors_with_any_2digit_bin,factors_with_all_bins_ge_150,factors_with_all_bins_ge_300,factors_with_all_bins_ge_500
4,COURSE_27_北海道O字_芝,1,448,215,230,3,0,0,0,0.4799,0.5134,0.0067,0.0,0.0,0.0,1,1,0,0,0
4,COURSE_27_北海道U字_芝,7,13506,12764,716,13,12,1,0,0.9451,0.053,0.001,0.0009,0.0001,0.0,7,7,0,0,0
4,COURSE_27_右回り平坦O字_ダ,2,14746,14330,410,6,0,0,0,0.9718,0.0278,0.0004,0.0,0.0,0.0,2,2,0,0,0
4,COURSE_27_右回り平坦O字_芝,1,2396,1825,568,2,1,0,0,0.7617,0.2371,0.0008,0.0004,0.0,0.0,1,1,0,0,0
4,COURSE_27_右回り平坦U字_ダ,2,2868,2012,849,7,0,0,0,0.7015,0.296,0.0024,0.0,0.0,0.0,2,2,0,0,0
4,COURSE_27_右回り平坦U字_芝,1,1471,926,542,3,0,0,0,0.6295,0.3685,0.002,0.0,0.0,0.0,1,1,0,0,0
4,COURSE_27_右回り急坂O字_ダ,1,9448,9061,383,4,0,0,0,0.959,0.0405,0.0004,0.0,0.0,0.0,1,1,0,0,0
4,COURSE_27_右回り急坂O字_芝,2,3317,2913,398,6,0,0,0,0.8782,0.12,0.0018,0.0,0.0,0.0,2,2,0,0,0
4,COURSE_27_右回り急坂U字_ダ,5,10349,8551,1751,43,4,0,0,0.8263,0.1692,0.0042,0.0004,0.0,0.0,5,5,0,0,0
4,COURSE_27_左回り平坦O字_ダ,2,2106,1795,304,7,0,0,0,0.8523,0.1443,0.0033,0.0,0.0,0.0,2,2,0,0,0
4,COURSE_27_左回り急坂O字_ダ,2,4556,4324,221,10,1,0,0,0.9491,0.0485,0.0022,0.0002,0.0,0.0,2,2,0,0,0
4,COURSE_27_左回り急坂O字_芝,1,323,196,124,3,0,0,0,0.6068,0.3839,0.0093,0.0,0.0,0.0,1,1,0,0,0
4,COURSE_27_左回り急坂U字_ダ,2,1658,1274,372,11,1,0,0,0.7684,0.2244,0.0066,0.0006,0.0,0.0,2,2,0,0,0
4,COURSE_27_東京U字_ダ,1,1330,879,448,3,0,0,0,0.6609,0.3368,0.0023,0.0,0.0,0.0,1,1,0,0,0
4,COURSE_27_東京U字_芝,6,5676,4794,864,10,6,2,0,0.8446,0.1522,0.0018,0.0011,0.0004,0.0,6,6,0,0,0
4,COURSE_27_特殊A_芝,1,3106,3064,39,3,0,0,0,0.9865,0.0126,0.001,0.0,0.0,0.0,1,1,0,0,0
4,GLOBAL,1,51571,42589,8979,3,0,0,0,0.8258,0.1741,0.0001,0.0,0.0,0.0,1,1,0,0,0
4,GLOBAL_未勝利,1,4907,3508,1396,3,0,0,0,0.7149,0.2845,0.0006,0.0,0.0,0.0,1,1,0,0,0
4,GLOBAL_条件戦,16,3372,2567,723,47,28,6,1,0.7613,0.2144,0.0139,0.0083,0.0018,0.0003,16,16,0,0,0
4,KEIBAJO_SURFACE_01_ダ,1,606,430,172,4,0,0,0,0.7096,0.2838,0.0066,0.0,0.0,0.0,1,1,0,0,0
4,KEIBAJO_SURFACE_02_ダ,6,1659,965,670,22,2,0,0,0.5817,0.4039,0.0133,0.0012,0.0,0.0,6,6,0,0,0
