phase,segment,combo,adoption_level,reason,total_bins,min_bin_n,median_bin_n,eff_min_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,small_headcount_sensitive,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,reviewer_comment
2,COURSE_27_東京O字_芝,rotation_bin+ninki_shisu_decile,reject,too many bins (77); combo splits data too finely,77,1,25.0,1,0.2857,0.6753,0.0,False,False,False,False,22 bins with n<10
2,COURSE_27_東京U字_芝,bataiju+ninki_shisu_decile,reject,too many bins (822); combo splits data too finely,822,1,14.0,1,0.4246,0.5572,0.0,False,False,False,False,349 bins with n<10
2,COURSE_27_特殊A_芝,manken_shirushi+agari_shisu_juni,reject,too many bins (128); combo splits data too finely,128,4,33.5,4,0.1094,0.8672,0.0,True,False,False,False,14 bins with n<10; only 128/162 possible bins observed
2,COURSE_27_特殊A_芝,pace_shisu_juni+kishu_shisu_decile,reject,too many bins (160); combo splits data too finely,160,5,38.5,6,0.0938,0.8812,0.0,True,False,False,False,15 bins with n<10; 34 SHS tail bins excluded from eff. check
2,COURSE_27_特殊A_芝,pace_shisu_juni+ninki_shisu_decile,reject,too many bins (160); combo splits data too finely,160,1,36.5,1,0.1875,0.7812,0.0,True,False,False,False,30 bins with n<10; 31 SHS tail bins excluded from eff. check
2,COURSE_27_特殊B_芝,kishu_kitai_rentai_decile+chokyo_shisu_decile,reject,too many bins (75); combo splits data too finely,75,1,12.0,1,0.4667,0.4933,0.0,False,False,False,False,35 bins with n<10
2,COURSE_27_特殊B_芝,manken_shisu_decile+kyori_tekisei,reject,too many bins (47); combo splits data too finely,47,1,27.0,1,0.2553,0.617,0.0,False,False,False,False,12 bins with n<10
2,COURSE_27_直線_芝,chokyo_shisu_decile+ls_shisu_juni,reject,too many bins (83); combo splits data too finely,83,1,25.0,1,0.241,0.7229,0.0,True,False,False,False,20 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+agari_shisu_juni,reject,too many bins (65); combo splits data too finely,65,1,17.0,1,0.3077,0.5538,0.0,True,False,False,False,20 bins with n<10; only 65/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+bataiju_zogen,reject,too many bins (80); combo splits data too finely,80,1,11.5,1,0.4625,0.4125,0.0,False,False,False,False,37 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+class_code,reject,too many bins (34); combo splits data too finely,34,1,17.0,1,0.3824,0.3824,0.0,False,False,False,False,13 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+da_tekisei_code,reject,"min_bin_n=24 fails 150 threshold (bins_10_99=4, bins_100_149=1)",8,24,117.5,24,0.0,0.5,0.125,False,False,False,False,only 8/25 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+gekiso_juni,reject,too many bins (63); combo splits data too finely,63,1,10.0,1,0.4762,0.4286,0.0,True,False,False,False,30 bins with n<10; only 63/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+hizume_code,reject,too many bins (58); combo splits data too finely,58,1,11.5,1,0.4655,0.4138,0.0,False,False,False,False,27 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+ichi_shisu_juni,reject,too many bins (66); combo splits data too finely,66,1,18.0,1,0.2727,0.6061,0.0,True,False,False,False,18 bins with n<10; only 66/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+idm_decile,reject,too many bins (32); combo splits data too finely,32,1,29.5,1,0.2812,0.4688,0.0,False,False,False,False,9 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+joshodo_code,reject,has 1-digit bins (bins_1_9=6),12,1,10.5,1,0.5,0.1667,0.1667,False,False,False,False,6 bins with n<10; only 12/20 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+keibajo_code,reject,too many bins (40); combo splits data too finely,40,2,50.5,2,0.15,0.625,0.0,False,False,False,False,6 bins with n<10; only 40/50 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+kijun_ninkijun_tansho,reject,too many bins (56); combo splits data too finely,56,1,16.0,1,0.3571,0.5179,0.0,False,False,False,False,20 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+kishu_kitai_rentai_decile,reject,too many bins (38); combo splits data too finely,38,1,26.0,1,0.2105,0.6053,0.0263,False,False,False,False,8 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+kishu_kitai_tansho_decile,reject,too many bins (38); combo splits data too finely,38,1,27.0,1,0.2895,0.5263,0.0263,False,False,False,False,11 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+kishu_minarai_code,reject,has 1-digit bins (bins_1_9=9),24,2,14.0,2,0.375,0.5,0.0833,False,False,False,False,9 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+kishu_shisu_decile,reject,too many bins (38); combo splits data too finely,38,1,26.0,1,0.2368,0.5789,0.0,False,False,False,False,9 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+kyakushitsu,reject,has 1-digit bins (bins_1_9=2),17,1,124.0,1,0.1176,0.3529,0.0,False,False,False,False,2 bins with n<10; only 17/20 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun,reject,has 1-digit bins (bins_1_9=2),15,1,56.0,1,0.1333,0.4,0.0667,False,False,False,False,2 bins with n<10; only 15/25 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+kyori_tekisei,reject,"min_bin_n=10 fails 150 threshold (bins_10_99=5, bins_100_149=1)",10,10,77.0,10,0.0,0.5,0.2,False,False,False,False,only 10/25 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+ls_shisu_juni,reject,too many bins (38); combo splits data too finely,38,1,27.0,1,0.3421,0.3947,0.0,True,False,False,False,13 bins with n<10; only 38/90 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi,reject,too many bins (32); combo splits data too finely,32,7,51.5,7,0.1562,0.5312,0.0,False,False,False,False,5 bins with n<10; only 32/45 possible bins observed
2,GLOBAL_条件戦,kyori_tekisei_2+manken_shisu_decile,reject,too many bins (40); combo splits data too finely,40,2,30.5,2,0.25,0.475,0.0,False,False,False,False,10 bins with n<10
2,GLOBAL_条件戦,kyori_tekisei_2+omo_tekisei_code,reject,"min_bin_n=20 fails 150 threshold (bins_10_99=5, bins_100_149=1)",12,20,152.5,20,0.0,0.4167,0.1667,False,False,False,False,only 12/25 possible bins observed
