segment,n_rows,n_factors,n_pass,best_clb,best_factor
KEIBAJO_SURFACE_06_芝_1勝クラス,2216,28,0,73.46,kyori_tekisei_2
KEIBAJO_SURFACE_06_芝_OP重賞,2754,31,0,74.27,omo_tekisei_code
KEIBAJO_SURFACE_06_芝_新馬,5378,35,0,73.24,pace_yoso
KEIBAJO_SURFACE_06_芝_未勝利,4034,32,0,71.7,kyori_kubun
KEIBAJO_SURFACE_06_芝_条件戦,8337,33,0,74.94,uma_start_shisu_decile
KEIBAJO_SURFACE_07_ダ,21346,42,0,74.7,kyori_tekisei_2
KEIBAJO_SURFACE_07_ダ_1勝クラス,1107,20,0,71.11,tenkai_kigo_code
KEIBAJO_SURFACE_07_ダ_新馬,8487,35,0,73.57,kyori_kubun
KEIBAJO_SURFACE_07_ダ_未勝利,2609,30,0,71.36,rotation_bin
KEIBAJO_SURFACE_07_ダ_条件戦,8251,35,0,74.25,kyori_kubun
KEIBAJO_SURFACE_07_芝,17129,40,0,74.06,manken_shirushi
KEIBAJO_SURFACE_07_芝_1勝クラス,1126,19,0,69.6,bataiju_zogen
KEIBAJO_SURFACE_07_芝_OP重賞,1337,25,0,78.42,pace_shisu_juni
KEIBAJO_SURFACE_07_芝_新馬,5768,36,0,74.1,manken_shirushi
KEIBAJO_SURFACE_07_芝_未勝利,2322,31,0,72.21,omo_tekisei_code
KEIBAJO_SURFACE_07_芝_条件戦,6576,33,0,74.82,bataiju_zogen
KEIBAJO_SURFACE_08_ダ,21508,41,0,73.06,kyori_kubun
KEIBAJO_SURFACE_08_ダ_1勝クラス,1649,28,0,70.98,gekiso_juni
KEIBAJO_SURFACE_08_ダ_OP重賞,1236,21,0,71.62,kyori_kubun
KEIBAJO_SURFACE_08_ダ_新馬,6045,34,0,74.48,manken_shirushi
KEIBAJO_SURFACE_08_ダ_未勝利,3569,33,0,72.27,manken_shirushi
KEIBAJO_SURFACE_08_ダ_条件戦,9009,35,0,74.19,uma_deokure_bin
KEIBAJO_SURFACE_08_芝,17759,40,0,75.5,manken_shirushi
KEIBAJO_SURFACE_08_芝_1勝クラス,1747,28,0,71.25,kyori_kubun
KEIBAJO_SURFACE_08_芝_OP重賞,2175,30,0,73.49,manken_shirushi
KEIBAJO_SURFACE_08_芝_新馬,3700,35,0,73.95,kyori_tekisei
KEIBAJO_SURFACE_08_芝_未勝利,2920,31,0,71.9,kyori_kubun
KEIBAJO_SURFACE_08_芝_条件戦,7217,33,0,75.37,class_code
KEIBAJO_SURFACE_09_ダ,27915,42,0,73.36,kyori_kubun
KEIBAJO_SURFACE_09_ダ_1勝クラス,1986,29,0,71.84,kyori_kubun
KEIBAJO_SURFACE_09_ダ_OP重賞,1391,27,0,78.77,ten_shisu_juni
KEIBAJO_SURFACE_09_ダ_新馬,7843,36,0,72.46,kyuyo_riyu_bunrui_code
KEIBAJO_SURFACE_09_ダ_未勝利,4327,33,0,72.38,kyori_kubun
KEIBAJO_SURFACE_09_ダ_条件戦,12368,35,0,74.65,uma_deokure_bin
KEIBAJO_SURFACE_09_芝,21956,40,0,73.44,kyori_tekisei_2
KEIBAJO_SURFACE_09_芝_1勝クラス,2312,30,0,71.64,kyori_tekisei
KEIBAJO_SURFACE_09_芝_OP重賞,2721,31,0,72.31,hizume_code
KEIBAJO_SURFACE_09_芝_新馬,4951,35,0,75.03,kyori_tekisei_2
KEIBAJO_SURFACE_09_芝_未勝利,3411,33,0,72.27,pace_yoso
KEIBAJO_SURFACE_09_芝_条件戦,8561,33,0,74.89,manken_shirushi
KEIBAJO_SURFACE_10_ダ,10096,39,0,73.37,kyori_kubun
KEIBAJO_SURFACE_10_ダ_新馬,3992,33,0,73.54,kishu_minarai_code
KEIBAJO_SURFACE_10_ダ_未勝利,1323,21,0,72.32,kijun_ninkijun_tansho
KEIBAJO_SURFACE_10_ダ_条件戦,4022,32,0,73.97,pace_yoso
KEIBAJO_SURFACE_10_芝,16948,40,0,72.59,pace_yoso
KEIBAJO_SURFACE_10_芝_新馬,5703,35,0,72.57,kyori_tekisei_2
KEIBAJO_SURFACE_10_芝_未勝利,1773,30,0,70.19,kyori_kubun
KEIBAJO_SURFACE_10_芝_条件戦,8097,35,0,73.81,manken_shirushi
SURFACE_2_ダ,177971,43,0,73.67,manken_shirushi
SURFACE_2_ダ_1勝クラス,10462,37,0,71.64,kyori_kubun
SURFACE_2_ダ_OP重賞,7658,37,0,71.9,kyori_kubun
SURFACE_2_ダ_新馬,57835,40,0,73.82,manken_shirushi
SURFACE_2_ダ_未勝利,25254,40,0,72.35,kyori_tekisei_2
SURFACE_2_ダ_条件戦,76762,38,0,75.57,uma_deokure_bin
SURFACE_2_芝,170977,44,0,74.28,manken_shirushi
SURFACE_2_芝_1勝クラス,12680,37,0,74.19,kyori_tekisei_2
SURFACE_2_芝_OP重賞,15771,39,0,73.23,kyusha_hyoka_code
SURFACE_2_芝_新馬,47181,41,0,73.41,manken_shirushi
SURFACE_2_芝_未勝利,23911,41,0,72.55,kyori_kubun
SURFACE_2_芝_条件戦,71434,38,1,84.49,kyori_tekisei_2
