phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,11.8,81,81,1.23,52.47,31.14,81,17.28,114.94,88.92,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,16.4,85,85,2.35,66.47,43.99,85,20.0,91.06,87.73,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,11.7,120,120,3.33,62.42,85.21,120,15.83,89.92,87.52,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,11.5,105,105,1.9,58.67,55.03,105,15.24,113.81,85.54,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,7.1,187,187,1.6,47.65,53.89,187,10.7,87.49,84.2,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,36.1,85,85,11.76,70.0,80.77,85,36.47,84.12,79.56,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,6.8,89,89,3.37,111.8,103.43,89,10.11,73.82,79.54,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,25.3,51,51,5.88,91.37,66.35,51,27.45,98.24,79.53,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,6.9,81,81,2.47,50.86,98.63,81,9.88,84.2,77.91,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,32.2,94,94,9.57,70.11,81.54,94,31.91,77.23,74.73,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,27.3,57,57,8.77,75.96,90.61,57,26.32,78.07,71.93,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,7.3,98,98,5.1,150.92,154.23,98,9.18,62.24,70.93,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,3.6,57,57,1.75,77.89,87.28,57,5.26,53.33,70.51,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,16.6,91,91,5.49,87.14,101.99,91,16.48,65.05,67.76,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,11.6,116,116,0.0,0.0,0.0,116,12.07,60.34,65.52,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,3.8,66,66,3.03,151.06,123.32,66,4.55,43.48,62.47,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,16.5,58,58,0.0,0.0,0.0,58,15.52,84.31,62.16,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,25.2,65,65,6.15,90.0,66.56,65,18.46,56.31,54.26,76.76,87.53
1,COURSE_27_04_芝_短距離,kishu_kitai_sanchakunai_ritsu,22.4,86,86,4.65,44.53,58.39,86,16.28,46.86,52.53,76.76,87.53
