phase,segment,combo,bin_key,n_horses,tansho_n,tansho_hit_rate,tansho_roi_raw,tansho_roi_corr,fukusho_n,fukusho_hit_rate,fukusho_roi_raw,fukusho_roi_corr,combo_clb,combo_mean_roi
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+kyori_kubun+uma_deokure_ritsu+kyakushitsu,2|マイル|0.0|2,182,182,17.58,70.33,101.8,182,40.11,86.37,94.49,92.5,96.99
4,GLOBAL_条件戦,kyori_tekisei_2+manken_shirushi+umakigo_code+kyori_tekisei,5|2|00|1,131,131,30.53,96.18,96.01,131,58.78,84.35,94.49,87.83,92.13
4,KEIBAJO_SURFACE_09_ダ,manken_shirushi+joken_class_code+hizume_code+kyakushitsu,1|0|10|2,131,131,16.79,77.4,85.75,131,43.51,78.7,94.29,80.97,86.32
4,SURFACE_2_ダ_条件戦,manken_shirushi+keibajo_code+hizume_code+kyakushitsu,1|09|10|2,131,131,16.79,77.4,85.75,131,43.51,78.7,94.29,80.23,85.22
4,COURSE_27_05_芝_中距離,uma_deokure_ritsu+kyakushitsu+shiba_tekisei_code+hizume_code,0.0|2|2|23,169,169,17.75,164.32,98.62,169,45.56,100.89,94.14,80.81,86.74
4,KEIBAJO_SURFACE_06_ダ_条件戦,manken_shirushi+pace_yoso+tenkai_kigo_code+agari_shisu_juni,1|H|2|1.0,140,140,22.14,62.64,84.49,140,49.29,89.5,94.1,93.06,97.61
4,KEIBAJO_SURFACE_07_ダ,kyori_kubun+manken_shirushi+da_tekisei_code+hizume_code,中距離|1|2|22,130,130,13.08,100.62,103.88,130,36.15,97.77,94.09,80.89,84.88
4,SURFACE_2_ダ_条件戦,pace_yoso+manken_shirushi+keibajo_code+hizume_code,M|2|09|10,206,206,16.02,77.04,81.96,206,46.12,93.83,94.02,80.41,83.35
4,COURSE_27_04_芝_短距離,umakigo_code+pace_yoso+kishu_kitai_rentai_ritsu+kishu_shisu,00|H|3.8|0.2,131,131,3.05,100.84,89.78,131,12.21,95.19,93.97,83.62,97.45
4,GLOBAL_条件戦,kyori_tekisei_2+kyori_kubun+umakigo_code+kyori_tekisei,3|長距離|00|2,145,145,27.59,109.31,89.55,145,56.55,93.03,93.73,83.16,88.05
4,COURSE_27_06_芝_中距離,uma_start_shisu+ichi_shisu_juni+uma_deokure_ritsu+kyakushitsu,0.0|2.0|0.0|2,131,131,14.5,72.82,86.01,131,41.98,80.15,93.73,81.08,84.31
4,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2+omo_tekisei_code+kyori_tekisei+uma_deokure_ritsu,2|2|5|0.0,387,387,13.44,66.38,89.56,387,39.53,92.45,93.55,87.14,89.45
