phase,segment,combo,total_bins,existing_bins,possible_bins_if_determinable,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,has_any_1digit_bin,has_any_2digit_bin,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,eff_min_bin_n,eff_all_ge_150,eff_all_ge_300,eff_all_ge_500,n_shs_tail_bins,small_headcount_sensitive,review_note
3,COURSE_27_北海道O字_ダ,manken_shirushi+bataiju_zogen+joshodo_code,269,269,,164,92,13,0,0,0,1,124,21.1,3.0,0.6097,0.342,0.0,True,True,False,False,False,1,False,False,False,0,False,164 bins with n<10
3,COURSE_27_北海道O字_ダ,manken_shirushi+bataiju_zogen+kishu_minarai_code,531,531,,430,98,3,0,0,0,1,109,10.7,3.0,0.8098,0.1846,0.0,True,True,False,False,False,1,False,False,False,0,False,430 bins with n<10
3,COURSE_27_北海道O字_ダ,manken_shirushi+hizume_code+da_tekisei_code,334,334,180.0,212,119,3,0,0,0,1,106,15.7,5.0,0.6347,0.3563,0.0,True,True,False,False,False,1,False,False,False,0,False,212 bins with n<10
3,COURSE_27_北海道O字_ダ,manken_shirushi+joshodo_code+agari_shisu_juni,230,230,648.0,119,106,3,2,0,0,1,166,25.2,4.0,0.5174,0.4609,0.0,True,True,False,False,False,1,False,False,False,0,True,119 bins with n<10; only 230/648 possible bins observed
3,COURSE_27_北海道O字_ダ,manken_shirushi+omo_tekisei_code+kyakushitsu,106,106,180.0,10,92,4,0,0,0,1,114,53.6,57.0,0.0943,0.8679,0.0,True,True,False,False,False,1,False,False,False,0,False,10 bins with n<10; only 106/180 possible bins observed
3,COURSE_27_北海道O字_ダ,manken_shirushi+umakigo_code+agari_shisu_juni,271,271,972.0,161,105,3,2,0,0,1,162,21.5,4.0,0.5941,0.3875,0.0,True,True,False,False,False,1,False,False,False,0,True,161 bins with n<10; only 271/972 possible bins observed
3,COURSE_27_北海道O字_ダ,manken_shisu_decile+gekiso_juni+da_tekisei_code,329,329,,129,195,4,1,0,0,1,230,23.6,15.0,0.3921,0.5927,0.0,True,True,False,False,False,1,False,False,False,0,True,129 bins with n<10
3,COURSE_27_北海道O字_ダ,manken_shisu_decile+kishu_minarai_code+agari_shisu_juni,579,579,,423,148,7,1,0,0,1,167,15.2,5.0,0.7306,0.2556,0.0,True,True,False,False,False,1,False,False,False,0,True,423 bins with n<10
3,COURSE_27_北海道O字_ダ,omo_tekisei_code+hizume_code+bataiju_zogen,780,780,,572,199,8,1,0,0,1,165,11.0,3.0,0.7333,0.2551,0.0,True,True,False,False,False,1,False,False,False,0,False,572 bins with n<10
3,COURSE_27_北海道O字_ダ,pace_yoso+ichi_shisu_juni+pace_shisu_juni,506,506,1620.0,252,251,2,1,0,0,1,208,17.4,10.0,0.498,0.496,0.0,True,True,False,False,False,1,False,False,False,0,True,252 bins with n<10; only 506/1620 possible bins observed
3,COURSE_27_北海道O字_芝,bataiju_zogen+ichi_shisu_juni+umakigo_code,676,676,,503,169,4,0,0,0,1,118,12.0,2.0,0.7441,0.25,0.0,True,True,False,False,False,1,False,False,False,118,True,503 bins with n<10; 118 SHS tail bins excluded from eff. check
3,COURSE_27_北海道O字_芝,manken_shirushi+agari_shisu_juni+tenkai_kigo_code,353,353,972.0,226,118,6,3,0,0,1,158,16.1,6.0,0.6402,0.3343,0.0,True,True,False,False,False,1,False,False,False,0,True,226 bins with n<10; only 353/972 possible bins observed
3,COURSE_27_北海道O字_芝,manken_shirushi+umakigo_code+agari_shisu_juni,295,295,972.0,184,103,7,1,0,0,1,157,19.3,3.0,0.6237,0.3492,0.0,True,True,False,False,False,1,False,False,False,0,True,184 bins with n<10; only 295/972 possible bins observed
3,COURSE_27_北海道U字_ダ,kishu_minarai_code+ichi_shisu_juni+uma_deokure_bin,264,264,,166,95,3,0,0,0,1,120,13.0,5.0,0.6288,0.3598,0.0,True,True,False,False,False,1,False,False,False,0,True,166 bins with n<10
3,COURSE_27_北海道U字_ダ,kishu_minarai_code+kyakushitsu+pace_shisu_juni,247,247,216.0,148,96,3,0,0,0,1,107,14.7,7.0,0.5992,0.3887,0.0,True,True,False,False,False,1,False,False,False,0,True,148 bins with n<10
3,COURSE_27_北海道U字_芝,bataiju_zogen+uma_start_shisu_decile+kyakushitsu,545,545,,356,186,2,1,0,0,1,152,11.7,4.0,0.6532,0.3413,0.0,True,True,False,False,False,1,False,False,False,0,False,356 bins with n<10
3,COURSE_27_北海道U字_芝,bataiju_zogen+uma_start_shisu_decile+omo_tekisei_code,459,459,,294,160,5,0,0,0,1,147,13.6,5.0,0.6405,0.3486,0.0,True,True,False,False,False,1,False,False,False,0,False,294 bins with n<10
3,COURSE_27_北海道U字_芝,joken_class_code+uma_start_shisu_decile+hizume_code,460,460,,278,177,4,1,0,0,1,211,13.6,7.0,0.6043,0.3848,0.0,True,True,False,False,False,1,False,False,False,0,False,278 bins with n<10
3,COURSE_27_北海道U字_芝,kyori_tekisei+uma_start_shisu_decile+gekiso_juni,489,489,,290,196,3,0,0,0,1,145,12.9,7.0,0.593,0.4008,0.0,True,True,False,False,False,1,False,False,False,0,True,290 bins with n<10
3,COURSE_27_北海道U字_芝,pace_yoso+kijun_ninkijun_tansho+kyakushitsu,220,220,,39,177,4,0,0,0,1,127,33.0,29.0,0.1773,0.8045,0.0,True,True,False,False,False,1,False,False,False,0,False,39 bins with n<10
3,COURSE_27_北海道U字_芝,rotation_bin+uma_start_shisu_decile+omo_tekisei_code,189,189,,63,118,4,4,0,0,1,219,33.1,22.0,0.3333,0.6243,0.0,True,True,False,False,False,1,False,False,False,0,False,63 bins with n<10
3,COURSE_27_北海道U字_芝,uma_deokure_bin+gekiso_juni+kyakushitsu,314,314,,123,188,3,0,0,0,1,113,20.2,12.0,0.3917,0.5987,0.0,True,True,False,False,False,1,False,False,False,0,True,123 bins with n<10
3,COURSE_27_北海道U字_芝,uma_start_shisu_decile+kyusha_shisu_decile+kyakushitsu,297,297,,95,199,3,0,0,0,1,124,21.4,16.0,0.3199,0.67,0.0,True,True,False,False,False,1,False,False,False,0,False,95 bins with n<10
3,COURSE_27_右回り平坦O字_ダ,gekiso_juni+bataiju_zogen+kishu_kitai_tansho_decile,2915,2915,,2189,723,3,0,0,0,1,130,7.8,3.0,0.7509,0.248,0.0,True,True,False,False,False,1,False,False,False,616,True,2189 bins with n<10; 616 SHS tail bins excluded from eff. check
3,COURSE_27_右回り平坦O字_ダ,gekiso_juni+bataiju_zogen+kishu_shisu_decile,2939,2939,,2195,741,3,0,0,0,1,131,7.7,3.0,0.7469,0.2521,0.0,True,True,False,False,False,1,False,False,False,619,True,2195 bins with n<10; 619 SHS tail bins excluded from eff. check
3,COURSE_27_右回り平坦O字_ダ,hizume_code+gekiso_juni+kishu_kitai_tansho_decile,2134,2134,,1470,656,6,2,0,0,1,193,10.5,4.0,0.6888,0.3074,0.0,True,True,False,False,False,1,False,False,False,846,True,1470 bins with n<10; 846 SHS tail bins excluded from eff. check
3,COURSE_27_右回り平坦O字_ダ,hizume_code+gekiso_juni+kishu_shisu_decile,2162,2162,,1469,686,5,2,0,0,1,190,10.4,4.0,0.6795,0.3173,0.0,True,True,False,False,False,1,False,False,False,864,True,1469 bins with n<10; 864 SHS tail bins excluded from eff. check
3,COURSE_27_右回り平坦O字_ダ,hizume_code+ichi_shisu_juni+ten_shisu_juni,2902,2902,1296.0,2201,697,2,2,0,0,1,158,7.7,3.0,0.7584,0.2402,0.0,True,True,False,False,False,1,False,False,False,1273,True,2201 bins with n<10; 1273 SHS tail bins excluded from eff. check
3,COURSE_27_右回り平坦O字_ダ,rotation_bin+gekiso_juni+kishu_kitai_tansho_decile,1216,1216,,573,633,8,2,0,0,1,202,18.6,10.0,0.4712,0.5206,0.0,True,True,False,False,False,1,False,False,False,0,True,573 bins with n<10
3,COURSE_27_右回り平坦O字_ダ,rotation_bin+gekiso_juni+kishu_shisu_decile,1220,1220,,547,664,7,2,0,0,1,198,18.5,11.0,0.4484,0.5443,0.0,True,True,False,False,False,1,False,False,False,0,True,547 bins with n<10
