segment,n_rows,p1_factors,n_combos_eval,n_pass,best_clb,best_factors,best_mean_roi
GLOBAL_条件戦,156034,25,2094,109,95.11,kyori_tekisei_2+kyori_tekisei+ten_shisu_juni,97.64
KEIBAJO_SURFACE_01_ダ,6936,25,1268,6,89.06,kyakushitsu+uma_deokure_bin+agari_shisu_juni,93.97
KEIBAJO_SURFACE_01_ダ_新馬,2352,25,301,3,84.0,kyori_tekisei+kyori_kubun+kyusha_shisu_decile,86.53
KEIBAJO_SURFACE_01_ダ_条件戦,3522,25,509,3,84.04,uma_deokure_bin+kishu_minarai_code+agari_shisu_juni,89.53
KEIBAJO_SURFACE_01_芝,9819,25,1401,5,82.35,manken_shirushi+joshodo_code+agari_shisu_juni,87.27
KEIBAJO_SURFACE_01_芝_新馬,2731,25,327,3,94.75,kishu_minarai_code+sogo_shisu_decile+chokyo_shisu_decile,96.78
KEIBAJO_SURFACE_01_芝_未勝利,1451,25,62,0,74.33,ls_shisu_juni+uma_start_shisu_decile+shiba_tekisei_code,83.8
KEIBAJO_SURFACE_01_芝_条件戦,4252,25,610,0,79.39,rotation_bin+kishu_minarai_code+kishu_shisu_decile,86.62
KEIBAJO_SURFACE_02_ダ,5502,25,1168,9,90.67,joken_class_code+kyakushitsu+gekiso_juni,92.29
KEIBAJO_SURFACE_02_ダ_新馬,1967,25,93,0,78.53,omo_tekisei_code+kishu_shisu_decile+kishu_kitai_rentai_decile,85.32
KEIBAJO_SURFACE_02_ダ_条件戦,2770,25,300,2,82.92,kishu_shisu_decile+kijun_ninkijun_tansho+kishu_kitai_rentai_decile,87.66
KEIBAJO_SURFACE_02_芝,8160,25,1190,5,87.38,uma_start_shisu_decile+kyakushitsu+pace_shisu_juni,95.26
KEIBAJO_SURFACE_02_芝_新馬,2267,25,210,1,85.34,ls_shisu_juni+kyori_tekisei+sogo_shisu_decile,88.76
