phase,segment,combo,total_bins,existing_bins,possible_bins_if_determinable,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,has_any_1digit_bin,has_any_2digit_bin,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,eff_min_bin_n,eff_all_ge_150,eff_all_ge_300,eff_all_ge_500,n_shs_tail_bins,small_headcount_sensitive,review_note
1,COURSE_27_東京U字_芝,kyori_tekisei_2,4,4,5.0,1,0,0,0,1,2,8,2666,973.2,609.5,0.25,0.0,0.5,True,False,False,False,False,8,False,False,False,0,False,1 bins with n<10; only 4/5 possible bins observed
1,GLOBAL_条件戦,kyori_tekisei_2,4,4,5.0,0,0,1,1,0,2,127,1132,645.8,662.0,0.0,0.0,0.5,False,False,False,False,False,127,False,False,False,0,False,only 4/5 possible bins observed
1,KEIBAJO_SURFACE_05_芝,kyori_tekisei_2,4,4,5.0,1,0,0,0,0,3,8,2770,1194.8,1000.5,0.25,0.0,0.75,True,False,False,False,False,8,False,False,False,0,False,1 bins with n<10; only 4/5 possible bins observed
1,KEIBAJO_SURFACE_05_芝_新馬,kyori_tekisei_2,4,4,5.0,1,0,0,2,0,1,2,512,213.8,170.5,0.25,0.0,0.25,True,False,False,False,False,2,False,False,False,0,False,1 bins with n<10; only 4/5 possible bins observed
1,KEIBAJO_SURFACE_05_芝_条件戦,uma_deokure_bin,5,5,,1,1,1,0,0,2,8,3053,1250.6,113.0,0.2,0.2,0.4,True,True,False,False,False,8,False,False,False,0,False,1 bins with n<10
1,KEIBAJO_SURFACE_07_芝_OP重賞,pace_shisu_juni,18,18,18.0,0,15,3,0,0,0,16,118,74.3,80.5,0.0,0.8333,0.0,False,True,False,False,False,44,False,False,False,2,True,2 SHS tail bins excluded from eff. check
1,KEIBAJO_SURFACE_08_芝,manken_shirushi,8,8,9.0,0,0,0,0,0,8,965,1667,1422.8,1528.0,0.0,0.0,1.0,False,False,True,True,True,965,True,True,True,0,False,only 8/9 possible bins observed
1,KEIBAJO_SURFACE_08_芝_条件戦,class_code,11,11,,7,1,0,0,1,2,1,3429,417.6,7.0,0.6364,0.0909,0.1818,True,True,False,False,False,1,False,False,False,0,False,7 bins with n<10
1,KEIBAJO_SURFACE_09_ダ_OP重賞,ten_shisu_juni,16,16,18.0,0,12,4,0,0,0,54,107,86.9,88.0,0.0,0.75,0.0,False,True,False,False,False,54,False,False,False,0,True,only 16/18 possible bins observed
1,KEIBAJO_SURFACE_09_芝_新馬,kyori_tekisei_2,4,4,5.0,0,1,1,1,1,0,13,455,201.2,168.5,0.0,0.25,0.0,False,True,False,False,False,13,False,False,False,0,False,only 4/5 possible bins observed
1,SURFACE_2_ダ_条件戦,uma_deokure_bin,5,5,,0,0,0,0,1,4,436,30097,12737.4,2437.0,0.0,0.0,0.8,False,False,True,True,False,436,True,True,False,0,False,ok
1,SURFACE_2_芝_条件戦,kyori_tekisei_2,4,4,5.0,0,1,0,1,1,1,57,656,337.5,318.5,0.0,0.25,0.25,False,True,False,False,False,57,False,False,False,0,False,only 4/5 possible bins observed
