phase,segment,combo,total_bins,bins_1_9,bins_10_99,bins_100plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_bins_1_9,ratio_bins_10_99,ratio_bins_100plus,has_any_1digit_bin,has_any_2digit_bin
2,COURSE_27_左回り急坂U字_ダ,manken_shirushi+agari_shisu_juni,128,1,117,10,9,194,52.1,47.0,0.0078,0.9141,0.0781,True,True
2,COURSE_27_左回り急坂U字_芝,gekiso_juni+ten_shisu_juni,324,53,268,3,2,137,31.7,25.0,0.1636,0.8272,0.0093,True,True
2,COURSE_27_東京O字_ダ,kijun_ninkijun_tansho+rotation,425,312,110,3,1,115,9.5,3.0,0.7341,0.2588,0.0071,True,True
2,COURSE_27_東京U字_芝,nyukyu_nannichimae+kijun_ninkijun_tansho,958,594,361,3,1,114,14.0,5.0,0.62,0.3768,0.0031,True,True
2,COURSE_27_特殊A_芝,manken_shirushi+agari_shisu_juni,128,14,111,3,4,124,34.6,33.5,0.1094,0.8672,0.0234,True,True
2,GLOBAL_未勝利,kyusha_shisu+kijun_ninkijun_tansho,5741,3965,1773,3,1,115,8.7,5.0,0.6906,0.3088,0.0005,True,True
2,GLOBAL_未勝利,ichi_shisu+ten_shisu_juni,3245,1666,1575,4,1,116,15.2,9.0,0.5134,0.4854,0.0012,True,True
2,GLOBAL_未勝利,keibajo_code+ichi_shisu,2214,934,1276,4,1,118,22.2,14.0,0.4219,0.5763,0.0018,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+rotation,108,71,31,6,1,305,23.9,4.0,0.6574,0.287,0.0556,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+uma_start_shisu,100,58,39,3,1,335,25.8,7.0,0.58,0.39,0.03,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+joshodo_code,12,6,2,4,1,1113,215.2,10.5,0.5,0.1667,0.3333,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+gekiso_juni,63,30,27,6,1,408,41.0,10.0,0.4762,0.4286,0.0952,True,True
2,GLOBAL_条件戦,kyori_tekisei_2+hizume_code,58,27,24,7,1,280,44.4,11.5,0.4655,0.4138,0.1207,True,True
