phase,segment,combo,bin_key,n_horses,sample_bucket,is_existing_bin,is_possible_bin_if_determinable,should_count_for_adoption_judgement,note
1,COURSE_27_北海道O字_ダ,uma_deokure_ritsu,0.0,2491,500_plus,True,True,True,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,1.0,8,1_9,True,True,True,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,3.0,325,300_499,True,True,True,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,5.0,894,500_plus,True,True,True,
1,COURSE_27_東京U字_芝,kyori_tekisei_2,2.0,2666,500_plus,True,True,True,
1,GLOBAL,joho_shisu,6.5,1,1_9,True,True,True,
1,GLOBAL,joho_shisu,6.4,1,1_9,True,True,True,
1,GLOBAL,joho_shisu,6.1,2,1_9,True,True,True,
1,GLOBAL,joho_shisu,6.2,5,1_9,True,True,True,
1,GLOBAL,joho_shisu,6.3,9,1_9,True,True,True,
1,GLOBAL,joho_shisu,6.0,13,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.9,37,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.8,49,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.7,55,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.6,71,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.5,93,10_99,True,True,True,
1,GLOBAL,joho_shisu,5.4,111,100_149,True,True,True,
1,GLOBAL,joho_shisu,5.3,148,100_149,True,True,True,
1,GLOBAL,joho_shisu,5.2,175,150_299,True,True,True,
1,GLOBAL,joho_shisu,5.0,280,150_299,True,True,True,
1,GLOBAL,joho_shisu,5.1,351,300_499,True,True,True,
1,GLOBAL,joho_shisu,4.9,434,300_499,True,True,True,
1,GLOBAL,joho_shisu,4.8,546,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.7,632,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.6,804,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.5,1009,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.4,1144,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.3,1389,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.2,1828,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.1,2215,500_plus,True,True,True,
1,GLOBAL,joho_shisu,4.0,2474,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.9,2795,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.8,3188,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.7,3414,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.6,3846,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.5,3962,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.4,4332,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.3,4422,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.2,4852,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.1,4920,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.1,4961,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.4,5007,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.3,5025,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.5,5057,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.6,5123,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.8,5158,500_plus,True,True,True,
1,GLOBAL,joho_shisu,3.0,5165,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.2,5176,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.7,5177,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.9,5264,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.9,5271,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.0,5507,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.8,5513,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.1,5584,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.7,5605,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.6,5732,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.5,5804,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.2,5886,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.4,5892,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.1,5999,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.8,6067,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.4,6100,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.3,6129,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.2,6163,500_plus,True,True,True,
1,GLOBAL,joho_shisu,2.0,6214,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.6,6242,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.7,6263,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.9,6319,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.3,6341,500_plus,True,True,True,
1,GLOBAL,joho_shisu,1.5,6520,500_plus,True,True,True,
1,GLOBAL,joho_shisu,-1.0,34093,500_plus,True,True,True,
1,GLOBAL,joho_shisu,0.0,106910,500_plus,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,59.5,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,59.2,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,43.8,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,53.4,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,50.7,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,51.1,1,1_9,True,True,True,
1,GLOBAL,kishu_kitai_tansho_ritsu,52.3,1,1_9,True,True,True,
