segment,n_rows,n_combos_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_06_ダ_未勝利,4527,59,1,82.34,umakigo_code+omo_tekisei_code+kyakushitsu+rotation,93.55
KEIBAJO_SURFACE_06_ダ_条件戦,14247,808,6,93.06,manken_shirushi+pace_yoso+tenkai_kigo_code+agari_shisu_juni,97.61
KEIBAJO_SURFACE_06_芝,22719,1270,1,80.96,manken_shirushi+kyori_kubun+omo_tekisei_code+class_code,85.81
KEIBAJO_SURFACE_06_芝_1勝クラス,2216,4,1,80.34,kyori_tekisei+omo_tekisei_code+tenkai_kigo_code+kyakushitsu,86.82
KEIBAJO_SURFACE_06_芝_OP重賞,2754,15,0,78.44,kyori_tekisei_2+kyori_tekisei+tenkai_kigo_code+kyakushitsu,88.96
KEIBAJO_SURFACE_06_芝_新馬,5378,55,0,76.42,pace_yoso+kyori_kubun+uma_start_shisu+uma_deokure_ritsu,77.3
KEIBAJO_SURFACE_06_芝_未勝利,4034,73,0,75.79,omo_tekisei_code+uma_start_shisu+kyakushitsu+class_code,78.23
KEIBAJO_SURFACE_06_芝_条件戦,8337,788,0,79.0,manken_shirushi+pace_yoso+uma_deokure_ritsu+uma_start_shisu,85.42
KEIBAJO_SURFACE_07_ダ,21346,815,4,82.55,manken_shirushi+da_tekisei_code+uma_deokure_ritsu+hizume_code,88.78
KEIBAJO_SURFACE_07_ダ_1勝クラス,1107,0,0,,,
KEIBAJO_SURFACE_07_ダ_新馬,8487,694,0,79.27,manken_shirushi+kyusha_hyoka_code+hizume_code+umakigo_code,84.38
KEIBAJO_SURFACE_07_ダ_未勝利,2609,105,0,72.12,kyori_kubun+hizume_code+omo_tekisei_code+class_code,74.74
KEIBAJO_SURFACE_07_ダ_条件戦,8251,657,3,91.3,pace_yoso+manken_shirushi+kyakushitsu+joshodo_code,100.41
KEIBAJO_SURFACE_07_芝,17129,893,8,83.43,omo_tekisei_code+joken_class_code+agari_shisu_juni+uma_deokure_ritsu,85.25
KEIBAJO_SURFACE_07_芝_1勝クラス,1126,0,0,,,
KEIBAJO_SURFACE_07_芝_OP重賞,1337,0,0,,,
KEIBAJO_SURFACE_07_芝_新馬,5768,119,0,75.58,kyori_kubun+uma_start_shisu+omo_tekisei_code+hizume_code,88.59
KEIBAJO_SURFACE_07_芝_未勝利,2322,31,0,72.59,kyori_kubun+kyori_tekisei+shiba_tekisei_code+kyori_tekisei_2,79.45
KEIBAJO_SURFACE_07_芝_条件戦,6576,518,6,82.52,uma_deokure_ritsu+omo_tekisei_code+tenkai_kigo_code+agari_shisu_juni,85.0
