phase,segment,factor_count,total_bins,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,ratio_1_9,ratio_10_99,ratio_100_149,ratio_150_299,ratio_300_499,ratio_500_plus,factors_with_any_1digit_bin,factors_with_any_2digit_bin,factors_with_all_bins_ge_150,factors_with_all_bins_ge_300,factors_with_all_bins_ge_500
1,COURSE_27_東京U字_芝,1,4,1,0,0,0,1,2,0.25,0.0,0.0,0.0,0.25,0.5,1,0,0,0,0
1,GLOBAL_条件戦,1,4,0,0,1,1,0,2,0.0,0.0,0.25,0.25,0.0,0.5,0,0,0,0,0
1,KEIBAJO_SURFACE_05_芝,1,4,1,0,0,0,0,3,0.25,0.0,0.0,0.0,0.0,0.75,1,0,0,0,0
1,KEIBAJO_SURFACE_05_芝_新馬,1,4,1,0,0,2,0,1,0.25,0.0,0.0,0.5,0.0,0.25,1,0,0,0,0
1,KEIBAJO_SURFACE_05_芝_条件戦,1,5,1,1,1,0,0,2,0.2,0.2,0.2,0.0,0.0,0.4,1,1,0,0,0
1,KEIBAJO_SURFACE_07_芝_OP重賞,1,18,0,15,3,0,0,0,0.0,0.8333,0.1667,0.0,0.0,0.0,0,1,0,0,0
1,KEIBAJO_SURFACE_08_芝,1,8,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,0,0,1,1,1
1,KEIBAJO_SURFACE_08_芝_条件戦,1,11,7,1,0,0,1,2,0.6364,0.0909,0.0,0.0,0.0909,0.1818,1,1,0,0,0
1,KEIBAJO_SURFACE_09_ダ_OP重賞,1,16,0,12,4,0,0,0,0.0,0.75,0.25,0.0,0.0,0.0,0,1,0,0,0
1,KEIBAJO_SURFACE_09_芝_新馬,1,4,0,1,1,1,1,0,0.0,0.25,0.25,0.25,0.25,0.0,0,1,0,0,0
1,SURFACE_2_ダ_条件戦,1,5,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.2,0.8,0,0,1,1,0
1,SURFACE_2_芝_条件戦,1,4,0,1,0,1,1,1,0.0,0.25,0.0,0.25,0.25,0.25,0,1,0,0,0
