segment,n_rows,p1_factors,n_pairs_eval,n_pass,best_clb,best_factors,best_mean_roi
KEIBAJO_SURFACE_01_芝,9819,39,677,4,85.85,agari_shisu_juni+gekiso_juni,89.59
KEIBAJO_SURFACE_01_芝_新馬,2731,32,304,1,91.3,kijun_ninkijun_tansho+sogo_shisu_decile,97.61
KEIBAJO_SURFACE_01_芝_未勝利,1451,30,123,0,78.21,kishu_kitai_tansho_decile+idm_decile,87.98
KEIBAJO_SURFACE_01_芝_条件戦,4252,32,380,3,81.46,gekiso_juni+chokyo_shisu_decile,88.78
KEIBAJO_SURFACE_02_ダ,5502,37,560,17,96.59,agari_shisu_juni+chokyo_shisu_decile,103.53
KEIBAJO_SURFACE_02_ダ_新馬,1967,29,194,4,83.14,ninki_shisu_decile+sogo_shisu_decile,90.22
KEIBAJO_SURFACE_02_ダ_条件戦,2770,30,291,8,90.67,kyakushitsu+gekiso_juni,92.29
KEIBAJO_SURFACE_02_芝,8160,38,625,3,85.23,manken_shirushi+agari_shisu_juni,90.11
KEIBAJO_SURFACE_02_芝_新馬,2267,31,269,2,83.76,idm_decile+kyusha_shisu_decile,85.94
KEIBAJO_SURFACE_02_芝_未勝利,1113,20,42,0,72.98,kishu_kitai_rentai_decile+kishu_shisu_decile,81.25
KEIBAJO_SURFACE_02_芝_条件戦,3999,32,360,4,85.52,gekiso_juni+ninki_shisu_decile,92.17
KEIBAJO_SURFACE_03_ダ,10869,39,695,1,80.87,ten_shisu_juni+kijun_ninkijun_tansho,84.86
KEIBAJO_SURFACE_03_ダ_新馬,4520,34,395,0,78.9,uma_start_shisu_decile+hizume_code,82.86
KEIBAJO_SURFACE_03_ダ_未勝利,1219,20,37,0,77.79,omo_tekisei_code+joho_shisu_decile,82.26
KEIBAJO_SURFACE_03_ダ_条件戦,4390,33,368,1,80.72,ichi_shisu_juni+chokyo_shisu_decile,84.38
KEIBAJO_SURFACE_03_芝,14090,40,735,0,79.64,kyori_tekisei_2+kishu_shisu_decile,84.46
KEIBAJO_SURFACE_03_芝_新馬,5405,36,474,0,77.37,ichi_shisu_juni+idm_decile,87.32
KEIBAJO_SURFACE_03_芝_未勝利,1422,29,75,0,74.78,idm_decile+rotation_bin,77.48
KEIBAJO_SURFACE_03_芝_条件戦,6001,34,461,6,87.74,agari_shisu_juni+kishu_shisu_decile,91.29
KEIBAJO_SURFACE_04_ダ,14747,40,738,0,79.16,manken_shirushi+ichi_shisu_juni,83.47
KEIBAJO_SURFACE_04_ダ_新馬,5855,36,490,3,83.1,kishu_kitai_tansho_decile+gekiso_juni,88.53
KEIBAJO_SURFACE_04_ダ_未勝利,1617,27,83,0,76.38,tenkai_kigo_code+agari_shisu_juni,84.99
KEIBAJO_SURFACE_04_ダ_条件戦,6405,33,454,1,81.74,hizume_code+ten_shisu_juni,92.42
KEIBAJO_SURFACE_04_芝,18170,40,746,0,74.62,gekiso_juni+ichi_shisu_juni,77.87
KEIBAJO_SURFACE_04_芝_1勝クラス,1019,17,16,0,71.11,kyori_kubun+tenkai_kigo_code,74.93
KEIBAJO_SURFACE_04_芝_OP重賞,1275,20,49,0,72.84,kyori_kubun+omo_tekisei_code,77.19
KEIBAJO_SURFACE_04_芝_新馬,5932,35,455,1,83.62,gekiso_juni+ninki_shisu_decile,83.92
KEIBAJO_SURFACE_04_芝_未勝利,1802,30,164,0,79.69,kishu_kitai_rentai_decile+idm_decile,83.47
KEIBAJO_SURFACE_04_芝_条件戦,8142,34,500,0,77.76,gekiso_juni+chokyo_shisu_decile,80.61
KEIBAJO_SURFACE_05_ダ,28213,40,760,0,77.04,bataiju+sogo_shisu_decile,81.3
KEIBAJO_SURFACE_05_ダ_1勝クラス,2105,28,160,3,84.41,idm_decile+ten_shisu_juni,91.33
KEIBAJO_SURFACE_05_ダ_OP重賞,1576,26,62,1,82.24,kyori_tekisei+uma_start_shisu_decile,86.86
