phase,segment,combo,total_bins,existing_bins,possible_bins_if_determinable,bins_1_9,bins_10_99,bins_100_149,bins_150_299,bins_300_499,bins_500_plus,min_bin_n,max_bin_n,mean_bin_n,median_bin_n,ratio_1_9,ratio_10_99,ratio_500_plus,has_any_1digit_bin,has_any_2digit_bin,all_existing_bins_ge_150,all_existing_bins_ge_300,all_existing_bins_ge_500,eff_min_bin_n,eff_all_ge_150,eff_all_ge_300,eff_all_ge_500,n_shs_tail_bins,small_headcount_sensitive,review_note
4,COURSE_27_右回り平坦O字_芝,joken_class_code+ten_shisu_juni+shiba_tekisei_code+pace_shisu_juni,2396,2396,11340.0,1825,568,2,1,0,0,1,174,8.0,4.0,0.7617,0.2371,0.0,True,True,False,False,False,1,False,False,False,0,True,1825 bins with n<10; only 2396/11340 possible bins observed
4,COURSE_27_右回り平坦U字_ダ,keibajo_code+joken_class_code+hizume_code+agari_shisu_juni,2231,2231,5040.0,1705,522,4,0,0,0,1,126,7.5,3.0,0.7642,0.234,0.0,True,True,False,False,False,1,False,False,False,0,True,1705 bins with n<10; only 2231/5040 possible bins observed
4,COURSE_27_右回り平坦U字_ダ,omo_tekisei_code+manken_shirushi+joshodo_code+agari_shisu_juni,637,637,3240.0,307,327,3,0,0,0,1,122,16.5,11.0,0.4819,0.5133,0.0,True,True,False,False,False,1,False,False,False,0,True,307 bins with n<10; only 637/3240 possible bins observed
4,COURSE_27_右回り平坦U字_芝,manken_shirushi+pace_yoso+joken_class_code+kijun_ninkijun_tansho,1471,1471,,926,542,3,0,0,0,1,142,11.2,6.0,0.6295,0.3685,0.0,True,True,False,False,False,1,False,False,False,0,False,926 bins with n<10
4,COURSE_27_右回り急坂O字_ダ,hizume_code+omo_tekisei_code+uma_deokure_ritsu+ten_shisu_juni,9448,9448,,9061,383,4,0,0,0,1,130,2.8,1.0,0.959,0.0405,0.0,True,True,False,False,False,1,False,False,False,4897,True,9061 bins with n<10; 4897 SHS tail bins excluded from eff. check
4,COURSE_27_右回り急坂O字_芝,joken_class_code+ichi_shisu_juni+kyakushitsu+uma_start_shisu,3109,3109,,2749,357,3,0,0,0,1,138,5.2,2.0,0.8842,0.1148,0.0,True,True,False,False,False,1,False,False,False,0,True,2749 bins with n<10
4,COURSE_27_右回り急坂O字_芝,manken_shirushi+joken_class_code+joshodo_code+kyuyo_riyu_bunrui_code,208,208,2016.0,164,41,3,0,0,0,1,115,13.9,2.0,0.7885,0.1971,0.0,True,True,False,False,False,1,False,False,False,0,False,164 bins with n<10; only 208/2016 possible bins observed
4,COURSE_27_右回り急坂U字_ダ,manken_shirushi+ichi_shisu_juni+da_tekisei_code+kyori_tekisei,1126,1126,4050.0,690,431,5,0,0,0,1,113,13.1,7.0,0.6128,0.3828,0.0,True,True,False,False,False,1,False,False,False,0,True,690 bins with n<10; only 1126/4050 possible bins observed
4,COURSE_27_右回り急坂U字_ダ,manken_shirushi+joken_class_code+hizume_code+omo_tekisei_code,1305,1305,1260.0,855,440,6,4,0,0,1,183,12.5,5.0,0.6552,0.3372,0.0,True,True,False,False,False,1,False,False,False,0,False,855 bins with n<10
4,COURSE_27_右回り急坂U字_ダ,manken_shirushi+joken_class_code+hizume_code+uma_deokure_ritsu,6129,6129,,5902,221,6,0,0,0,1,132,2.7,1.0,0.963,0.0361,0.0,True,True,False,False,False,1,False,False,False,0,False,5902 bins with n<10
4,COURSE_27_右回り急坂U字_ダ,manken_shirushi+pace_yoso+ichi_shisu_juni+da_tekisei_code,865,865,4050.0,460,395,10,0,0,0,1,120,17.2,8.0,0.5318,0.4566,0.0,True,True,False,False,False,1,False,False,False,0,True,460 bins with n<10; only 865/4050 possible bins observed
4,COURSE_27_右回り急坂U字_ダ,manken_shirushi+umakigo_code+ichi_shisu_juni+da_tekisei_code,924,924,4860.0,644,264,16,0,0,0,1,135,16.1,4.0,0.697,0.2857,0.0,True,True,False,False,False,1,False,False,False,0,True,644 bins with n<10; only 924/4860 possible bins observed
4,COURSE_27_左回り平坦O字_ダ,manken_shirushi+da_tekisei_code+umakigo_code+uma_start_shisu,625,625,,490,132,3,0,0,0,1,125,7.3,2.0,0.784,0.2112,0.0,True,True,False,False,False,1,False,False,False,0,False,490 bins with n<10
4,COURSE_27_左回り平坦O字_ダ,umakigo_code+kyori_tekisei+ichi_shisu_juni+uma_start_shisu,1481,1481,,1305,172,4,0,0,0,1,119,5.0,2.0,0.8812,0.1161,0.0,True,True,False,False,False,1,False,False,False,0,True,1305 bins with n<10
4,COURSE_27_左回り急坂O字_ダ,hizume_code+uma_deokure_ritsu+ten_shisu_juni+umakigo_code,4019,4019,,3903,113,3,0,0,0,1,141,2.4,1.0,0.9711,0.0281,0.0,True,True,False,False,False,1,False,False,False,2054,True,3903 bins with n<10; 2054 SHS tail bins excluded from eff. check
4,COURSE_27_左回り急坂O字_ダ,manken_shirushi+da_tekisei_code+hizume_code+umakigo_code,537,537,1080.0,421,108,7,1,0,0,1,161,10.6,3.0,0.784,0.2011,0.0,True,True,False,False,False,1,False,False,False,0,False,421 bins with n<10; only 537/1080 possible bins observed
4,COURSE_27_左回り急坂O字_芝,omo_tekisei_code+ten_shisu_juni+joshodo_code+kyakushitsu,323,323,1440.0,196,124,3,0,0,0,1,107,19.1,6.0,0.6068,0.3839,0.0,True,True,False,False,False,1,False,False,False,0,True,196 bins with n<10; only 323/1440 possible bins observed
4,COURSE_27_左回り急坂U字_ダ,da_tekisei_code+manken_shirushi+hizume_code+umakigo_code,583,583,1080.0,465,110,8,0,0,0,1,140,9.9,3.0,0.7976,0.1887,0.0,True,True,False,False,False,1,False,False,False,0,False,465 bins with n<10; only 583/1080 possible bins observed
4,COURSE_27_左回り急坂U字_ダ,pace_yoso+umakigo_code+ichi_shisu_juni+pace_shisu_juni,1075,1075,9720.0,809,262,3,1,0,0,1,216,10.3,3.0,0.7526,0.2437,0.0,True,True,False,False,False,1,False,False,False,0,True,809 bins with n<10; only 1075/9720 possible bins observed
4,COURSE_27_東京U字_ダ,manken_shirushi+kishu_shisu+kyori_tekisei+joshodo_code,1330,1330,,879,448,3,0,0,0,1,115,10.9,5.0,0.6609,0.3368,0.0,True,True,False,False,False,1,False,False,False,0,False,879 bins with n<10
4,COURSE_27_東京U字_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu+kyori_tekisei,471,471,,374,94,1,1,1,0,1,383,8.3,3.0,0.7941,0.1996,0.0,True,True,False,False,False,1,False,False,False,0,False,374 bins with n<10
4,COURSE_27_東京U字_芝,kyori_tekisei_2+omo_tekisei_code+uma_deokure_ritsu+shiba_tekisei_code,671,671,,568,100,2,1,0,0,1,253,5.8,2.0,0.8465,0.149,0.0,True,True,False,False,False,1,False,False,False,0,False,568 bins with n<10
