factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
da_tekisei_code,ダ適性,code,3,5256,75.43,0.42,74.96,False
pace_yoso,ペース予想,code,3,6461,74.32,0.32,73.96,False
omo_tekisei_code,重適性,code,3,5930,74.47,0.65,73.73,False
kishu_minarai_code,騎手見習,code,4,1250,80.14,6.73,73.54,False
umakigo_code,馬記号,code,3,6447,73.8,0.71,72.99,False
ls_shisu_juni,LS指数順位,numeric,8,6393,76.83,6.6,72.26,False
joken_class_code,条件クラス,code,5,6461,73.3,1.46,72.02,False
nyukyu_nannichimae,入厩何日前,numeric,14,2649,78.43,13.64,71.28,False
rotation,ローテーション,numeric,15,5325,76.0,9.77,71.05,False
manken_shirushi,万券印,code,8,3896,77.28,9.23,70.88,False
manken_shisu,万券指数,numeric,30,4805,74.28,9.92,70.74,False
kyakushitsu,脚質,code,5,6461,73.27,2.91,70.72,False
ichi_shisu_juni,位置指数順位,numeric,16,6461,74.45,7.63,70.71,False
idm,IDM指数,numeric,21,2632,75.5,11.54,70.56,False
uma_deokure_ritsu,馬出遅率,numeric,13,4307,75.62,9.91,70.24,False
uma_start_shisu,馬スタート指数,numeric,14,5447,73.53,7.36,69.67,False
class_code,クラスコード,code,9,5637,73.41,6.1,69.42,False
kishu_shisu,騎手指数,numeric,19,5757,74.72,12.6,69.06,False
kyori_tekisei,距離適性,code,4,6358,74.44,5.5,69.05,False
hizume_code,蹄コード,code,9,5599,73.41,6.82,68.95,False
ten_shisu_juni,テン指数順位,numeric,16,6461,72.46,7.32,68.88,False
joshodo_code,上昇度,code,3,6381,71.75,2.66,68.74,False
pace_shisu_juni,ペース指数順位,numeric,16,6461,72.49,9.15,68.0,False
agari_shisu_juni,上がり指数順位,numeric,16,6461,71.43,9.16,66.94,False
tenkai_kigo_code,展開記号,code,5,6461,75.04,10.02,66.26,False
gekiso_juni,激走順位,numeric,16,6461,70.53,10.67,65.3,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,12,3132,73.43,15.45,64.7,False
joho_shisu,情報指数,numeric,11,3878,70.59,10.55,64.35,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,15,6374,68.85,9.44,64.07,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,16,2496,71.15,17.83,62.42,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,14,2874,70.62,16.42,62.02,False
kyusha_shisu,厩舎指数,numeric,7,1304,68.69,14.54,57.92,False
chokyo_shisu,調教指数,numeric,6,1307,67.56,26.64,46.25,False
