segment,factors,factor1,factor2,factor3,factor4,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+manken_shirushi+kakutoku_shokin_ruikei,kyori_kubun,kyori_tekisei,manken_shirushi,kakutoku_shokin_ruikei,6,624,80.65,13.62,69.75,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+ls_shisu_juni+omo_tekisei_code,kyori_kubun,kyori_tekisei,ls_shisu_juni,omo_tekisei_code,6,1035,79.97,12.94,69.62,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kyori_tekisei+omo_tekisei_code,pace_yoso,kyori_kubun,kyori_tekisei,omo_tekisei_code,12,2330,74.4,8.5,69.59,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+kyakushitsu+ls_shisu_juni+omo_tekisei_code,kyori_tekisei,kyakushitsu,ls_shisu_juni,omo_tekisei_code,4,606,79.24,9.98,69.46,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+manken_shirushi+kyakushitsu+kakutoku_shokin_ruikei,kyori_tekisei,manken_shirushi,kyakushitsu,kakutoku_shokin_ruikei,8,1082,77.17,11.18,69.43,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+uma_start_shisu+omo_tekisei_code+tenkai_kigo_code,kyori_kubun,uma_start_shisu,omo_tekisei_code,tenkai_kigo_code,5,819,77.3,9.12,69.31,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+manken_shirushi+kakutoku_shokin_ruikei+ichi_shisu_juni,kyori_tekisei,manken_shirushi,kakutoku_shokin_ruikei,ichi_shisu_juni,8,1083,77.2,11.41,69.3,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_tekisei+uma_deokure_ritsu+tenkai_kigo_code,pace_yoso,kyori_tekisei,uma_deokure_ritsu,tenkai_kigo_code,4,736,80.53,11.49,69.27,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+uma_start_shisu+kyakushitsu+omo_tekisei_code,kyori_tekisei,uma_start_shisu,kyakushitsu,omo_tekisei_code,3,518,82.35,11.56,69.26,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+rotation+omo_tekisei_code,kyori_kubun,kyori_tekisei,rotation,omo_tekisei_code,3,378,80.88,10.33,69.19,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_tekisei+ls_shisu_juni+omo_tekisei_code,class_code,kyori_tekisei,ls_shisu_juni,omo_tekisei_code,6,1181,73.93,5.93,69.18,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_kubun+kyori_tekisei+kyakushitsu,class_code,kyori_kubun,kyori_tekisei,kyakushitsu,12,2109,72.94,6.78,69.1,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+omo_tekisei_code+tenkai_kigo_code,pace_yoso,kyori_kubun,omo_tekisei_code,tenkai_kigo_code,9,1909,73.83,7.36,69.02,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,class_code,kyori_tekisei,uma_start_shisu,uma_deokure_ritsu,4,988,74.25,5.56,68.8,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kyori_tekisei+kyakushitsu,pace_yoso,kyori_kubun,kyori_tekisei,kyakushitsu,13,3096,73.64,9.2,68.64,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyakushitsu+uma_deokure_ritsu+omo_tekisei_code,kyori_kubun,kyakushitsu,uma_deokure_ritsu,omo_tekisei_code,9,1651,75.36,10.35,68.6,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+kyakushitsu+uma_deokure_ritsu+omo_tekisei_code,kyori_tekisei,kyakushitsu,uma_deokure_ritsu,omo_tekisei_code,5,966,75.47,7.83,68.6,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+omo_tekisei_code+kishu_shisu,kyori_kubun,kyori_tekisei,omo_tekisei_code,kishu_shisu,3,356,84.07,13.71,68.55,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+pace_yoso+omo_tekisei_code+tenkai_kigo_code,class_code,pace_yoso,omo_tekisei_code,tenkai_kigo_code,9,2146,77.94,14.6,68.4,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+pace_yoso+kyori_kubun+rotation,class_code,pace_yoso,kyori_kubun,rotation,4,473,79.19,11.03,68.38,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+kyakushitsu+uma_deokure_ritsu,kyori_kubun,kyori_tekisei,kyakushitsu,uma_deokure_ritsu,8,1276,74.26,8.61,68.29,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+uma_start_shisu+uma_deokure_ritsu,kyori_kubun,kyori_tekisei,uma_start_shisu,uma_deokure_ritsu,5,1106,71.8,4.22,68.1,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+kyakushitsu+tenkai_kigo_code,kyori_kubun,kyori_tekisei,kyakushitsu,tenkai_kigo_code,13,3304,74.38,11.58,68.08,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+uma_start_shisu+uma_deokure_ritsu,pace_yoso,kyori_kubun,uma_start_shisu,uma_deokure_ritsu,6,1192,76.86,10.99,68.07,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_tekisei+hizume_code+omo_tekisei_code,pace_yoso,kyori_tekisei,hizume_code,omo_tekisei_code,4,704,74.67,6.78,68.03,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_kubun+kyakushitsu+omo_tekisei_code,class_code,kyori_kubun,kyakushitsu,omo_tekisei_code,13,2590,74.39,11.81,67.97,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+kyori_tekisei+uma_start_shisu+tenkai_kigo_code,class_code,kyori_tekisei,uma_start_shisu,tenkai_kigo_code,3,586,74.93,6.23,67.88,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_kubun+kyori_tekisei+uma_deokure_ritsu+omo_tekisei_code,kyori_kubun,kyori_tekisei,uma_deokure_ritsu,omo_tekisei_code,8,1596,72.62,6.85,67.87,False
KEIBAJO_SURFACE_03_芝_条件戦,class_code+pace_yoso+kyori_kubun+uma_deokure_ritsu,class_code,pace_yoso,kyori_kubun,uma_deokure_ritsu,8,1684,75.22,10.7,67.81,False
KEIBAJO_SURFACE_03_芝_条件戦,pace_yoso+kyori_kubun+kyori_tekisei+tenkai_kigo_code,pace_yoso,kyori_kubun,kyori_tekisei,tenkai_kigo_code,15,3441,73.41,11.09,67.8,False
KEIBAJO_SURFACE_03_芝_条件戦,kyori_tekisei+uma_deokure_ritsu+omo_tekisei_code+tenkai_kigo_code,kyori_tekisei,uma_deokure_ritsu,omo_tekisei_code,tenkai_kigo_code,6,1066,75.21,9.34,67.73,False
