segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_06_ダ_未勝利,bataiju_zogen+ls_shisu_juni,bataiju_zogen,ls_shisu_juni,9,1232,77.82,13.53,68.98,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+gekiso_juni,kyakushitsu,gekiso_juni,14,1602,74.86,11.22,68.98,False
KEIBAJO_SURFACE_06_ダ_未勝利,ten_shisu_juni+idm_decile,ten_shisu_juni,idm_decile,14,1812,74.28,10.15,68.96,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+bataiju_zogen,kyori_kubun,bataiju_zogen,15,3087,72.97,7.95,68.95,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+kyakushitsu,umakigo_code,kyakushitsu,6,4245,74.76,7.32,68.9,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+manken_shisu_decile,kyakushitsu,manken_shisu_decile,21,3592,73.33,10.38,68.89,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+bataiju_zogen,umakigo_code,bataiju_zogen,10,3548,73.48,7.47,68.84,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+pace_shisu_juni,umakigo_code,pace_shisu_juni,16,4020,72.19,6.85,68.84,False
KEIBAJO_SURFACE_06_ダ_未勝利,uma_deokure_bin+uma_start_shisu_decile,uma_deokure_bin,uma_start_shisu_decile,15,3298,73.68,9.64,68.8,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+hizume_code,kyori_kubun,hizume_code,17,3676,74.15,11.43,68.71,False
KEIBAJO_SURFACE_06_ダ_未勝利,bataiju_zogen+rotation_bin,bataiju_zogen,rotation_bin,11,1449,76.3,12.91,68.67,False
KEIBAJO_SURFACE_06_ダ_未勝利,ls_shisu_juni+idm_decile,ls_shisu_juni,idm_decile,17,3494,74.71,12.7,68.67,False
KEIBAJO_SURFACE_06_ダ_未勝利,bataiju_zogen+class_code,bataiju_zogen,class_code,10,3456,71.7,4.98,68.62,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+class_code,kyori_kubun,class_code,6,4291,77.83,11.53,68.61,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+hizume_code,omo_tekisei_code,hizume_code,12,3437,73.15,8.15,68.54,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+rotation_bin,kyori_kubun,rotation_bin,15,4186,74.08,11.05,68.49,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+manken_shisu_decile,omo_tekisei_code,manken_shisu_decile,15,3580,71.99,6.92,68.49,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_tekisei_2+tenkai_kigo_code,kyori_tekisei_2,tenkai_kigo_code,4,1012,73.16,4.84,68.41,False
KEIBAJO_SURFACE_06_ダ_未勝利,omo_tekisei_code+kyakushitsu,omo_tekisei_code,kyakushitsu,11,4445,73.72,9.11,68.34,False
KEIBAJO_SURFACE_06_ダ_未勝利,umakigo_code+manken_shirushi,umakigo_code,manken_shirushi,8,2342,74.67,9.27,68.25,False
KEIBAJO_SURFACE_06_ダ_未勝利,kishu_minarai_code+bataiju,kishu_minarai_code,bataiju,14,1738,74.16,11.3,68.24,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyori_kubun+manken_shisu_decile,kyori_kubun,manken_shisu_decile,15,3656,72.02,7.61,68.17,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+kyori_tekisei,kyakushitsu,kyori_tekisei,12,4215,72.11,6.98,68.16,False
KEIBAJO_SURFACE_06_ダ_未勝利,uma_deokure_bin+kyori_tekisei,uma_deokure_bin,kyori_tekisei,14,4117,72.05,7.42,68.16,False
KEIBAJO_SURFACE_06_ダ_未勝利,uma_deokure_bin+bataiju_zogen,uma_deokure_bin,bataiju_zogen,14,2127,73.74,10.78,68.1,False
KEIBAJO_SURFACE_06_ダ_未勝利,kyakushitsu+rotation_bin,kyakushitsu,rotation_bin,17,3801,73.8,12.19,68.0,False
