factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_kubun,距離区分,code,3,14090,72.73,0.05,72.68,False
pace_yoso,ペース予想,code,3,14090,72.8,0.19,72.58,False
ichi_shisu,位置指数,numeric,45,7346,76.05,13.3,72.17,False
shiba_tekisei_code,芝適性,code,3,11845,74.17,1.77,72.17,False
joken_class_code,条件クラス,code,5,14090,72.39,0.77,71.71,False
kyori_tekisei,距離適性,code,5,13782,74.39,3.21,71.58,False
manken_shirushi,万券印,code,8,8531,74.47,4.4,71.41,False
hizume_code,蹄コード,code,13,11933,76.08,9.05,71.16,False
kyakushitsu,脚質,code,5,14089,72.7,1.84,71.09,False
joho_shisu,情報指数,numeric,40,13525,73.79,9.56,70.82,False
class_code,クラスコード,code,11,11930,73.91,5.65,70.58,False
manken_shisu,万券指数,numeric,44,12668,72.83,8.43,70.34,False
idm,IDM指数,numeric,36,7216,74.86,14.83,70.01,False
uma_deokure_ritsu,馬出遅率,numeric,27,10953,73.0,8.83,69.67,False
ls_shisu_juni,LS指数順位,numeric,8,14045,76.13,9.44,69.59,False
gekiso_shisu,激走指数,numeric,22,2305,74.76,12.96,69.34,False
uma_start_shisu,馬スタート指数,numeric,18,11713,71.8,6.01,69.02,False
ten_shisu_juni,テン指数順位,numeric,16,14090,71.48,5.83,68.62,False
kishu_shisu,騎手指数,numeric,24,13475,74.07,13.71,68.59,False
pace_shisu_juni,ペース指数順位,numeric,16,14090,71.74,6.44,68.59,False
nyukyu_nannichimae,入厩何日前,numeric,25,8159,72.39,9.94,68.49,False
kyori_tekisei_2,距離適性2,code,3,2002,74.68,5.5,68.46,False
gekiso_juni,激走順位,numeric,16,14090,70.76,6.17,67.73,False
ichi_shisu_juni,位置指数順位,numeric,16,14090,71.09,7.27,67.53,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,14090,81.38,29.71,66.82,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,29,7186,73.4,18.87,66.53,False
rotation,ローテーション,numeric,19,11523,70.38,9.45,66.13,False
agari_shisu_juni,上がり指数順位,numeric,16,14090,69.74,7.62,66.0,False
omo_tekisei_code,重適性,code,4,12408,73.29,7.67,65.78,False
kyusha_shisu,厩舎指数,numeric,14,3672,71.39,11.33,65.46,False
chokyo_shisu,調教指数,numeric,16,4239,72.41,14.75,65.18,False
kyuyo_riyu_bunrui_code,休養理由,code,3,3753,68.06,2.56,65.16,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,35,6810,70.98,20.26,64.27,False
joshodo_code,上昇度,code,3,13917,69.36,4.71,64.03,False
tenkai_kigo_code,展開記号,code,5,14090,72.47,9.96,63.74,False
umakigo_code,馬記号,code,3,14057,75.07,10.4,63.31,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,27,8254,69.13,16.73,62.82,False
ten_shisu,テン指数,numeric,9,2263,72.42,16.2,61.84,False
kyusha_hyoka_code,厩舎評価,code,4,14090,70.49,12.16,58.57,False
kishu_minarai_code,騎手見習,code,5,2969,70.16,18.09,54.3,False
kakutoku_shokin_ruikei,獲得賞金累計,numeric,6,3954,63.71,14.41,52.18,False
pace_shisu,ペース指数,numeric,6,2109,67.5,21.77,50.09,False
agari_shisu,上がり指数,numeric,6,1922,66.42,20.91,49.69,False
ninki_shisu,人気指数,numeric,9,1027,68.57,33.25,46.84,False
