segment,factors,factor1,factor2,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+kishu_minarai_code,rotation_bin,kishu_minarai_code,6,4683,76.91,4.94,72.96,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+bataiju_zogen,omo_tekisei_code,bataiju_zogen,18,4761,76.63,8.05,72.92,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_tekisei+bataiju_zogen,kyori_tekisei,bataiju_zogen,15,3554,76.82,7.74,72.91,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kyakushitsu,hizume_code,kyakushitsu,15,4227,77.32,8.84,72.84,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+uma_start_shisu_decile,pace_yoso,uma_start_shisu_decile,15,4909,77.75,9.8,72.79,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+kyakushitsu,uma_start_shisu_decile,kyakushitsu,15,4715,77.16,8.72,72.75,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+bataiju_zogen,rotation_bin,bataiju_zogen,17,2743,77.57,10.36,72.64,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+ten_shisu_juni,omo_tekisei_code,ten_shisu_juni,28,4971,75.7,8.28,72.63,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+kyori_tekisei,hizume_code,kyori_tekisei,16,4418,76.36,7.66,72.6,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+omo_tekisei_code,hizume_code,omo_tekisei_code,9,4724,77.78,7.96,72.58,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+omo_tekisei_code,uma_start_shisu_decile,omo_tekisei_code,14,5271,77.41,9.27,72.55,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+uma_start_shisu_decile,kyori_kubun,uma_start_shisu_decile,15,4737,75.59,6.03,72.54,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shisu_decile+tenkai_kigo_code,manken_shisu_decile,tenkai_kigo_code,31,7575,76.25,10.56,72.53,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_tekisei+ichi_shisu_juni,kyori_tekisei,ichi_shisu_juni,21,6235,76.01,8.17,72.52,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+rotation_bin,pace_yoso,rotation_bin,16,5271,76.84,9.02,72.42,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+ichi_shisu_juni,omo_tekisei_code,ichi_shisu_juni,24,4842,75.88,8.65,72.42,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+kyakushitsu,kyori_kubun,kyakushitsu,16,8362,75.3,5.91,72.4,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+kyusha_hyoka_code,kyori_kubun,kyusha_hyoka_code,6,8323,77.88,6.94,72.33,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+kyusha_shisu_decile,rotation_bin,kyusha_shisu_decile,24,3424,76.86,11.37,72.31,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+rotation_bin,omo_tekisei_code,rotation_bin,11,5190,76.48,7.19,72.23,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+kyori_tekisei,pace_yoso,kyori_tekisei,11,8363,75.46,5.63,72.13,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+ls_shisu_juni,omo_tekisei_code,ls_shisu_juni,15,5287,76.57,8.92,72.06,False
KEIBAJO_SURFACE_09_芝_条件戦,kyakushitsu+tenkai_kigo_code,kyakushitsu,tenkai_kigo_code,13,8248,77.02,9.2,72.02,False
KEIBAJO_SURFACE_09_芝_条件戦,ichi_shisu_juni+kyakushitsu,ichi_shisu_juni,kyakushitsu,23,6468,76.9,12.03,71.98,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+class_code,hizume_code,class_code,12,4636,78.25,11.09,71.97,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+manken_shisu_decile,rotation_bin,manken_shisu_decile,24,3164,77.42,13.66,71.96,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+ten_shisu_juni,hizume_code,ten_shisu_juni,12,1777,75.61,6.61,71.87,False
KEIBAJO_SURFACE_09_芝_条件戦,hizume_code+rotation_bin,hizume_code,rotation_bin,14,3484,76.57,9.03,71.84,False
KEIBAJO_SURFACE_09_芝_条件戦,ten_shisu_juni+kyusha_shisu_decile,ten_shisu_juni,kyusha_shisu_decile,21,2960,76.58,11.17,71.81,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+pace_shisu_juni,omo_tekisei_code,pace_shisu_juni,26,4843,75.47,9.65,71.76,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+kyusha_hyoka_code,uma_start_shisu_decile,kyusha_hyoka_code,9,5223,76.51,7.3,71.74,False
KEIBAJO_SURFACE_09_芝_条件戦,tenkai_kigo_code+kyusha_hyoka_code,tenkai_kigo_code,kyusha_hyoka_code,8,8296,78.31,9.53,71.7,False
KEIBAJO_SURFACE_09_芝_条件戦,gekiso_juni+ninki_shisu_decile,gekiso_juni,ninki_shisu_decile,22,3178,76.76,12.14,71.69,False
KEIBAJO_SURFACE_09_芝_条件戦,kyakushitsu+kyusha_hyoka_code,kyakushitsu,kyusha_hyoka_code,8,8269,78.0,9.12,71.68,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+rotation_bin,kyori_kubun,rotation_bin,13,4653,74.96,6.17,71.61,False
KEIBAJO_SURFACE_09_芝_条件戦,rotation_bin+class_code,rotation_bin,class_code,12,4994,75.17,6.58,71.44,False
KEIBAJO_SURFACE_09_芝_条件戦,pace_yoso+class_code,pace_yoso,class_code,8,5371,76.76,7.72,71.41,False
KEIBAJO_SURFACE_09_芝_条件戦,uma_start_shisu_decile+ichi_shisu_juni,uma_start_shisu_decile,ichi_shisu_juni,9,2092,76.81,8.28,71.4,False
KEIBAJO_SURFACE_09_芝_条件戦,kyori_kubun+ichi_shisu_juni,kyori_kubun,ichi_shisu_juni,23,6781,75.13,9.17,71.38,False
KEIBAJO_SURFACE_09_芝_条件戦,manken_shirushi+manken_shisu_decile,manken_shirushi,manken_shisu_decile,26,3512,75.92,11.84,71.37,False
KEIBAJO_SURFACE_09_芝_条件戦,omo_tekisei_code+kyusha_hyoka_code,omo_tekisei_code,kyusha_hyoka_code,5,5532,77.48,6.98,71.36,False
