segment,factors,factor1,factor2,factor3,n_bins,n_bets,mean_roi,std_roi,clb,pass
KEIBAJO_SURFACE_04_芝_未勝利,kishu_kitai_rentai_decile+kishu_kitai_tansho_decile+ninki_shisu_decile,kishu_kitai_rentai_decile,kishu_kitai_tansho_decile,ninki_shisu_decile,3,427,76.47,12.07,62.81,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kyakushitsu+kyori_tekisei,tenkai_kigo_code,kyakushitsu,kyori_tekisei,6,817,69.53,8.4,62.81,False
KEIBAJO_SURFACE_04_芝_未勝利,uma_start_shisu_decile+shiba_tekisei_code+kyori_tekisei,uma_start_shisu_decile,shiba_tekisei_code,kyori_tekisei,3,362,74.59,10.42,62.79,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+kyakushitsu,tenkai_kigo_code,shiba_tekisei_code,kyakushitsu,4,988,66.17,3.81,62.44,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyori_tekisei+omo_tekisei_code,shiba_tekisei_code,kyori_tekisei,omo_tekisei_code,6,1295,68.97,8.3,62.34,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyakushitsu+omo_tekisei_code,shiba_tekisei_code,kyakushitsu,omo_tekisei_code,7,1228,68.17,8.13,62.15,False
KEIBAJO_SURFACE_04_芝_未勝利,kyakushitsu+uma_deokure_bin+omo_tekisei_code,kyakushitsu,uma_deokure_bin,omo_tekisei_code,3,356,78.47,14.44,62.13,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+agari_shisu_juni,tenkai_kigo_code,shiba_tekisei_code,agari_shisu_juni,3,349,73.65,10.43,61.85,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+tenkai_kigo_code+omo_tekisei_code,kyori_kubun,tenkai_kigo_code,omo_tekisei_code,5,807,68.49,7.69,61.75,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+shiba_tekisei_code+kyori_tekisei,kyori_kubun,shiba_tekisei_code,kyori_tekisei,4,1128,67.78,6.17,61.74,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kishu_kitai_rentai_decile+kishu_kitai_tansho_decile,tenkai_kigo_code,kishu_kitai_rentai_decile,kishu_kitai_tansho_decile,3,322,78.41,14.86,61.6,False
KEIBAJO_SURFACE_04_芝_未勝利,kyakushitsu+omo_tekisei_code+joho_shisu_decile,kyakushitsu,omo_tekisei_code,joho_shisu_decile,4,449,74.91,13.67,61.51,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+uma_start_shisu_decile+shiba_tekisei_code,kyori_kubun,uma_start_shisu_decile,shiba_tekisei_code,3,373,67.45,5.56,61.16,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+tenkai_kigo_code+kyakushitsu,kyori_kubun,tenkai_kigo_code,kyakushitsu,5,745,70.77,10.98,61.15,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+shiba_tekisei_code+uma_deokure_bin,kyori_kubun,shiba_tekisei_code,uma_deokure_bin,5,743,68.37,8.33,61.07,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+tenkai_kigo_code+shiba_tekisei_code,kyori_kubun,tenkai_kigo_code,shiba_tekisei_code,3,759,65.61,4.42,60.61,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kyori_tekisei+omo_tekisei_code,tenkai_kigo_code,kyori_tekisei,omo_tekisei_code,5,815,69.05,10.24,60.07,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyori_tekisei+uma_deokure_bin,shiba_tekisei_code,kyori_tekisei,uma_deokure_bin,6,845,67.6,9.65,59.88,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kyakushitsu+joho_shisu_decile,shiba_tekisei_code,kyakushitsu,joho_shisu_decile,3,499,62.11,1.99,59.86,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+manken_shisu_decile+omo_tekisei_code,shiba_tekisei_code,manken_shisu_decile,omo_tekisei_code,3,324,70.23,9.35,59.64,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+kishu_kitai_rentai_decile+ninki_shisu_decile,shiba_tekisei_code,kishu_kitai_rentai_decile,ninki_shisu_decile,3,377,72.29,11.56,59.2,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+omo_tekisei_code+ninki_shisu_decile,shiba_tekisei_code,omo_tekisei_code,ninki_shisu_decile,3,313,67.64,8.76,57.72,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+omo_tekisei_code+kishu_kitai_tansho_decile,shiba_tekisei_code,omo_tekisei_code,kishu_kitai_tansho_decile,4,435,66.47,9.09,57.57,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kyori_tekisei+joho_shisu_decile,tenkai_kigo_code,kyori_tekisei,joho_shisu_decile,3,464,62.8,4.78,57.39,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+ls_shisu_juni+omo_tekisei_code,shiba_tekisei_code,ls_shisu_juni,omo_tekisei_code,5,736,64.51,8.43,57.12,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+shiba_tekisei_code+kyori_tekisei,tenkai_kigo_code,shiba_tekisei_code,kyori_tekisei,3,794,66.56,8.42,57.03,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+rotation_bin+omo_tekisei_code,tenkai_kigo_code,rotation_bin,omo_tekisei_code,4,556,68.17,11.94,56.47,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+ls_shisu_juni+kyori_tekisei,shiba_tekisei_code,ls_shisu_juni,kyori_tekisei,5,583,60.81,4.97,56.45,False
KEIBAJO_SURFACE_04_芝_未勝利,rotation_bin+shiba_tekisei_code+kyori_tekisei,rotation_bin,shiba_tekisei_code,kyori_tekisei,6,831,66.19,12.38,56.29,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+shiba_tekisei_code+ls_shisu_juni,kyori_kubun,shiba_tekisei_code,ls_shisu_juni,4,498,65.5,9.42,56.27,False
KEIBAJO_SURFACE_04_芝_未勝利,shiba_tekisei_code+ls_shisu_juni+kyakushitsu,shiba_tekisei_code,ls_shisu_juni,kyakushitsu,3,339,64.68,7.6,56.08,False
KEIBAJO_SURFACE_04_芝_未勝利,kyori_kubun+kyakushitsu+omo_tekisei_code,kyori_kubun,kyakushitsu,omo_tekisei_code,3,397,68.22,10.75,56.05,False
KEIBAJO_SURFACE_04_芝_未勝利,tenkai_kigo_code+kyakushitsu+joho_shisu_decile,tenkai_kigo_code,kyakushitsu,joho_shisu_decile,3,519,66.96,10.03,55.61,False
KEIBAJO_SURFACE_04_芝_未勝利,rotation_bin+shiba_tekisei_code+kyakushitsu,rotation_bin,shiba_tekisei_code,kyakushitsu,4,548,66.56,11.33,55.45,False
