segment,factors,type,grade,n_factors,is_cross,has_shirushi,orig_avg_place_roi,orig_total_samples,orig_pass_rate,n_valid_bets,mean_place_roi,std_individual,conservative_roi_lb,filter1_pass,oot_n_bets,oot_mean_roi,oot_conservative_roi,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,filter2_pass,oot_skip_reason,cross_gain,filter3_pass,shirushi_filter_applied,best_shirushi_clb,optimal_odds_threshold,optimal_rank_threshold,shirushi_market_gap_roi,filter4_pass,all_pass,scaling_raw_score
KEIBAJO_SURFACE_06_障,shirushi_code_5,numeric,C,1,False,True,90.9,885,1.0,885,89.62,130.24,81.04,True,304,91.68,76.93,88.5,103.5,86.3,86.3,True,,,True,True,81.89,10.0,3.0,93.92,True,True,-13.96
KEIBAJO_SURFACE_07_障,prev1_chakujun,numeric,B,1,False,False,83.9,1520,0.9,1223,90.86,198.02,79.76,True,0,,,,,,,True,insufficient_oot_data,,True,False,,,,,True,True,-15.24
KEIBAJO_SURFACE_06_障,shirushi_code_3,numeric,B,1,False,True,90.5,886,0.8333,886,89.82,131.84,81.14,True,307,90.33,76.25,81.2,110.8,83.4,81.2,True,,,True,True,82.22,10.0,3.0,94.76,True,True,-13.86
KEIBAJO_SURFACE_06_障,shirushi_code_4,numeric,C,1,False,True,90.0,882,0.8333,882,90.12,129.48,81.58,True,307,89.09,75.1,79.7,102.0,87.4,79.7,True,,,True,True,83.14,10.0,3.0,95.45,True,True,-13.42
KEIBAJO_SURFACE_01_ダ,shirushi_code_2,numeric,C,1,False,True,83.8,3851,0.8333,3851,84.24,163.02,79.09,True,1220,82.98,75.7,86.5,80.0,82.4,80.0,True,,,True,True,78.87,5.0,3.0,85.63,True,True,-15.91
KEIBAJO_SURFACE_07_障,prev3_chakujun,numeric,A,1,False,False,87.9,1518,0.7778,1057,93.01,217.47,79.9,True,0,,,,,,,True,insufficient_oot_data,,True,False,,,,,True,True,-15.1
KEIBAJO_SURFACE_08_ダ,shirushi_code_2,numeric,C,1,False,True,81.7,11402,0.6667,11402,81.83,148.35,79.11,True,4240,80.78,76.7,76.1,82.5,81.1,76.1,True,,,True,True,78.84,10.0,5.0,83.94,True,True,-15.89
GLOBAL,kyusha_hyoka_code+shirushi_code_2,combo,A,2,True,True,81.3,192442,0.6667,192250,80.46,141.03,79.83,True,57412,80.51,79.39,80.6,80.5,80.3,80.3,True,,0.0,True,True,78.48,10.0,3.0,79.36,True,True,-15.17
SURFACE_2_ダ,prev1_corner4_bin+shirushi_code_2,combo,C,2,True,True,80.9,87384,0.6667,87384,81.1,144.34,80.14,True,25902,81.17,79.48,81.6,81.0,81.0,81.0,True,,0.19,True,True,78.89,10.0,3.0,80.22,True,True,-14.86
SURFACE_2_ダ,shirushi_code_2,numeric,C,1,False,True,80.4,93283,0.6667,93283,80.9,143.25,79.98,True,27755,80.99,79.36,81.6,80.8,80.6,80.6,True,,,True,True,78.75,10.0,3.0,80.02,True,True,-15.02
SURFACE_2_ダ,kyusha_hyoka_code+manken_shirushi,combo,B,2,True,False,80.3,111609,0.6562,111609,80.12,178.44,79.07,True,33198,79.95,78.07,78.3,80.8,81.0,78.3,True,,0.0,True,False,,,,,True,True,-15.93
GLOBAL,chokyo_yajirushi_code+shirushi_code_2,combo,C,2,True,True,82.9,192442,0.6522,192361,80.45,141.01,79.82,True,57377,80.5,79.39,80.7,80.6,80.3,80.3,True,,-0.0,True,True,78.47,10.0,3.0,79.34,True,True,-15.18
SURFACE_2_ダ,kyori+shirushi_code_2,combo,B,2,True,True,81.8,93283,0.6389,93053,80.92,143.32,80.0,True,27701,80.99,79.35,81.7,80.6,80.5,80.5,True,,0.02,True,True,78.78,10.0,3.0,80.06,True,True,-15.0
SURFACE_2_ダ,chokyo_yajirushi_code+shirushi_code_2,combo,B,2,True,True,82.9,93283,0.6364,93162,80.89,143.19,79.97,True,27692,80.99,79.35,81.6,80.8,80.6,80.6,True,,-0.0,True,True,78.74,10.0,3.0,80.02,True,True,-15.03
GLOBAL,bac_tosu+shirushi_code_2,combo,C,2,True,True,80.5,192442,0.6267,192223,80.45,141.03,79.82,True,57438,80.52,79.4,80.7,80.6,80.3,80.3,True,,0.0,True,True,78.47,10.0,3.0,79.34,True,True,-15.18
SURFACE_2_ダ,shirushi_code_2+tenko_code,combo,C,2,True,True,80.1,93283,0.625,93142,80.91,143.29,79.99,True,27732,80.98,79.34,81.6,80.8,80.5,80.5,True,,0.01,True,True,78.76,10.0,3.0,80.04,True,True,-15.01
SURFACE_2_ダ,manken_shirushi,numeric,C,1,False,False,80.0,111609,0.625,111609,80.12,178.44,79.07,True,33198,79.95,78.07,78.2,80.8,80.8,78.2,True,,,True,False,,,,,True,True,-15.93
