segment,factors,base_3combo,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+goal_juni+goal_sa+kyi_kyusha_rank,agari_shisu_juni+goal_juni+kyi_kyusha_rank,3,409,91.08,0.35,90.68,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+prev1_bataiju_bin+shirushi_code_1+yoso_juni,kijun_ninkijun_tansho+prev1_bataiju_bin+yoso_juni,3,481,93.64,2.61,90.68,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin+prev1_corner4_bin,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,3,394,93.3,2.32,90.67,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kyori_tekisei+shirushi_code_1+yoso_juni,goal_juni+kyori_tekisei+yoso_juni,3,471,92.81,2.0,90.55,True,False
KEIBAJO_SURFACE_01_ダ,bac_jouken+joken_class_code+kishu_rank+yoso_juni,bac_jouken+kishu_rank+yoso_juni,3,357,97.13,5.82,90.54,True,False
KEIBAJO_SURFACE_01_ダ,bac_jouken+kishu_rank+shutoku_shokin_ruikei+yoso_juni,bac_jouken+kishu_rank+yoso_juni,3,357,97.13,5.82,90.54,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_6+yoso_juni,kijun_ninkijun_fukusho+kijun_odds_fukusho+yoso_juni,3,519,92.51,1.75,90.53,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+pace_yoso+prev1_bataiju_bin,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin,3,409,91.86,1.21,90.49,True,False
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+goal_sa+kyori+tenkai_kigo_code,agari_shisu_juni+goal_sa+kyori,3,397,93.17,2.6,90.23,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+shirushi_code_3+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,3,593,91.56,1.22,90.18,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_1+shirushi_code_5,goal_sa+kyi_kyusha_rank+shirushi_code_5,4,516,94.1,4.02,90.17,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_2,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,3,539,90.57,0.5,90.0,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_1,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,3,617,91.31,1.18,89.98,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_2,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,3,533,90.46,0.49,89.91,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+prev1_corner4_bin+shirushi_code_1+yoso_juni,goal_juni+prev1_corner4_bin+yoso_juni,3,536,91.85,1.72,89.9,True,False
KEIBAJO_SURFACE_08_芝,chokyoshi_rank+goal_sa+hobokusaki_rank+yoso_juni,goal_sa+hobokusaki_rank+yoso_juni,3,597,92.46,2.27,89.89,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+kishu_shisu+shirushi_code_4,joa_odds_shisu+kijun_odds_tansho+kishu_shisu,7,788,93.83,5.32,89.89,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+pace_yoso+shirushi_code_2+wakuban,goal_sa+shirushi_code_2+wakuban,8,971,94.51,6.74,89.84,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+pace_yoso+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,4,696,92.33,2.62,89.77,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_1,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,3,625,91.25,1.37,89.7,True,False
