segment,factors,base_3combo,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,n_subsets_evaluated,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_6+yoso_juni,kijun_ninkijun_fukusho+kijun_odds_fukusho+yoso_juni,90.53,92.02,3,6282,79.87,78.9,77.64,77.64,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+pace_yoso+prev1_bataiju_bin,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin,90.49,88.78,3,6282,76.18,73.84,75.3,73.84,True,pass,False,,,,True,no_shirushi_auto_pass,14,88.71,1.78,True,pass,True
KEIBAJO_SURFACE_10_芝,agari_shisu_juni+goal_sa+kyori+tenkai_kigo_code,agari_shisu_juni+goal_sa+kyori,90.23,83.46,3,4996,73.15,73.95,73.6,73.15,True,pass,False,,,,True,no_shirushi_auto_pass,14,89.72,0.51,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+shirushi_code_3+yoso_juni,goal_juni+kijun_ninkijun_fukusho+yoso_juni,90.18,88.83,4,6282,78.56,79.73,79.13,78.56,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyi_kyusha_rank+shirushi_code_1+shirushi_code_5,goal_sa+kyi_kyusha_rank+shirushi_code_5,90.17,89.52,4,7800,78.51,78.81,79.83,78.51,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_2,goal_juni+kijun_ninkijun_tansho+kijun_odds_fukusho,90.0,76.07,3,6282,78.32,80.2,79.4,78.32,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_1,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,89.98,89.92,3,6282,77.75,79.24,78.8,77.75,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho+shirushi_code_2,goal_juni+kijun_ninkijun_fukusho+kijun_odds_fukusho,89.91,76.07,3,6282,78.32,80.2,79.4,78.32,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_07_ダ,goal_juni+prev1_corner4_bin+shirushi_code_1+yoso_juni,goal_juni+prev1_corner4_bin+yoso_juni,89.9,90.62,3,6282,78.28,79.12,79.32,78.28,True,pass,True,,,,False,no_valid_grid,0,,,False,skipped_f2_fail,False
KEIBAJO_SURFACE_08_芝,chokyoshi_rank+goal_sa+hobokusaki_rank+yoso_juni,goal_sa+hobokusaki_rank+yoso_juni,89.89,75.23,6,6414,74.98,74.68,74.47,74.47,True,pass,False,,,,True,no_shirushi_auto_pass,14,82.42,7.47,True,pass,True
