segment,factors,n_valid_bins,n_valid_bets,mean_corrected_roi,std_bin_roi,clb,pass,skip
KEIBAJO_SURFACE_01_ダ,babajotai_heavy+shirushi_code_2+shirushi_code_4,3.0,419.0,91.0,1.84,88.92,True,False
KEIBAJO_SURFACE_01_ダ,babajotai_code_dirt+shirushi_code_2+shirushi_code_4,3.0,419.0,91.0,1.84,88.92,True,False
KEIBAJO_SURFACE_07_ダ,gekiso_juni+goal_juni+shirushi_code_3,4.0,600.0,92.19,3.39,88.87,True,False
KEIBAJO_SURFACE_07_ダ,bac_shubetsu+goal_juni+manken_shirushi,3.0,342.0,94.09,4.61,88.87,True,False
KEIBAJO_SURFACE_09_ダ,joa_odds_shisu+shirushi_code_1+shirushi_code_3,5.0,554.0,90.96,2.42,88.84,True,False
KEIBAJO_SURFACE_09_ダ,kijun_odds_tansho+shirushi_code_1+shirushi_code_3,5.0,554.0,90.96,2.42,88.84,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+shirushi_code_1,7.0,843.0,93.73,6.61,88.83,True,False
KEIBAJO_SURFACE_02_芝,bataiju_change_bin+goal_sa+prev1_corner4_bin,3.0,424.0,91.85,2.7,88.79,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+kijun_odds_tansho+shirushi_code_6,6.0,693.0,94.22,6.81,88.77,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+prev1_bataiju_bin,8.0,1197.0,90.48,2.48,88.77,True,False
KEIBAJO_SURFACE_01_ダ,kijun_ninkijun_fukusho+sanchimei+shirushi_code_4,3.0,380.0,92.53,3.35,88.73,True,False
KEIBAJO_SURFACE_09_ダ,kijun_odds_tansho+shirushi_code_1+shirushi_code_2,4.0,443.0,89.87,1.16,88.73,True,False
KEIBAJO_SURFACE_09_ダ,joa_odds_shisu+shirushi_code_1+shirushi_code_2,4.0,443.0,89.87,1.16,88.73,True,False
KEIBAJO_SURFACE_01_ダ,hobokusaki_rank+shirushi_code_1+shirushi_code_2,3.0,405.0,95.14,5.67,88.73,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_fukusho+prev1_bataiju_bin,9.0,1295.0,90.2,2.28,88.71,True,False
KEIBAJO_SURFACE_01_芝,kijun_odds_fukusho+shirushi_code_1+shirushi_code_4,3.0,353.0,92.52,3.42,88.65,True,False
KEIBAJO_SURFACE_07_ダ,manken_shirushi+shirushi_code_4+yoso_juni,3.0,344.0,90.48,1.62,88.64,True,False
KEIBAJO_SURFACE_03_芝,agari_shisu_juni+bac_juryo_shubetsu_code+shirushi_code_6,3.0,361.0,92.47,3.38,88.64,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+kijun_ninkijun_tansho+yy_int,3.0,396.0,90.33,1.5,88.63,True,False
KEIBAJO_SURFACE_06_芝,shirushi_code_2+shirushi_code_4+wakuban,6.0,764.0,90.01,1.73,88.63,True,False
KEIBAJO_SURFACE_08_ダ,agari_shisu_juni+kyi_kyusha_rank+shirushi_code_1,3.0,429.0,94.36,5.07,88.62,True,False
KEIBAJO_SURFACE_07_ダ,kijun_odds_fukusho+shirushi_code_6+yoso_juni,3.0,551.0,91.48,2.54,88.6,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+shirushi_code_1+shirushi_code_4,7.0,791.0,93.92,7.2,88.58,True,False
KEIBAJO_SURFACE_07_ダ,kijun_ninkijun_tansho+manken_shirushi+yoso_juni,3.0,343.0,90.79,1.95,88.58,True,False
KEIBAJO_SURFACE_05_芝,kijun_odds_tansho+shirushi_code_1+shirushi_code_4,7.0,791.0,93.92,7.2,88.58,True,False
KEIBAJO_SURFACE_08_芝,kyi_kyusha_rank+shirushi_code_6+yoso_juni,3.0,426.0,91.92,2.99,88.54,True,False
KEIBAJO_SURFACE_07_ダ,gekiso_juni+goal_juni+kyi_kyusha_rank,3.0,324.0,90.59,1.85,88.49,True,False
KEIBAJO_SURFACE_08_芝,futan_juryo+shirushi_code_2+yoso_juni,3.0,406.0,93.13,4.1,88.48,True,False
KEIBAJO_SURFACE_05_芝,hizume_code+shirushi_code_2+shirushi_code_4,7.0,948.0,92.01,4.87,88.4,True,False
KEIBAJO_SURFACE_08_芝,kyi_kyusha_rank+shirushi_code_3+yoso_juni,4.0,531.0,90.62,2.26,88.4,True,False
KEIBAJO_SURFACE_01_ダ,kijun_ninkijun_tansho+shirushi_code_6+taikei_dou,3.0,485.0,89.0,0.57,88.36,True,False
KEIBAJO_SURFACE_01_ダ,kyori_tekisei+shirushi_code_3+shirushi_code_5,4.0,554.0,92.21,3.94,88.35,True,False
KEIBAJO_SURFACE_01_ダ,kyakushitsu+shirushi_code_1+shirushi_code_2,7.0,865.0,91.67,4.5,88.34,True,False
KEIBAJO_SURFACE_06_芝,goal_sa+prev1_keibajo+shirushi_code_2,4.0,732.0,91.04,2.76,88.33,True,False
KEIBAJO_SURFACE_10_芝,goal_sa+ls_shisu_juni+shirushi_code_2,3.0,569.0,93.27,4.39,88.3,True,False
KEIBAJO_SURFACE_06_ダ,goal_sa+ls_shisu_juni+manken_shirushi,5.0,568.0,96.15,9.0,88.26,True,False
KEIBAJO_SURFACE_08_芝,goal_sa+shirushi_code_5+yoso_juni,3.0,512.0,90.64,2.11,88.26,True,False
KEIBAJO_SURFACE_05_芝,joa_odds_shisu+shirushi_code_4+shirushi_code_6,5.0,552.0,93.14,5.58,88.26,True,False
KEIBAJO_SURFACE_05_芝,kijun_odds_tansho+shirushi_code_4+shirushi_code_6,5.0,552.0,93.14,5.58,88.26,True,False
KEIBAJO_SURFACE_06_芝,kijun_ninkijun_tansho+shirushi_code_2+wakuban,6.0,765.0,89.72,1.84,88.25,True,False
KEIBAJO_SURFACE_07_ダ,goal_juni+prev1_bataiju_bin+shirushi_code_5,6.0,755.0,93.3,6.32,88.24,True,False
KEIBAJO_SURFACE_05_ダ,kishu_shisu+shirushi_code_1+shirushi_code_5,3.0,511.0,90.57,2.08,88.22,True,False
KEIBAJO_SURFACE_01_芝,shirushi_code_1+shirushi_code_5+shirushi_code_6,4.0,686.0,90.49,2.34,88.2,True,False
KEIBAJO_SURFACE_01_芝,kijun_ninkijun_tansho+kijun_odds_fukusho+shirushi_code_6,3.0,399.0,92.91,4.18,88.18,True,False
KEIBAJO_SURFACE_08_芝,goal_juni+prev1_kyakushitsu+shirushi_code_2,11.0,1482.0,90.32,3.67,88.15,True,False
KEIBAJO_SURFACE_01_ダ,barei+shirushi_code_5+shirushi_code_6,4.0,535.0,91.09,3.03,88.12,True,False
KEIBAJO_SURFACE_08_ダ,goal_sa+kyori_tekisei+taikei_tomo,4.0,525.0,93.41,5.41,88.1,True,False
KEIBAJO_SURFACE_08_芝,gekiso_juni+goal_sa+shirushi_code_2,3.0,559.0,88.28,0.16,88.1,True,False
