segment,factors,combo_clb,oot_clb,oot_n_bins,oot_n_bets,oot_roi_2023,oot_roi_2024,oot_roi_2025,oot_min_yearly_roi,f1_pass,f1_reason,has_shirushi,best_shirushi_clb,optimal_odds_t,optimal_rank_t,f2_pass,f2_reason,max_subset_clb,cross_gain,f3_pass,f3_reason,all_pass
KEIBAJO_SURFACE_06_ダ,goal_sa+shirushi_code_2+wakuban,87.66,85.04,10,8946,79.94,81.56,79.93,79.93,True,pass,True,81.75,8.0,3.0,True,pass,74.89,12.77,True,pass,True
KEIBAJO_SURFACE_08_芝,goal_sa+prev1_kyakushitsu+yoso_juni,87.64,85.23,7,6414,75.52,74.55,75.04,74.55,True,pass,False,,,,True,no_shirushi_auto_pass,75.07,12.57,True,pass,True
KEIBAJO_SURFACE_08_芝,pace_shisu_juni+ten_shisu_juni+yoso_juni,87.53,81.34,6,6414,74.86,74.51,74.31,74.31,True,pass,False,,,,True,no_shirushi_auto_pass,72.35,15.18,True,pass,True
KEIBAJO_SURFACE_06_ダ,goal_sa+prev1_kyakushitsu+prev3_chakujun,87.51,83.83,6,8946,75.74,76.12,76.46,75.74,True,pass,False,,,,True,no_shirushi_auto_pass,74.16,13.35,True,pass,True
KEIBAJO_SURFACE_02_芝,goal_juni+goal_sa+pace_yoso,87.32,82.83,3,2257,74.39,73.3,75.26,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,78.89,8.43,True,pass,True
KEIBAJO_SURFACE_07_ダ,dochu_juni+goal_juni+kijun_ninkijun_fukusho,87.3,77.7,3,6282,75.75,73.86,74.71,73.86,True,pass,False,,,,True,no_shirushi_auto_pass,70.65,16.65,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+prev1_bataiju_bin+yoso_juni,87.0,82.74,7,6282,76.18,73.84,75.3,73.84,True,pass,False,,,,True,no_shirushi_auto_pass,67.55,19.45,True,pass,True
KEIBAJO_SURFACE_07_ダ,goal_juni+prev1_corner4_bin+prev3_chakujun,86.68,79.46,3,6282,76.81,74.25,75.13,74.25,True,pass,False,,,,True,no_shirushi_auto_pass,72.05,14.63,True,pass,True
KEIBAJO_SURFACE_06_ダ,goal_sa+manken_shirushi+uma_deokure_ritsu,86.66,89.43,6,8946,75.03,78.16,76.61,75.03,True,pass,False,,,,True,no_shirushi_auto_pass,74.31,12.35,True,pass,True
KEIBAJO_SURFACE_02_芝,goal_juni+goal_sa+wakuban,86.63,77.39,2,2257,74.39,73.3,75.26,73.3,True,pass,False,,,,True,no_shirushi_auto_pass,85.47,1.16,True,pass,True
KEIBAJO_SURFACE_08_ダ,goal_sa+sanchimei+shirushi_code_5,86.49,82.37,9,7800,77.94,77.28,78.82,77.28,True,pass,True,78.99,8.0,3.0,True,pass,76.56,9.93,True,pass,True
