rank,source,segment,factor,factor_type,grade,mark,score_std,n_bins,edge_bins,avg_win_roi,avg_place_roi,best_bin_win_roi,best_bin_place_roi,total_samples
1,phase2,SURFACE_2_ダ,agari_shisu_juni+kyori_tekisei_2,combo,S,★★★,10.407,35,10,94.8,86.4,586.4,207.5,4232
2,phase2,SURFACE_2_芝,gekiso_type+tenkai_kigo_code,combo,S,★★★,10.382,30,8,105.2,82.6,602.8,180.8,17259
3,phase2,SURFACE_2_芝,gekiso_type+kishu_minarai_code,combo,S,★★★,10.014,23,6,85.6,67.3,480.9,116.8,2787
4,phase2,SURFACE_2_ダ,kishu_minarai_code+prev1_chakujun,combo,S,★★★,9.71,60,17,95.2,81.0,655.2,168.6,9235
5,phase2,SURFACE_2_ダ,gekiso_type+nyukyu_nannichimae,combo,S,★★★,9.365,85,29,86.4,87.4,500.0,267.3,7036
6,phase2,SURFACE_2_芝,gekiso_type+nyukyu_nannichimae,combo,S,★★★,9.22,112,37,91.1,78.1,596.3,212.5,10336
7,phase2,SURFACE_2_ダ,kishu_minarai_code+uma_deokure_ritsu,combo,S,★★★,9.21,62,21,96.8,83.6,543.1,169.5,9233
8,phase2,SURFACE_2_芝,kishu_minarai_code+ls_shisu_juni,combo,S,★★★,9.094,29,6,85.3,77.5,530.0,184.0,7409
9,phase2,SURFACE_2_ダ,gekiso_type+uma_deokure_ritsu,combo,S,★★★,8.93,113,31,79.2,81.6,610.1,306.8,12929
10,phase2,SURFACE_2_ダ,prev3_chakujun+yoso_juni,combo,S,★★★,8.837,212,48,81.8,79.1,917.6,237.7,28798
11,phase2,SURFACE_2_芝,barei+kishu_minarai_code,combo,S,★★★,8.771,20,5,94.5,78.0,415.2,162.5,7409
12,phase2,SURFACE_2_ダ,kyori_tekisei_2+manken_shisu,combo,S,★★★,8.618,57,19,98.2,82.8,419.5,159.4,4204
13,phase2,SURFACE_2_ダ,agari_shisu_juni+barei,combo,S,★★★,8.491,86,15,80.6,78.2,683.4,189.8,34029
14,phase2,SURFACE_2_芝,gekiso_juni+gekiso_type,combo,S,★★★,8.381,52,14,90.1,81.7,479.4,157.7,17253
15,phase2,SURFACE_2_芝,gekiso_type+manken_shisu,combo,S,★★★,8.343,207,70,87.1,81.9,527.1,256.7,17150
16,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev2_chakujun,combo,S,★★★,8.269,209,59,84.3,78.6,618.4,198.6,30727
17,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev2_chakujun,combo,S,★★★,8.248,209,59,84.3,78.7,618.4,198.6,30727
18,phase2,SURFACE_2_ダ,kyakushitsu+uma_deokure_ritsu,combo,S,★★★,8.235,149,40,84.8,79.4,608.1,155.0,32360
19,phase2,SURFACE_2_ダ,kishu_rank+uma_deokure_ritsu,combo,S,★★★,8.15,169,42,82.4,77.2,523.2,166.0,32309
20,phase2,SURFACE_2_ダ,kyori_tekisei_2+yoso_juni,combo,S,★★★,8.099,35,7,88.9,81.2,408.7,190.7,4232
21,phase2,SURFACE_2_芝,prev1_corner4+prev3_chakujun,combo,S,★★★,8.098,239,69,84.6,81.5,831.3,248.1,32743
22,phase2,SURFACE_2_ダ,babajotai_heavy+uma_tokki_2,combo,S,★★★,8.064,130,28,78.8,77.1,794.4,157.0,23302
23,phase2,GLOBAL,gekiso_type+uma_deokure_ritsu,combo,S,★★★,7.883,202,55,76.8,77.6,487.7,215.2,29758
24,phase2,SURFACE_2_芝,goal_juni+prev3_chakujun,combo,S,★★★,7.799,231,59,83.6,80.5,860.0,238.5,32743
25,phase2,SURFACE_2_ダ,dochu_juni+kijun_ninkijun_tansho,combo,S,★★★,7.76,212,49,85.1,79.8,674.7,247.6,34029
26,phase2,SURFACE_2_芝,agari_shisu_juni+gekiso_type,combo,S,★★★,7.755,96,25,86.5,80.3,596.7,182.6,17259
27,phase2,SURFACE_2_ダ,kyori_tekisei_2+nyukyu_nannichimae,combo,S,★★★,7.699,26,11,90.1,83.5,317.4,193.6,2148
28,phase2,SURFACE_2_ダ,kyori_tekisei_2+prev1_bataiju,combo,S,★★★,7.685,51,19,86.9,80.9,407.0,162.8,4228
29,phase2,SURFACE_2_ダ,dochu_juni+kijun_ninkijun_fukusho,combo,S,★★★,7.677,212,50,84.9,79.9,666.7,247.6,34029
30,phase2,SURFACE_2_ダ,kishu_minarai_code+nyukyu_nannichimae,combo,S,★★★,7.606,48,15,84.5,80.9,286.5,254.9,4532
31,phase2,GLOBAL,babajotai_heavy+kijun_odds_fukusho,combo,S,★★★,7.574,264,60,79.6,78.7,599.7,195.0,81716
32,phase2,SURFACE_2_ダ,agari_shisu_juni+goal_juni,combo,S,★★★,7.57,193,46,83.9,78.1,802.7,217.4,34029
33,phase2,SURFACE_2_ダ,tenkai_kigo_code+uma_deokure_ritsu,combo,S,★★★,7.559,151,36,82.6,80.9,495.2,214.7,32360
34,phase2,SURFACE_2_ダ,gekiso_type+goal_sa,combo,S,★★★,7.53,137,40,82.2,81.0,512.6,197.2,13542
35,phase2,SURFACE_2_ダ,babajotai_heavy+prev1_chakujun,combo,S,★★★,7.501,49,7,95.8,81.2,527.4,235.0,32371
36,phase2,GLOBAL,gekiso_type+ls_shisu_juni,combo,S,★★★,7.464,51,11,87.4,79.0,482.3,184.4,30795
37,phase2,SURFACE_2_ダ,gekiso_juni+prev2_chakujun,combo,S,★★★,7.463,223,64,84.8,78.0,633.2,171.6,30727
38,phase2,SURFACE_2_ダ,kijun_ninkijun_fukusho+prev1_corner4,combo,S,★★★,7.435,204,61,84.1,80.2,519.7,251.1,32371
39,phase2,SURFACE_2_ダ,kishu_minarai_code+prev1_bataiju,combo,S,★★★,7.405,109,40,90.1,82.6,394.5,170.1,9235
40,phase2,SURFACE_2_ダ,gekiso_type+prev2_chakujun,combo,S,★★★,7.401,91,27,77.8,79.0,587.7,149.6,12388
41,phase2,SURFACE_2_芝,kishu_minarai_code+prev1_keibajo,combo,S,★★★,7.4,42,14,87.6,73.7,432.1,158.3,6486
42,phase2,SURFACE_2_ダ,kijun_ninkijun_tansho+prev1_corner4,combo,S,★★★,7.397,204,59,84.0,80.2,524.7,248.5,32371
43,phase2,SURFACE_2_芝,gekiso_type+goal_sa,combo,S,★★★,7.388,141,48,89.8,80.7,456.1,203.7,17259
44,phase2,SURFACE_2_芝,kohan_3f_juni+prev3_chakujun,combo,S,★★★,7.365,242,66,83.7,80.5,549.8,153.7,32743
45,phase2,GLOBAL,kishu_minarai_code+uma_deokure_ritsu,combo,S,★★★,7.34,91,29,90.1,84.3,360.6,162.2,15866
46,phase2,SURFACE_2_ダ,gekiso_juni+prev3_chakujun,combo,S,★★★,7.336,220,57,82.4,78.3,619.4,155.4,28798
47,phase2,SURFACE_2_ダ,kishu_minarai_code+manken_shisu,combo,S,★★★,7.32,108,31,85.3,81.8,348.8,231.2,9545
48,phase2,SURFACE_2_ダ,hizume_code+kijun_ninkijun_tansho,combo,S,★★★,7.293,143,35,86.1,81.4,494.2,230.7,32190
49,phase2,SURFACE_2_ダ,hizume_code+kijun_ninkijun_fukusho,combo,S,★★★,7.292,143,31,86.1,81.5,494.2,232.2,32190
