factor,label,ftype,n_bins,n_bets,mean_roi,std_roi,clb,pass
kyori_kubun,距離区分,code,4,7658,72.59,0.7,71.9,False
kyori_tekisei_2,距離適性2,code,3,3401,75.16,3.05,71.71,False
keibajo_code,競馬場,code,10,7658,72.33,1.21,71.57,False
kyori_tekisei,距離適性,code,5,7573,72.38,1.16,71.36,False
uma_start_shisu,馬スタート指数,numeric,16,7205,73.07,4.18,71.02,False
kyusha_hyoka_code,厩舎評価,code,3,7578,74.76,3.68,70.59,False
manken_shisu,万券指数,numeric,32,6093,74.59,12.47,70.27,False
umakigo_code,馬記号,code,3,7619,72.36,2.07,70.01,False
kyakushitsu,脚質,code,4,7658,72.99,3.6,69.46,False
hizume_code,蹄コード,code,9,7151,73.44,6.76,69.02,False
rotation,ローテーション,numeric,15,6797,71.95,5.89,68.97,False
gekiso_juni,激走順位,numeric,16,7658,71.64,5.7,68.85,False
kishu_shisu,騎手指数,numeric,19,6907,72.15,7.74,68.66,False
ichi_shisu_juni,位置指数順位,numeric,16,7658,71.99,6.99,68.56,False
ten_shisu_juni,テン指数順位,numeric,16,7658,71.52,6.4,68.38,False
kishu_kitai_rentai_ritsu,騎手期待連対率,numeric,14,2481,73.63,11.09,67.82,False
tenkai_kigo_code,展開記号,code,5,7658,73.57,6.66,67.73,False
ls_shisu_juni,LS指数順位,numeric,9,7635,72.18,7.24,67.45,False
idm,IDM指数,numeric,21,4221,72.7,12.58,67.32,False
pace_shisu_juni,ペース指数順位,numeric,16,7658,71.07,8.29,67.01,False
shiba_tekisei_code,芝適性,code,3,4781,68.12,0.98,67.01,False
uma_deokure_ritsu,馬出遅率,numeric,22,6005,71.08,10.51,66.69,False
agari_shisu_juni,上がり指数順位,numeric,16,7658,72.15,11.89,66.32,False
kishu_kitai_sanchakunai_ritsu,騎手期待3着内率,numeric,14,1998,73.19,13.64,66.05,False
manken_shirushi,万券印,code,8,4506,73.09,10.18,66.04,False
joho_shisu,情報指数,numeric,28,6348,70.41,11.97,65.97,False
chokyo_shisu,調教指数,numeric,5,682,70.03,4.67,65.94,False
nyukyu_nannichimae,入厩何日前,numeric,14,3354,70.35,10.8,64.69,False
omo_tekisei_code,重適性,code,3,7648,69.7,4.61,64.48,False
da_tekisei_code,ダ適性,code,3,7036,69.8,5.39,63.7,False
kijun_ninkijun_tansho,基準人気順単勝,numeric,16,7658,70.77,15.74,63.06,False
ichi_shisu,位置指数,numeric,5,525,70.3,8.31,63.02,False
kishu_kitai_tansho_ritsu,騎手期待単勝率,numeric,12,2760,73.03,17.77,62.97,False
class_code,クラスコード,code,8,7415,69.36,9.85,62.53,False
